basis	query_chrom	target_chrom	windows	bp	mean_delta	median_delta	max_delta	mean_inter_identity	mean_same_identity
10:10	chr1	chr10	4	8000	0.043385	0.014620	0.139894	0.918375	0.874990
10:10	chr13	chr3	4	8000	0.085513	0.066043	0.207959	0.947326	0.861814
10:10	chr9	chr20	4	8000	0.192479	0.072761	0.599462	0.710771	0.518292
10:10	chr1	chr21	3	6000	0.153376	0.037827	0.415559	0.867029	0.713653
10:10	chr1	chr7	3	6000	0.209099	0.006755	0.615897	0.968177	0.759078
10:10	chr14	chr15	3	6000	0.001508	0.000751	0.003523	0.998336	0.996827
10:10	chr18	chrX	3	6000	0.003731	0.000999	0.009209	0.854304	0.850573
10:10	chr9	chr1	3	6000	0.006641	0.001106	0.018328	0.765804	0.759163
10:10	chr9	chr19	3	6000	0.003654	0.000500	0.010211	0.999583	0.995929
10:10	chr9	chr4	3	6000	0.009088	0.002573	0.022790	0.559168	0.550080
10:10	chr9	chr7	3	6000	0.011339	0.015500	0.016017	0.998917	0.987578
10:10	chr1	chr16	2	4000	0.001204	0.001204	0.001935	0.909579	0.908375
10:10	chr11	chr7	2	4000	0.056342	0.056342	0.112185	0.884969	0.828627
10:10	chr12	chr17	2	4000	0.132445	0.132445	0.260391	0.983993	0.851548
10:10	chr15	chr14	2	4000	0.280656	0.280656	0.534598	0.990902	0.710245
10:10	chr15	chr21	2	4000	0.055925	0.055925	0.106349	0.977544	0.921619
10:10	chr16	chr7	2	4000	0.006017	0.006017	0.011785	0.995635	0.989618
10:10	chr17	chr10	2	4000	0.034551	0.034551	0.057610	0.966252	0.931701
10:10	chr17	chr8	2	4000	0.510443	0.510443	0.673683	0.820866	0.310424
10:10	chr2	chr18	2	4000	0.002625	0.002625	0.004001	0.999875	0.997250
10:10	chr21	chr7	2	4000	0.246513	0.246513	0.467009	0.982759	0.736246
10:10	chr3	chr21	2	4000	0.254174	0.254174	0.508098	1.000000	0.745826
10:10	chr3	chr4	2	4000	0.199028	0.199028	0.397557	1.000000	0.800972
10:10	chr3	chr9	2	4000	0.000375	0.000375	0.000500	0.999875	0.999500
10:10	chr4	chr22	2	4000	0.540317	0.540317	0.903246	0.977529	0.437212
10:10	chr5	chr11	2	4000	0.003608	0.003608	0.003758	0.995247	0.991639
10:10	chr5	chr17	2	4000	0.001499	0.001499	0.001747	0.998125	0.996626
10:10	chr8	chr13	2	4000	0.208331	0.208331	0.415415	0.996630	0.788299
10:10	chr9	chr6	2	4000	0.029010	0.029010	0.042586	0.961093	0.932083
10:10	chr1	chr17	1	2000	0.120738	0.120738	0.120738	0.906861	0.786124
10:10	chr1	chr2	1	2000	0.087330	0.087330	0.087330	0.371328	0.283998
10:10	chr1	chr3	1	2000	0.061481	0.061481	0.061481	0.953137	0.891656
10:10	chr10	chr1	1	2000	0.519545	0.519545	0.519545	1.000000	0.480455
10:10	chr10	chr4	1	2000	0.743610	0.743610	0.743610	0.988454	0.244844
10:10	chr11	chr13	1	2000	0.388227	0.388227	0.388227	0.997255	0.609028
10:10	chr11	chr21	1	2000	0.000250	0.000250	0.000250	1.000000	0.999750
10:10	chr12	chr1	1	2000	0.189588	0.189588	0.189588	0.754353	0.564765
10:10	chr12	chr10	1	2000	0.000751	0.000751	0.000751	0.999000	0.998250
10:10	chr12	chr15	1	2000	0.010747	0.010747	0.010747	1.000000	0.989253
10:10	chr12	chr16	1	2000	0.577954	0.577954	0.577954	0.895028	0.317073
10:10	chr12	chr3	1	2000	0.002000	0.002000	0.002000	0.990252	0.988253
10:10	chr12	chr6	1	2000	0.918594	0.918594	0.918594	0.947179	0.028585
10:10	chr12	chr9	1	2000	0.780614	0.780614	0.780614	0.810171	0.029557
10:10	chr13	chr1	1	2000	0.094988	0.094988	0.094988	0.971514	0.876526
10:10	chr14	chr16	1	2000	0.000250	0.000250	0.000250	1.000000	0.999750
10:10	chr14	chr18	1	2000	0.433411	0.433411	0.433411	0.870741	0.437329
10:10	chr14	chr6	1	2000	0.016746	0.016746	0.016746	0.990233	0.973487
10:10	chr15	chr7	1	2000	0.110803	0.110803	0.110803	1.000000	0.889197
10:10	chr16	chr8	1	2000	0.283856	0.283856	0.283856	0.997501	0.713645
10:10	chr17	chr11	1	2000	0.428530	0.428530	0.428530	0.865020	0.436490
10:10	chr17	chr15	1	2000	0.026065	0.026065	0.026065	0.956191	0.930127
10:10	chr17	chr16	1	2000	0.110459	0.110459	0.110459	0.548053	0.437594
10:10	chr17	chr2	1	2000	0.168748	0.168748	0.168748	0.761933	0.593185
10:10	chr17	chr22	1	2000	0.069607	0.069607	0.069607	1.000000	0.930393
10:10	chr17	chr3	1	2000	0.090895	0.090895	0.090895	0.890895	0.800000
10:10	chr17	chr4	1	2000	0.013928	0.013928	0.013928	1.000000	0.986072
10:10	chr18	chr11	1	2000	0.219233	0.219233	0.219233	0.735222	0.515988
10:10	chr18	chr13	1	2000	0.005735	0.005735	0.005735	0.985543	0.979808
10:10	chr18	chr15	1	2000	0.003728	0.003728	0.003728	0.135135	0.131407
10:10	chr18	chr19	1	2000	0.241498	0.241498	0.241498	0.930023	0.688524
10:10	chr18	chr2	1	2000	0.188246	0.188246	0.188246	0.962380	0.774134
10:10	chr18	chr3	1	2000	0.029584	0.029584	0.029584	0.678232	0.648649
10:10	chr18	chr4	1	2000	0.836547	0.836547	0.836547	1.000000	0.163453
10:10	chr19	chr11	1	2000	0.347309	0.347309	0.347309	0.999511	0.652203
10:10	chr19	chr15	1	2000	0.298701	0.298701	0.298701	1.000000	0.701299
10:10	chr19	chr7	1	2000	0.011402	0.011402	0.011402	0.999000	0.987598
10:10	chr2	chr1	1	2000	0.023926	0.023926	0.023926	0.902771	0.878845
10:10	chr2	chr12	1	2000	0.020802	0.020802	0.020802	0.654948	0.634146
10:10	chr2	chr13	1	2000	0.012349	0.012349	0.012349	0.913174	0.900824
10:10	chr2	chr14	1	2000	0.081016	0.081016	0.081016	0.897401	0.816385
10:10	chr2	chr16	1	2000	0.000149	0.000149	0.000149	0.506667	0.506518
10:10	chr2	chr17	1	2000	0.143999	0.143999	0.143999	0.879037	0.735038
10:10	chr2	chr19	1	2000	0.024718	0.024718	0.024718	0.367528	0.342810
10:10	chr2	chr4	1	2000	0.171334	0.171334	0.171334	0.894264	0.722930
10:10	chr20	chr11	1	2000	0.000749	0.000749	0.000749	0.999250	0.998500
10:10	chr20	chr14	1	2000	0.041374	0.041374	0.041374	1.000000	0.958626
10:10	chr20	chr4	1	2000	0.521900	0.521900	0.521900	0.999500	0.477601
10:10	chr21	chr17	1	2000	0.542468	0.542468	0.542468	0.694622	0.152154
10:10	chr21	chr4	1	2000	0.060325	0.060325	0.060325	0.927047	0.866723
10:10	chr21	chr8	1	2000	0.006641	0.006641	0.006641	0.946816	0.940175
10:10	chr4	chr10	1	2000	0.007923	0.007923	0.007923	0.977711	0.969788
10:10	chr4	chr18	1	2000	0.023512	0.023512	0.023512	1.000000	0.976488
10:10	chr5	chr19	1	2000	0.000251	0.000251	0.000251	0.998251	0.998000
10:10	chr5	chr7	1	2000	0.000749	0.000749	0.000749	0.997000	0.996251
10:10	chr5	chr8	1	2000	0.015450	0.015450	0.015450	0.972784	0.957334
10:10	chr6	chr1	1	2000	0.003846	0.003846	0.003846	0.988431	0.984584
10:10	chr6	chr19	1	2000	0.075558	0.075558	0.075558	1.000000	0.924442
10:10	chr7	chr12	1	2000	0.000999	0.000999	0.000999	1.000000	0.999001
10:10	chr7	chr6	1	2000	0.068267	0.068267	0.068267	1.000000	0.931733
10:10	chr9	chr13	1	2000	0.105425	0.105425	0.105425	0.866667	0.761242
10:10	chr9	chr14	1	2000	0.568520	0.568520	0.568520	0.900025	0.331505
10:10	chr9	chr18	1	2000	0.020505	0.020505	0.020505	0.630073	0.609568
10:10	chrX	chr10	1	2000	0.383552	0.383552	0.383552	1.000000	0.616448
10:10	chrX	chr19	1	2000	0.001000	0.001000	0.001000	1.000000	0.999000
4:4	chr13	chr21	221	442000	0.043277	0.001500	0.931679	0.993299	0.950022
4:4	chrX	chrY	175	350000	0.361930	0.270745	0.988257	0.951955	0.590025
4:4	chr21	chr13	99	198000	0.015498	0.001500	0.891198	0.992098	0.976600
4:4	chr21	chr14	62	124000	0.040789	0.001376	0.840773	0.986822	0.946033
4:4	chr22	chr14	56	112000	0.047802	0.005295	0.891081	0.968822	0.921020
4:4	chr15	chr13	48	96000	0.124641	0.082705	0.769811	0.858574	0.733933
4:4	chrX	chr1	45	90000	0.169384	0.131187	0.613097	0.643502	0.474118
4:4	chrX	chr5	36	72000	0.166357	0.056663	0.656747	0.625035	0.458678
4:4	chr13	chr22	33	66000	0.077750	0.002246	0.650833	0.981298	0.903549
4:4	chr13	chr14	31	62000	0.039051	0.001529	0.590359	0.954100	0.915049
4:4	chrX	chr12	30	60000	0.177506	0.079886	0.687736	0.650125	0.472618
4:4	chrX	chr4	30	60000	0.188572	0.120967	0.714970	0.541700	0.353129
4:4	chrX	chr10	29	58000	0.186265	0.110495	0.840676	0.715430	0.529165
4:4	chrX	chr2	29	58000	0.269628	0.196572	0.937748	0.706567	0.436940
4:4	chrX	chr3	29	58000	0.218957	0.067638	0.755671	0.671429	0.452472
4:4	chrX	chr6	28	56000	0.195658	0.135199	0.730605	0.647630	0.451972
4:4	chrX	chr14	22	44000	0.152958	0.011549	0.820394	0.614071	0.461113
4:4	chrX	chr7	22	44000	0.211434	0.085343	0.906903	0.653633	0.442200
4:4	chr9	chr3	21	42000	0.060857	0.006020	0.510555	0.976248	0.915391
4:4	chr22	chr21	19	38000	0.036634	0.002500	0.416902	0.995489	0.958855
4:4	chr15	chr21	18	36000	0.081380	0.002150	0.919390	0.962198	0.880818
4:4	chrX	chr11	18	36000	0.191080	0.064773	0.904984	0.698658	0.507578
4:4	chr1	chr14	16	32000	0.226440	0.134100	0.650058	0.811476	0.585036
4:4	chrX	chr15	16	32000	0.143569	0.071029	0.603474	0.666546	0.522977
4:4	chr5	chr1	15	30000	0.039044	0.004749	0.311796	0.955323	0.916279
4:4	chrX	chr8	15	30000	0.160609	0.138196	0.504657	0.665269	0.504659
4:4	chr14	chr22	14	28000	0.012064	0.001252	0.123350	0.993700	0.981637
4:4	chr22	chr15	14	28000	0.062851	0.001874	0.769444	0.996446	0.933595
4:4	chrX	chr9	14	28000	0.209577	0.066211	0.695444	0.640391	0.430814
4:4	chr20	chr6	13	26000	0.007516	0.006000	0.020163	0.998538	0.991022
4:4	chrX	chr18	10	20000	0.195742	0.013448	0.882963	0.743392	0.547650
4:4	chr13	chr15	9	18000	0.142240	0.005500	0.717864	0.965019	0.822778
4:4	chr15	chr14	9	18000	0.137438	0.001499	0.488025	0.930880	0.793442
4:4	chr19	chrX	9	18000	0.081446	0.005000	0.574843	0.891653	0.810207
4:4	chrX	chr17	9	18000	0.211009	0.154939	0.746002	0.645988	0.434979
4:4	chrX	chr19	9	18000	0.291025	0.172505	0.816496	0.532775	0.241750
4:4	chr1	chr22	8	16000	0.278511	0.309390	0.607758	0.803223	0.524712
4:4	chr15	chr22	8	16000	0.139639	0.035444	0.715000	0.930692	0.791053
4:4	chr11	chr3	7	14000	0.271523	0.235103	0.631315	0.687938	0.416415
4:4	chr9	chr2	7	14000	0.005182	0.001613	0.027819	0.991772	0.986590
4:4	chr22	chr13	6	12000	0.007952	0.000876	0.039437	0.908386	0.900434
4:4	chr6	chr5	6	12000	0.104123	0.026675	0.304845	0.822461	0.718338
4:4	chrX	chr13	6	12000	0.256901	0.176236	0.567811	0.603374	0.346473
4:4	chr1	chr9	5	10000	0.365703	0.452871	0.897512	0.833475	0.467772
4:4	chr9	chr19	5	10000	0.001498	0.001751	0.002738	0.998500	0.997002
4:4	chrX	chr16	5	10000	0.122195	0.049704	0.474778	0.674410	0.552214
4:4	chrX	chr22	5	10000	0.146911	0.153841	0.266156	0.524191	0.377280
4:4	chr1	chr2	4	8000	0.192115	0.079706	0.604096	0.648842	0.456726
4:4	chr1	chr4	4	8000	0.363622	0.246120	0.961746	0.965752	0.602131
4:4	chr10	chrX	4	8000	0.023142	0.016855	0.045507	0.474981	0.451838
4:4	chr16	chr1	4	8000	0.201162	0.079760	0.631097	0.492745	0.291583
4:4	chr2	chr10	4	8000	0.196387	0.183375	0.398888	0.679258	0.482871
4:4	chr2	chrX	4	8000	0.420738	0.461559	0.732339	0.781081	0.360343
4:4	chr22	chr3	4	8000	0.002440	0.002125	0.004766	0.995870	0.993430
4:4	chr4	chr10	4	8000	0.111944	0.016616	0.406623	0.646847	0.534903
4:4	chr5	chr8	4	8000	0.189421	0.165142	0.376632	0.641367	0.451946
4:4	chr1	chr10	3	6000	0.125444	0.023241	0.345208	0.988084	0.862640
4:4	chr1	chr6	3	6000	0.155032	0.101234	0.293682	0.628041	0.473010
4:4	chr12	chr2	3	6000	0.120246	0.004043	0.354264	0.910140	0.789894
4:4	chr12	chr3	3	6000	0.298215	0.230283	0.662363	0.793301	0.495085
4:4	chr13	chr17	3	6000	0.286968	0.137244	0.646966	0.919763	0.632796
4:4	chr13	chr2	3	6000	0.201052	0.214726	0.383556	0.796048	0.594997
4:4	chr14	chr11	3	6000	0.163994	0.008564	0.479322	0.805927	0.641933
4:4	chr15	chr11	3	6000	0.282887	0.099789	0.711346	0.590119	0.307231
4:4	chr16	chr10	3	6000	0.213512	0.234830	0.372926	0.611049	0.397537
4:4	chr16	chr12	3	6000	0.417411	0.405744	0.678288	0.453123	0.035713
4:4	chr17	chr1	3	6000	0.430025	0.377495	0.849201	0.847583	0.417558
4:4	chr17	chr2	3	6000	0.068816	0.023628	0.179619	0.631702	0.562886
4:4	chr18	chr21	3	6000	0.231574	0.124901	0.568067	0.990911	0.759337
4:4	chr2	chr1	3	6000	0.384073	0.505389	0.543087	0.697831	0.313758
4:4	chr2	chr5	3	6000	0.137293	0.046022	0.364857	0.793798	0.656505
4:4	chr2	chr6	3	6000	0.241580	0.271808	0.420313	0.861373	0.619793
4:4	chr20	chr7	3	6000	0.066015	0.061202	0.127587	0.812581	0.746566
4:4	chr3	chr2	3	6000	0.097557	0.051618	0.227071	0.630614	0.533057
4:4	chr3	chrX	3	6000	0.330242	0.318616	0.493196	0.678518	0.348276
4:4	chr5	chr14	3	6000	0.183196	0.017868	0.516916	0.604718	0.421521
4:4	chr5	chr15	3	6000	0.228634	0.008170	0.674225	0.788336	0.559702
4:4	chr5	chr3	3	6000	0.089628	0.044285	0.212580	0.587668	0.498041
4:4	chr6	chr13	3	6000	0.106130	0.097614	0.204372	0.413707	0.307577
4:4	chr6	chrX	3	6000	0.001920	0.001761	0.003000	0.998251	0.996330
4:4	chr7	chr15	3	6000	0.257448	0.346023	0.360727	0.665966	0.408518
4:4	chr9	chr4	3	6000	0.369771	0.253660	0.842531	0.682030	0.312259
4:4	chr1	chr13	2	4000	0.373657	0.373657	0.685492	0.675821	0.302164
4:4	chr10	chr1	2	4000	0.026927	0.026927	0.052602	0.934043	0.907116
4:4	chr10	chr2	2	4000	0.678904	0.678904	0.986785	0.839802	0.160897
4:4	chr11	chr12	2	4000	0.544095	0.544095	0.624180	0.794397	0.250301
4:4	chr12	chr6	2	4000	0.617738	0.617738	0.918594	0.948971	0.331233
4:4	chr14	chr13	2	4000	0.039565	0.039565	0.073890	0.348782	0.309217
4:4	chr14	chr15	2	4000	0.047421	0.047421	0.094340	0.999251	0.951830
4:4	chr14	chr3	2	4000	0.445623	0.445623	0.638151	0.739382	0.293760
4:4	chr15	chr8	2	4000	0.486373	0.486373	0.870279	0.586286	0.099913
4:4	chr15	chrY	2	4000	0.352030	0.352030	0.629105	0.811020	0.458990
4:4	chr16	chr2	2	4000	0.109147	0.109147	0.217540	0.701897	0.592750
4:4	chr17	chr6	2	4000	0.462716	0.462716	0.647522	0.735272	0.272557
4:4	chr18	chr5	2	4000	0.200559	0.200559	0.279902	0.800401	0.599843
4:4	chr19	chr8	2	4000	0.423318	0.423318	0.565992	0.899272	0.475954
4:4	chr2	chr11	2	4000	0.443680	0.443680	0.710926	0.754821	0.311140
4:4	chr2	chr12	2	4000	0.019670	0.019670	0.020802	0.508148	0.488478
4:4	chr2	chr17	2	4000	0.293376	0.293376	0.481369	0.847928	0.554552
4:4	chr2	chr4	2	4000	0.024833	0.024833	0.047945	0.688484	0.663651
4:4	chr20	chr1	2	4000	0.127318	0.127318	0.207618	0.550251	0.422933
4:4	chr21	chr15	2	4000	0.000373	0.000373	0.000497	0.999374	0.999001
4:4	chr3	chr12	2	4000	0.106092	0.106092	0.176560	0.365723	0.259632
4:4	chr3	chr4	2	4000	0.031446	0.031446	0.048341	0.672161	0.640715
4:4	chr3	chr8	2	4000	0.199385	0.199385	0.209661	0.471350	0.271965
4:4	chr4	chr5	2	4000	0.191498	0.191498	0.312452	0.691887	0.500388
4:4	chr4	chr6	2	4000	0.258759	0.258759	0.317906	0.657823	0.399064
4:4	chr5	chr18	2	4000	0.106812	0.106812	0.213123	0.835199	0.728387
4:4	chr5	chr4	2	4000	0.019713	0.019713	0.038456	0.450234	0.430521
4:4	chr5	chr6	2	4000	0.480372	0.480372	0.896996	0.553728	0.073356
4:4	chr5	chrX	2	4000	0.509572	0.509572	0.657313	0.823810	0.314238
4:4	chr6	chr1	2	4000	0.217278	0.217278	0.430710	0.801829	0.584551
4:4	chr6	chr11	2	4000	0.022185	0.022185	0.034093	0.392672	0.370487
4:4	chr6	chr17	2	4000	0.215030	0.215030	0.320206	0.574620	0.359590
4:4	chr6	chr2	2	4000	0.085416	0.085416	0.124454	0.607717	0.522301
4:4	chr6	chr4	2	4000	0.300980	0.300980	0.336851	0.798997	0.498017
4:4	chr7	chr1	2	4000	0.156942	0.156942	0.300773	0.892652	0.735709
4:4	chr7	chr11	2	4000	0.349895	0.349895	0.358940	0.814515	0.464620
4:4	chr7	chr6	2	4000	0.035471	0.035471	0.068267	0.710404	0.674933
4:4	chr7	chrX	2	4000	0.023705	0.023705	0.027948	0.836668	0.812963
4:4	chrX	chr20	2	4000	0.153596	0.153596	0.214066	0.462730	0.309134
4:4	chr1	chr15	1	2000	0.012247	0.012247	0.012247	0.988758	0.976512
4:4	chr1	chr16	1	2000	0.000500	0.000500	0.000500	0.994997	0.994497
4:4	chr1	chr17	1	2000	0.000500	0.000500	0.000500	0.998500	0.998000
1:1	chr1	chr8	1	2000	0.065384	0.065384	0.065384	0.390342	0.324958
4:4	chr10	chr12	1	2000	0.097494	0.097494	0.097494	0.264313	0.166819
4:4	chr10	chr16	1	2000	0.003500	0.003500	0.003500	0.998000	0.994500
4:4	chr10	chr17	1	2000	0.405394	0.405394	0.405394	0.931555	0.526161
4:4	chr10	chr18	1	2000	0.000991	0.000991	0.000991	0.993011	0.992020
4:4	chr10	chr5	1	2000	0.004834	0.004834	0.004834	0.965206	0.960373
4:4	chr10	chr6	1	2000	0.168000	0.168000	0.168000	0.958781	0.790781
4:4	chr10	chr8	1	2000	0.087972	0.087972	0.087972	0.617929	0.529957
4:4	chr11	chr1	1	2000	0.581818	0.581818	0.581818	0.762728	0.180909
4:4	chr11	chr10	1	2000	0.002339	0.002339	0.002339	0.768925	0.766586
4:4	chr11	chr18	1	2000	0.715526	0.715526	0.715526	0.789069	0.073543
4:4	chr11	chr19	1	2000	0.567533	0.567533	0.567533	0.933467	0.365933
4:4	chr11	chr2	1	2000	0.597694	0.597694	0.597694	0.888401	0.290708
1:1	chr11	chr3	1	2000	0.506184	0.506184	0.506184	0.868852	0.362669
4:4	chr12	chr1	1	2000	0.332946	0.332946	0.332946	0.656229	0.323283
4:4	chr12	chr13	1	2000	0.259159	0.259159	0.259159	0.984000	0.724841
4:4	chr12	chr15	1	2000	0.001000	0.001000	0.001000	1.000000	0.999000
4:4	chr12	chr16	1	2000	0.577954	0.577954	0.577954	0.895028	0.317073
4:4	chr12	chr17	1	2000	0.004499	0.004499	0.004499	0.982754	0.978255
4:4	chr12	chr18	1	2000	0.352920	0.352920	0.352920	0.803733	0.450813
4:4	chr12	chr22	1	2000	0.632226	0.632226	0.632226	0.661783	0.029557
4:4	chr12	chr7	1	2000	0.454325	0.454325	0.454325	0.506752	0.052427
4:4	chr13	chr10	1	2000	0.166697	0.166697	0.166697	0.745233	0.578536
1:1	chr13	chr11	1	2000	0.031741	0.031741	0.031741	0.083373	0.051632
4:4	chr13	chr11	1	2000	0.185477	0.185477	0.185477	0.237109	0.051632
4:4	chr13	chr3	1	2000	0.571369	0.571369	0.571369	0.581319	0.009950
4:4	chr13	chr9	1	2000	0.002687	0.002687	0.002687	0.204210	0.201523
4:4	chr14	chr1	1	2000	0.127247	0.127247	0.127247	0.155832	0.028585
4:4	chr14	chr12	1	2000	0.307435	0.307435	0.307435	0.799522	0.492087
4:4	chr14	chr17	1	2000	0.021799	0.021799	0.021799	0.974802	0.953003
4:4	chr14	chr21	1	2000	0.366297	0.366297	0.366297	0.715843	0.349547
4:4	chr14	chr5	1	2000	0.003000	0.003000	0.003000	0.986500	0.983500
4:4	chr14	chr6	1	2000	0.018753	0.018753	0.018753	0.994741	0.975988
4:4	chr14	chr7	1	2000	0.001252	0.001252	0.001252	0.990752	0.989500
4:4	chr15	chr1	1	2000	0.046167	0.046167	0.046167	0.814925	0.768758
4:4	chr15	chr10	1	2000	0.196221	0.196221	0.196221	0.755818	0.559597
4:4	chr15	chr19	1	2000	0.373663	0.373663	0.373663	0.826698	0.453034
4:4	chr15	chr2	1	2000	0.335768	0.335768	0.335768	0.593607	0.257840
4:4	chr15	chr20	1	2000	0.352450	0.352450	0.352450	0.815385	0.462935
4:4	chr15	chr7	1	2000	0.843309	0.843309	0.843309	0.965375	0.122066
4:4	chr15	chrX	1	2000	0.686738	0.686738	0.686738	0.920321	0.233583
4:4	chr16	chr5	1	2000	0.202376	0.202376	0.202376	0.792173	0.589797
4:4	chr16	chr6	1	2000	0.161115	0.161115	0.161115	0.999750	0.838635
4:4	chr16	chr7	1	2000	0.026345	0.026345	0.026345	0.705293	0.678947
4:4	chr16	chr8	1	2000	0.131317	0.131317	0.131317	0.486065	0.354747
4:4	chr16	chr9	1	2000	0.084037	0.084037	0.084037	0.883032	0.798995
4:4	chr17	chr10	1	2000	0.119460	0.119460	0.119460	0.534941	0.415482
4:4	chr17	chr11	1	2000	0.028385	0.028385	0.028385	0.224989	0.196604
4:4	chr17	chr13	1	2000	0.087647	0.087647	0.087647	0.666446	0.578799
4:4	chr17	chr14	1	2000	0.009308	0.009308	0.009308	0.737344	0.728036
4:4	chr17	chr15	1	2000	0.129321	0.129321	0.129321	0.589267	0.459946
4:4	chr17	chr19	1	2000	0.350771	0.350771	0.350771	0.381298	0.030527
4:4	chr17	chr21	1	2000	0.015770	0.015770	0.015770	0.453364	0.437594
4:4	chr17	chr5	1	2000	0.355995	0.355995	0.355995	0.745710	0.389715
4:4	chr17	chr7	1	2000	0.065983	0.065983	0.065983	0.657209	0.591226
1:1	chr17	chr8	1	2000	0.347203	0.347203	0.347203	0.759901	0.412698
4:4	chr17	chr8	1	2000	0.347203	0.347203	0.347203	0.759901	0.412698
1:1	chr18	chr1	1	2000	0.836547	0.836547	0.836547	1.000000	0.163453
4:4	chr18	chr1	1	2000	0.836547	0.836547	0.836547	1.000000	0.163453
4:4	chr18	chr12	1	2000	0.048155	0.048155	0.048155	0.826507	0.778352
4:4	chr18	chr7	1	2000	0.062794	0.062794	0.062794	0.953954	0.891160
4:4	chr18	chr9	1	2000	0.024572	0.024572	0.024572	0.540560	0.515988
4:4	chr19	chr13	1	2000	0.553258	0.553258	0.553258	0.809579	0.256321
4:4	chr19	chr15	1	2000	0.298701	0.298701	0.298701	1.000000	0.701299
4:4	chr19	chr17	1	2000	0.250788	0.250788	0.250788	0.622635	0.371847
4:4	chr19	chr4	1	2000	0.660441	0.660441	0.660441	0.945791	0.285349
4:4	chr19	chr7	1	2000	0.191315	0.191315	0.191315	0.200266	0.008951
1:1	chr19	chr8	1	2000	0.280645	0.280645	0.280645	0.932848	0.652203
4:4	chr2	chr14	1	2000	0.006186	0.006186	0.006186	0.835745	0.829558
4:4	chr2	chr20	1	2000	0.118227	0.118227	0.118227	0.149723	0.031496
4:4	chr2	chr22	1	2000	0.227615	0.227615	0.227615	0.981509	0.753894
4:4	chr2	chr9	1	2000	0.270032	0.270032	0.270032	0.565830	0.295798
4:4	chr20	chr11	1	2000	0.162040	0.162040	0.162040	0.854568	0.692528
4:4	chr20	chr12	1	2000	0.032223	0.032223	0.032223	0.399372	0.367150
4:4	chr20	chr13	1	2000	0.112609	0.112609	0.112609	0.451466	0.338857
4:4	chr20	chr15	1	2000	0.050140	0.050140	0.050140	0.916261	0.866122
1:1	chr20	chr5	1	2000	0.166479	0.166479	0.166479	0.266147	0.099668
4:4	chr20	chr5	1	2000	0.166479	0.166479	0.166479	0.266147	0.099668
4:4	chr22	chr6	1	2000	0.196429	0.196429	0.196429	0.371406	0.174977
4:4	chr3	chr1	1	2000	0.074234	0.074234	0.074234	0.629827	0.555593
