basis	query_chrom	target_chrom	query_start	query_end	bp	windows	mean_delta	max_delta	mean_inter_identity	mean_same_identity
10:10	chr13	chr21	7002000	7016000	14000	7	0.001858	0.004500	0.998607	0.996750
10:10	chr13	chr21	7288000	7302000	14000	7	0.002214	0.003000	0.999429	0.997214
10:10	chr21	chr13	6402000	6416000	14000	7	0.001858	0.003999	0.998464	0.996606
10:10	chr21	chr13	7572000	7586000	14000	7	0.057175	0.346262	0.993499	0.936324
10:10	chr22	chr14	398000	412000	14000	7	0.237909	0.993018	0.998393	0.760484
10:10	chr22	chr15	2808000	2822000	14000	7	0.004180	0.006754	0.999179	0.994999
10:10	chr5	chr1	182008000	182022000	14000	7	0.005996	0.010495	0.998357	0.992361
10:10	chr1	chr14	130992000	131004000	12000	6	0.334480	0.650376	0.945366	0.610886
10:10	chr1	chr22	131032000	131044000	12000	6	0.159160	0.370488	0.843897	0.684737
10:10	chr1	chr22	131074000	131086000	12000	6	0.157494	0.459098	0.955388	0.797894
10:10	chr13	chr14	5122000	5134000	12000	6	0.014180	0.029332	0.995707	0.981527
10:10	chr13	chr21	5672000	5684000	12000	6	0.145206	0.335860	0.934786	0.789579
10:10	chr13	chr21	6234000	6246000	12000	6	0.051673	0.234925	0.998250	0.946577
10:10	chr13	chr21	6778000	6790000	12000	6	0.187916	0.937130	0.998292	0.810375
10:10	chr13	chr21	6960000	6972000	12000	6	0.009250	0.045001	0.998750	0.989500
10:10	chr13	chr21	7038000	7050000	12000	6	0.001957	0.003000	0.998542	0.996585
10:10	chr15	chr13	382000	394000	12000	6	0.007755	0.024532	0.999208	0.991454
10:10	chr15	chr3	5192000	5204000	12000	6	0.038780	0.060058	0.992043	0.953263
10:10	chr21	chr13	6110000	6122000	12000	6	0.008160	0.018264	0.999417	0.991256
10:10	chr21	chr13	6124000	6136000	12000	6	0.003881	0.006526	0.998917	0.995036
10:10	chr22	chr14	294000	306000	12000	6	0.179266	0.587255	0.995250	0.815984
10:10	chr22	chr15	3256000	3268000	12000	6	0.018239	0.040427	0.993493	0.975254
10:10	chr9	chr5	49638000	49650000	12000	6	0.187557	0.328132	0.913977	0.726420
10:10	chr1	chr14	130854000	130864000	10000	5	0.308926	0.759771	0.956026	0.647100
10:10	chr13	chr22	2236000	2246000	10000	5	0.003739	0.007705	0.998800	0.995061
10:10	chr13	chr22	4110000	4120000	10000	5	0.010381	0.025679	0.996651	0.986270
10:10	chr13	chr14	4662000	4672000	10000	5	0.005800	0.009244	0.923041	0.917241
10:10	chr13	chr21	5386000	5396000	10000	5	0.001750	0.002500	0.999000	0.997250
10:10	chr13	chr21	6304000	6314000	10000	5	0.001899	0.003000	0.999300	0.997401
10:10	chr13	chr21	6746000	6756000	10000	5	0.033979	0.162678	0.992095	0.958117
10:10	chr21	chr13	5934000	5944000	10000	5	0.000588	0.001001	0.922570	0.921982
10:10	chr21	chr13	6390000	6400000	10000	5	0.001000	0.001752	0.997150	0.996149
10:10	chr21	chr13	6460000	6470000	10000	5	0.001550	0.002748	0.999250	0.997700
10:10	chr22	chr21	168000	178000	10000	5	0.040122	0.159749	0.998045	0.957924
10:10	chr22	chr15	684000	694000	10000	5	0.007828	0.032890	0.998950	0.991122
10:10	chr22	chr3	2554000	2564000	10000	5	0.428681	0.747765	0.994800	0.566119
10:10	chr22	chr21	3196000	3206000	10000	5	0.014996	0.023738	0.998101	0.983105
10:10	chr22	chr14	3246000	3256000	10000	5	0.020394	0.023828	0.997050	0.976656
10:10	chr9	chr5	49516000	49526000	10000	5	0.152526	0.308129	0.925940	0.773413
10:10	chr13	chr22	4130000	4138000	8000	4	0.030477	0.102119	0.996686	0.966209
10:10	chr13	chr4	4748000	4756000	8000	4	0.181423	0.621919	0.991880	0.810456
10:10	chr13	chr4	4764000	4772000	8000	4	0.200220	0.495498	0.991759	0.791538
10:10	chr13	chr14	5104000	5112000	8000	4	0.001002	0.001567	0.980024	0.979022
10:10	chr13	chr21	5398000	5406000	8000	4	0.001813	0.003753	0.998126	0.996313
10:10	chr13	chr15	5730000	5738000	8000	4	0.069677	0.136040	0.890841	0.821164
10:10	chr13	chr21	6124000	6132000	8000	4	0.000625	0.001000	0.999875	0.999250
10:10	chr13	chr17	6502000	6510000	8000	4	0.033969	0.076693	0.890210	0.856242
10:10	chr13	chr17	6512000	6520000	8000	4	0.018841	0.025996	0.941780	0.922939
10:10	chr13	chr21	6866000	6874000	8000	4	0.016725	0.050385	0.966832	0.950107
10:10	chr13	chr21	6892000	6900000	8000	4	0.005251	0.007476	0.961299	0.956048
10:10	chr13	chr21	6984000	6992000	8000	4	0.002501	0.003255	0.999500	0.996999
10:10	chr13	chr21	7212000	7220000	8000	4	0.036880	0.143769	0.995795	0.958915
10:10	chr15	chr13	494000	502000	8000	4	0.037574	0.046253	0.995750	0.958176
10:10	chr21	chr13	5960000	5968000	8000	4	0.000999	0.001500	0.998749	0.997750
10:10	chr21	chr13	6360000	6368000	8000	4	0.001999	0.003500	0.998750	0.996751
10:10	chr21	chr13	7320000	7328000	8000	4	0.460927	0.943702	0.991128	0.530201
10:10	chr22	chr21	620000	628000	8000	4	0.102079	0.167579	0.996122	0.894042
10:10	chr22	chr15	704000	712000	8000	4	0.085234	0.195508	0.999125	0.913891
10:10	chr22	chr15	2690000	2698000	8000	4	0.011314	0.013247	0.997438	0.986124
10:10	chr22	chr3	2702000	2710000	8000	4	0.010127	0.013243	0.997121	0.986994
10:10	chr22	chr14	3900000	3908000	8000	4	0.108290	0.428911	0.994026	0.885736
10:10	chr5	chr1	182090000	182098000	8000	4	0.006285	0.012964	0.996498	0.990213
10:10	chr9	chr5	49478000	49486000	8000	4	0.034064	0.046753	0.817532	0.783469
10:10	chr1	chr22	129332000	129338000	6000	3	0.164328	0.171790	0.911688	0.747360
10:10	chr1	chr14	130802000	130808000	6000	3	0.216388	0.411392	0.971775	0.755387
10:10	chr1	chr14	130922000	130928000	6000	3	0.220903	0.291972	0.936658	0.715755
10:10	chr13	chr14	1820000	1826000	6000	3	0.085808	0.182705	0.925640	0.839832
10:10	chr13	chr14	2034000	2040000	6000	3	0.061227	0.124368	0.998500	0.937273
10:10	chr13	chr22	2228000	2234000	6000	3	0.001331	0.002500	0.999000	0.997668
10:10	chr13	chr22	2436000	2442000	6000	3	0.002001	0.003524	0.987244	0.985243
10:10	chr13	chr14	2700000	2706000	6000	3	0.009588	0.015519	0.994000	0.984412
10:10	chr13	chr15	2712000	2718000	6000	3	0.328900	0.937387	0.992827	0.663927
10:10	chr13	chr22	3978000	3984000	6000	3	0.007243	0.012401	0.943793	0.936550
10:10	chr13	chr22	4674000	4680000	6000	3	0.002363	0.003836	0.897993	0.895630
10:10	chr13	chr4	4706000	4712000	6000	3	0.235981	0.693971	0.864114	0.628133
10:10	chr13	chr22	5030000	5036000	6000	3	0.002439	0.006060	0.982104	0.979665
10:10	chr13	chr22	5060000	5066000	6000	3	0.001744	0.002726	0.990323	0.988580
10:10	chr13	chr22	5076000	5082000	6000	3	0.001668	0.002768	0.991254	0.989585
10:10	chr13	chr21	5348000	5354000	6000	3	0.001083	0.001750	0.998583	0.997500
10:10	chr13	chr21	5852000	5858000	6000	3	0.000917	0.001500	0.999500	0.998583
10:10	chr13	chr21	5902000	5908000	6000	3	0.000833	0.001247	0.998077	0.997244
10:10	chr13	chr21	6160000	6166000	6000	3	0.003833	0.005000	0.998333	0.994500
10:10	chr13	chr21	6250000	6256000	6000	3	0.001084	0.001500	0.998583	0.997499
10:10	chr13	chr21	6530000	6536000	6000	3	0.000667	0.000750	0.998584	0.997917
10:10	chr13	chr14	6650000	6656000	6000	3	0.001752	0.003000	0.996667	0.994915
10:10	chr13	chr21	6838000	6844000	6000	3	0.002142	0.004675	0.997671	0.995529
10:10	chr13	chr21	6854000	6860000	6000	3	0.010333	0.023000	0.987167	0.976833
10:10	chr13	chr14	6860000	6866000	6000	3	0.036820	0.046965	0.967921	0.931101
10:10	chr13	chr14	6882000	6888000	6000	3	0.028866	0.039534	0.972425	0.943559
10:10	chr13	chr21	6912000	6918000	6000	3	0.083256	0.160146	0.984595	0.901339
10:10	chr13	chr21	6976000	6982000	6000	3	0.001167	0.001500	0.998417	0.997250
10:10	chr13	chr21	7252000	7258000	6000	3	0.001665	0.001750	0.997499	0.995834
10:10	chr13	chr21	7584000	7590000	6000	3	0.227008	0.347567	0.993496	0.766488
10:10	chr13	chr21	7974000	7980000	6000	3	0.394419	0.779631	0.997669	0.603250
10:10	chr14	chr13	3730000	3736000	6000	3	0.001838	0.003770	0.998331	0.996493
10:10	chr15	chr3	5184000	5190000	6000	3	0.036203	0.043851	0.991669	0.955466
10:10	chr18	chrX	15494000	15500000	6000	3	0.003731	0.009209	0.854304	0.850573
10:10	chr21	chr14	3000000	3006000	6000	3	0.156696	0.461866	0.999833	0.843138
10:10	chr21	chr15	5798000	5804000	6000	3	0.056411	0.061500	0.971078	0.914667
10:10	chr21	chr14	5988000	5994000	6000	3	0.002001	0.004251	0.998250	0.996249
10:10	chr21	chr13	6054000	6060000	6000	3	0.010386	0.015637	0.998667	0.988280
10:10	chr21	chr13	6170000	6176000	6000	3	0.001647	0.003443	0.995680	0.994033
10:10	chr21	chr13	6248000	6254000	6000	3	0.003188	0.007814	0.998167	0.994979
10:10	chr21	chr13	6346000	6352000	6000	3	0.309886	0.905886	0.979596	0.669710
10:10	chr21	chr15	7598000	7604000	6000	3	0.003155	0.008461	0.993418	0.990264
10:10	chr21	chr22	7754000	7760000	6000	3	0.312814	0.844538	0.899402	0.586588
10:10	chr21	chr14	7886000	7892000	6000	3	0.088764	0.130614	0.932758	0.843994
10:10	chr22	chr21	180000	186000	6000	3	0.045294	0.071585	0.999083	0.953790
10:10	chr22	chr21	198000	204000	6000	3	0.343423	0.689236	0.999667	0.656244
10:10	chr22	chr21	630000	636000	6000	3	0.002583	0.004500	0.998750	0.996167
10:10	chr22	chr3	2684000	2690000	6000	3	0.058027	0.149331	0.997084	0.939057
10:10	chr22	chr15	2724000	2730000	6000	3	0.123978	0.304748	0.997167	0.873189
10:10	chr22	chr15	2824000	2830000	6000	3	0.006090	0.008770	0.999500	0.993410
10:10	chr22	chr14	2834000	2840000	6000	3	0.001585	0.003000	0.995834	0.994248
10:10	chr22	chr21	2960000	2966000	6000	3	0.003688	0.005821	0.994827	0.991139
10:10	chr22	chr14	3002000	3008000	6000	3	0.277835	0.797011	0.992095	0.714261
10:10	chr22	chr15	3238000	3244000	6000	3	0.003337	0.005508	0.996250	0.992913
10:10	chr22	chr21	3268000	3274000	6000	3	0.004833	0.006000	0.998500	0.993668
10:10	chr22	chr15	3274000	3280000	6000	3	0.044398	0.110894	0.995493	0.951095
10:10	chr5	chr1	182034000	182040000	6000	3	0.001998	0.003244	0.994501	0.992503
10:10	chr9	chr5	49498000	49504000	6000	3	0.043609	0.087716	0.847625	0.804016
10:10	chr9	chr5	49628000	49634000	6000	3	0.325043	0.796373	0.937016	0.611973
10:10	chrX	chrY	1298000	1304000	6000	3	0.000603	0.001497	0.994763	0.994160
10:10	chr1	chr4	2000	6000	4000	2	0.484372	0.962727	1.000000	0.515628
10:10	chr1	chr7	129096000	129100000	4000	2	0.311326	0.615897	0.968257	0.656931
10:10	chr1	chr16	129238000	129242000	4000	2	0.001204	0.001935	0.909579	0.908375
10:10	chr1	chr14	129360000	129364000	4000	2	0.078082	0.149094	0.750157	0.672075
10:10	chr1	chr14	129914000	129918000	4000	2	0.574144	0.851320	0.982608	0.408464
10:10	chr1	chr22	130666000	130670000	4000	2	0.067834	0.082808	0.988620	0.920786
10:10	chr1	chr14	130670000	130674000	4000	2	0.262950	0.425173	0.988500	0.725550
10:10	chr1	chr22	130868000	130872000	4000	2	0.234582	0.469077	0.776718	0.542137
10:10	chr1	chr14	130890000	130894000	4000	2	0.265836	0.405916	0.973628	0.707792
10:10	chr1	chr22	130894000	130898000	4000	2	0.587898	0.795256	0.961798	0.373901
10:10	chr1	chr14	130898000	130902000	4000	2	0.474589	0.833704	0.958116	0.483527
10:10	chr1	chr22	130944000	130948000	4000	2	0.073979	0.142238	0.943350	0.869371
10:10	chr1	chr14	130954000	130958000	4000	2	0.264951	0.449851	0.947002	0.682051
10:10	chr1	chr14	131120000	131124000	4000	2	0.307890	0.612780	0.890773	0.582883
10:10	chr1	chr22	131436000	131440000	4000	2	0.400033	0.501088	0.809885	0.409852
10:10	chr1	chr4	247764000	247768000	4000	2	0.434518	0.868036	0.999875	0.565357
10:10	chr11	chr7	0	4000	4000	2	0.056342	0.112185	0.884969	0.828627
10:10	chr13	chr22	2118000	2122000	4000	2	0.001500	0.002500	0.997250	0.995750
10:10	chr13	chr3	2246000	2250000	4000	2	0.003127	0.004248	0.995750	0.992623
10:10	chr13	chr22	2262000	2266000	4000	2	0.002240	0.003479	0.998250	0.996011
10:10	chr13	chr15	2636000	2640000	4000	2	0.013095	0.019691	0.992124	0.979028
10:10	chr13	chr21	2656000	2660000	4000	2	0.007879	0.012005	0.994876	0.986997
10:10	chr13	chr21	2694000	2698000	4000	2	0.006123	0.009247	0.997625	0.991502
10:10	chr13	chr22	2708000	2712000	4000	2	0.012372	0.015245	0.991250	0.978878
10:10	chr13	chr14	2924000	2928000	4000	2	0.062870	0.124742	0.995865	0.932995
10:10	chr13	chr22	3970000	3974000	4000	2	0.000878	0.001752	0.994759	0.993881
10:10	chr13	chr22	3988000	3992000	4000	2	0.000873	0.001496	0.998000	0.997127
10:10	chr13	chr22	3994000	3998000	4000	2	0.001006	0.001015	0.998126	0.997120
10:10	chr13	chr22	4000000	4004000	4000	2	0.129203	0.256410	0.999250	0.870047
10:10	chr13	chr22	4018000	4022000	4000	2	0.000749	0.001243	0.997377	0.996627
10:10	chr13	chr15	4044000	4048000	4000	2	0.301795	0.603341	0.998247	0.696452
10:10	chr13	chr15	4058000	4062000	4000	2	0.032432	0.063361	0.998004	0.965571
10:10	chr13	chr21	4120000	4124000	4000	2	0.012010	0.017503	0.997000	0.984990
10:10	chr13	chr22	4124000	4128000	4000	2	0.006877	0.008000	0.996875	0.989998
10:10	chr13	chr4	4680000	4684000	4000	2	0.100212	0.195178	0.870313	0.770101
10:10	chr13	chr4	4742000	4746000	4000	2	0.834862	0.933568	0.991731	0.156869
10:10	chr13	chr22	5020000	5024000	4000	2	0.008076	0.010269	0.956569	0.948493
10:10	chr13	chr22	5040000	5044000	4000	2	0.000743	0.000985	0.991734	0.990992
10:10	chr13	chr21	5112000	5116000	4000	2	0.001751	0.003001	0.991747	0.989996
10:10	chr13	chr15	5118000	5122000	4000	2	0.003122	0.003991	0.980064	0.976941
10:10	chr13	chr14	5330000	5334000	4000	2	0.029140	0.033249	0.994374	0.965235
10:10	chr13	chr22	5334000	5338000	4000	2	0.021379	0.027797	0.993251	0.971873
10:10	chr13	chr21	5380000	5384000	4000	2	0.004661	0.008574	0.996252	0.991591
10:10	chr13	chr21	5738000	5742000	4000	2	0.225567	0.437925	0.935480	0.709914
10:10	chr13	chr21	5830000	5834000	4000	2	0.000500	0.000500	0.999750	0.999250
10:10	chr13	chr21	5890000	5894000	4000	2	0.000647	0.000794	0.996758	0.996111
10:10	chr13	chr21	5938000	5942000	4000	2	0.001000	0.001000	0.999500	0.998500
10:10	chr13	chr21	5998000	6002000	4000	2	0.000500	0.000500	0.999625	0.999125
10:10	chr13	chr21	6038000	6042000	4000	2	0.000375	0.000500	0.998625	0.998250
10:10	chr13	chr21	6048000	6052000	4000	2	0.005565	0.010630	0.999750	0.994185
10:10	chr13	chr21	6060000	6064000	4000	2	0.000751	0.001002	0.998875	0.998124
10:10	chr13	chr21	6078000	6082000	4000	2	0.000500	0.000500	0.999750	0.999250
10:10	chr13	chr21	6090000	6094000	4000	2	0.000500	0.000500	0.999625	0.999125
10:10	chr13	chr21	6316000	6320000	4000	2	0.069723	0.138445	0.998750	0.929027
10:10	chr13	chr21	6552000	6556000	4000	2	0.000375	0.000500	0.998875	0.998499
10:10	chr13	chr21	6664000	6668000	4000	2	0.004791	0.006815	0.995625	0.990834
10:10	chr13	chr14	6722000	6726000	4000	2	0.001515	0.001529	0.982489	0.980974
10:10	chr13	chr14	6756000	6760000	4000	2	0.001496	0.001986	0.995005	0.993509
10:10	chr13	chr21	6832000	6836000	4000	2	0.000500	0.000500	0.999000	0.998500
10:10	chr13	chr21	6902000	6906000	4000	2	0.004747	0.005471	0.957123	0.952375
10:10	chr13	chr14	6972000	6976000	4000	2	0.001000	0.001500	0.998500	0.997500
10:10	chr13	chr21	6996000	7000000	4000	2	0.001501	0.001501	0.998750	0.997249
10:10	chr13	chr14	7016000	7020000	4000	2	0.001250	0.002000	0.997375	0.996125
10:10	chr13	chr14	7032000	7036000	4000	2	0.002001	0.002500	0.997624	0.995623
10:10	chr13	chr21	7060000	7064000	4000	2	0.000625	0.000750	0.999250	0.998625
10:10	chr13	chr21	7070000	7074000	4000	2	0.364913	0.727576	0.998874	0.633962
10:10	chr13	chr21	7128000	7132000	4000	2	0.028754	0.049194	0.995510	0.966756
10:10	chr13	chr21	7148000	7152000	4000	2	0.001373	0.002000	0.997257	0.995883
10:10	chr13	chr21	7166000	7170000	4000	2	0.000750	0.001000	0.999750	0.999000
10:10	chr13	chr14	7312000	7316000	4000	2	0.014617	0.028229	0.992763	0.978146
10:10	chr13	chr21	7326000	7330000	4000	2	0.005255	0.006758	0.997500	0.992245
10:10	chr13	chr14	7576000	7580000	4000	2	0.116962	0.154252	0.986773	0.869811
10:10	chr13	chr22	7736000	7740000	4000	2	0.013447	0.013464	0.934870	0.921423
10:10	chr13	chr21	7740000	7744000	4000	2	0.000536	0.000572	0.840899	0.840364
10:10	chr13	chr15	7744000	7748000	4000	2	0.002881	0.003260	0.966975	0.964093
10:10	chr13	chr21	7754000	7758000	4000	2	0.001311	0.001620	0.810069	0.808758
10:10	chr13	chr21	7772000	7776000	4000	2	0.360557	0.697719	0.827421	0.466864
10:10	chr15	chr22	8000	12000	4000	2	0.494168	0.984837	0.997876	0.503708
10:10	chr15	chr13	426000	430000	4000	2	0.004623	0.006248	0.999500	0.994877
10:10	chr15	chr13	488000	492000	4000	2	0.030952	0.033425	0.994868	0.963916
10:10	chr16	chr7	90500000	90504000	4000	2	0.006017	0.011785	0.995635	0.989618
10:10	chr17	chr10	23040000	23044000	4000	2	0.034551	0.057610	0.966252	0.931701
10:10	chr18	chr21	15240000	15244000	4000	2	0.304012	0.392445	0.925217	0.621205
10:10	chr18	chr21	80484000	80488000	4000	2	0.284910	0.568067	0.995507	0.710598
10:10	chr2	chr18	244340000	244344000	4000	2	0.002625	0.004001	0.999875	0.997250
10:10	chr21	chr15	2972000	2976000	4000	2	0.000374	0.000499	0.999375	0.999001
10:10	chr21	chr14	3042000	3046000	4000	2	0.000127	0.000254	0.998626	0.998499
10:10	chr21	chr14	5970000	5974000	4000	2	0.000999	0.001000	0.998501	0.997502
10:10	chr21	chr14	5978000	5982000	4000	2	0.000375	0.000500	0.998500	0.998125
10:10	chr21	chr13	5984000	5988000	4000	2	0.001622	0.001749	0.998624	0.997002
10:10	chr21	chr14	6004000	6008000	4000	2	0.001376	0.001500	0.996002	0.994627
10:10	chr21	chr14	6012000	6016000	4000	2	0.003255	0.004510	0.998500	0.995245
10:10	chr21	chr14	6020000	6024000	4000	2	0.001000	0.001249	0.997500	0.996500
10:10	chr21	chr14	6042000	6046000	4000	2	0.001376	0.001754	0.997750	0.996374
10:10	chr21	chr14	6050000	6054000	4000	2	0.001373	0.002247	0.997000	0.995627
10:10	chr21	chr14	6166000	6170000	4000	2	0.013192	0.025884	0.931248	0.918056
10:10	chr21	chr14	6230000	6234000	4000	2	0.001501	0.002002	0.997750	0.996249
10:10	chr21	chr13	6242000	6246000	4000	2	0.000500	0.000500	0.998750	0.998250
10:10	chr21	chr13	6270000	6274000	4000	2	0.017479	0.033958	0.995000	0.977521
10:10	chr21	chr14	6276000	6280000	4000	2	0.050047	0.052091	0.974344	0.924297
10:10	chr21	chr13	6370000	6374000	4000	2	0.001251	0.001502	0.999000	0.997749
10:10	chr21	chr14	6380000	6384000	4000	2	0.001122	0.001243	0.993013	0.991891
10:10	chr21	chr14	6386000	6390000	4000	2	0.001000	0.001499	0.996001	0.995001
10:10	chr21	chr13	6452000	6456000	4000	2	0.002500	0.003000	0.998500	0.996000
10:10	chr21	chr14	6456000	6460000	4000	2	0.001251	0.001502	0.998500	0.997249
10:10	chr21	chr14	6470000	6474000	4000	2	0.001625	0.002000	0.999000	0.997375
10:10	chr21	chr13	6474000	6478000	4000	2	0.003248	0.003497	0.999375	0.996127
10:10	chr21	chr13	7042000	7046000	4000	2	0.161802	0.166831	0.996500	0.834698
10:10	chr21	chr14	7046000	7050000	4000	2	0.102637	0.160082	0.970646	0.868009
10:10	chr21	chr13	7054000	7058000	4000	2	0.155563	0.160337	0.996750	0.841187
10:10	chr21	chr14	7058000	7062000	4000	2	0.048225	0.091452	0.920894	0.872669
10:10	chr21	chr15	7164000	7168000	4000	2	0.001447	0.002246	0.831395	0.829948
10:10	chr21	chr15	7288000	7292000	4000	2	0.191374	0.343988	0.686792	0.495417
10:10	chr21	chr14	7594000	7598000	4000	2	0.002239	0.004223	0.990112	0.987873
10:10	chr21	chr13	7608000	7612000	4000	2	0.003962	0.005438	0.990116	0.986154
10:10	chr21	chr14	7616000	7620000	4000	2	0.005683	0.010867	0.982398	0.976715
10:10	chr21	chr14	7626000	7630000	4000	2	0.016486	0.018749	0.989748	0.973262
10:10	chr21	chr15	7630000	7634000	4000	2	0.014573	0.016181	0.989487	0.974914
10:10	chr21	chr13	7686000	7690000	4000	2	0.337688	0.666341	0.984469	0.646781
10:10	chr21	chr22	7766000	7770000	4000	2	0.016841	0.018997	0.839345	0.822504
10:10	chr21	chr14	7854000	7858000	4000	2	0.101031	0.118243	0.922372	0.821341
10:10	chr21	chr7	43898000	43902000	4000	2	0.246513	0.467009	0.982759	0.736246
10:10	chr22	chr21	0	4000	4000	2	0.324009	0.416402	0.984757	0.660749
10:10	chr22	chr14	256000	260000	4000	2	0.384961	0.759422	0.980377	0.595416
10:10	chr22	chr15	656000	660000	4000	2	0.001625	0.001750	0.998125	0.996500
10:10	chr22	chr14	720000	724000	4000	2	0.001252	0.001504	0.998124	0.996872
10:10	chr22	chr3	2678000	2682000	4000	2	0.029646	0.042471	0.997250	0.967604
10:10	chr22	chr15	2714000	2718000	4000	2	0.008744	0.009982	0.995376	0.986632
10:10	chr22	chr21	2718000	2722000	4000	2	0.009369	0.010253	0.995375	0.986007
10:10	chr22	chr21	2830000	2834000	4000	2	0.001000	0.001500	0.997001	0.996001
10:10	chr22	chr15	3008000	3012000	4000	2	0.013479	0.014221	0.992771	0.979292
10:10	chr22	chr14	3012000	3016000	4000	2	0.002504	0.002757	0.998000	0.995496
10:10	chr22	chr15	3142000	3146000	4000	2	0.283160	0.498876	0.993374	0.710214
10:10	chr22	chr21	3180000	3184000	4000	2	0.446166	0.891342	0.981290	0.535124
10:10	chr22	chr15	3184000	3188000	4000	2	0.000624	0.000747	0.991612	0.990988
10:10	chr22	chr15	3190000	3194000	4000	2	0.000499	0.000501	0.992993	0.992494
10:10	chr22	chr15	3222000	3226000	4000	2	0.003520	0.006034	0.993123	0.989604
10:10	chr22	chr21	3280000	3284000	4000	2	0.005874	0.007500	0.995874	0.990000
10:10	chr22	chr13	3284000	3288000	4000	2	0.005750	0.006500	0.996250	0.990500
10:10	chr22	chr14	3890000	3894000	4000	2	0.002124	0.002752	0.998376	0.996252
10:10	chr22	chr14	3950000	3954000	4000	2	0.058303	0.115879	0.988896	0.930593
10:10	chr3	chr21	2000	6000	4000	2	0.254174	0.508098	1.000000	0.745826
10:10	chr3	chr9	202492000	202496000	4000	2	0.000375	0.000500	0.999875	0.999500
10:10	chr3	chr4	202550000	202554000	4000	2	0.199028	0.397557	1.000000	0.800972
10:10	chr5	chr6	2000	6000	4000	2	0.362863	0.722219	0.998373	0.635510
10:10	chr5	chr1	182028000	182032000	4000	2	0.001000	0.001500	0.999500	0.998500
10:10	chr5	chr1	182100000	182104000	4000	2	0.012425	0.018598	0.833690	0.821265
10:10	chr8	chr13	0	4000	4000	2	0.208331	0.415415	0.996630	0.788299
10:10	chr9	chr11	1754000	1758000	4000	2	0.325562	0.649816	0.812675	0.487113
10:10	chr9	chr3	136162000	136166000	4000	2	0.001253	0.002007	0.999500	0.998247
10:10	chr9	chr7	136200000	136204000	4000	2	0.015758	0.016017	0.998750	0.982992
10:10	chrX	chrY	206000	210000	4000	2	0.000250	0.000250	0.999875	0.999625
