pair	transmission	query_arm	query_arm_order	target_arm	target_chrom	strict_segment_count	strict_total_bp	interchromosomal_bp	same_chromosome_bp	candidate_callout_bp	side_fragment_caveat_bp	event_ids	event_roles	target_haplotypes	query_windows_native	coordinate_system	geometry_source
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr5q	10	chr15q	chr15	1	1	1	0	0	0			PAN010#1	chr5:183333449-183833449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr6p	11	chr6p	chr6	1	499997	0	499997	0	0			PAN010#2	chr6:6947-506947	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr6q	12	chr6q	chr6	9	500000	0	500000	0	0			PAN010#1;PAN010#2	chr6:171365480-171865480	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr7p	13	chr7p	chr7	3	500000	0	500000	0	0			PAN010#1;PAN010#2	chr7:8960-508960	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr7q	14	chr7q	chr7	1	500000	0	500000	0	0			PAN010#1	chr7:159657678-160157678	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr8p	15	chr8p	chr8	1	500000	0	500000	0	0			PAN010#1	chr8:6750-506750	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr8q	16	chr8q	chr8	1	500000	0	500000	0	0			PAN010#2	chr8:146664859-147164859	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr9p	17	chr9p	chr9	3	500000	0	500000	0	0			PAN010#1;PAN010#2	chr9:7315-507315	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr9q	18	chr9q	chr9	5	499999	0	499999	0	0			PAN010#1;PAN010#2	chr9:128564684-129064684	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr10p	19	chr10p	chr10	2	498996	0	498996	0	0			PAN010#2	chr10:9348-509348	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr10q	20	chr10q	chr10	13	453801	0	453801	0	0			PAN010#1;PAN010#2	chr10:133869212-134369212	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr11p	21	chr11p	chr11	1	500000	0	500000	0	0			PAN010#2	chr11:8352-508352	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr11q	22	chr11q	chr11	1	499034	0	499034	0	0			PAN010#2	chr11:134292564-134792564	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr12p	23	chr12p	chr12	1	499998	0	499998	0	0			PAN010#1	chr12:6907-506907	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr12q	24	chr12q	chr12	1	500000	0	500000	0	0			PAN010#1	chr12:134349107-134849107	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr13p	25	chr13p	chr13	60	176746	0	176746	0	0			PAN010#1	chr13:20449-520449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr13p	25	chr22p	chr22	34	101008	101008	0	0	0			PAN010#2	chr13:20449-520449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr13p	25	chr15p	chr15	5	6296	6296	0	0	0			PAN010#1	chr13:20449-520449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr13p	25	chr21p	chr21	3	3668	3668	0	0	0			PAN010#1	chr13:20449-520449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr13q	26	chr13q	chr13	1	500000	0	500000	0	0			PAN010#2	chr13:108927643-109427643	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr14p	27	chr14p	chr14	36	397268	0	397268	0	0			PAN010#2	chr14:8164-508164	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr14p	27	chr21p	chr21	1	1014	1014	0	0	0			PAN010#2	chr14:8164-508164	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr14q	28	chr14q	chr14	1	500000	0	500000	0	0			PAN010#1	chr14:99897698-100397698	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr15p	29	chr15p	chr15	19	431646	0	431646	0	0			PAN010#2	chr15:8539-508539	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr15q	30	chr15q	chr15	1	500000	0	500000	0	0			PAN010#2	chr15:97522747-98022747	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr16p	31	chr16p	chr16	5	494897	0	494897	0	0			PAN010#1;PAN010#2	chr16:6061-506061	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr16p	31	chr19p	chr19	2	5103	5103	0	0	0			PAN010#1	chr16:6061-506061	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr16q	32	chr16q	chr16	1	500000	0	500000	0	0			PAN010#2	chr16:91085525-91585525	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr17p	33	chr17p	chr17	6	498782	0	498782	0	0			PAN010#1;PAN010#2	chr17:6124-506124	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr17q	34	chr17q	chr17	1	500000	0	500000	0	0			PAN010#1	chr17:83707668-84207668	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr18p	35	chr18p	chr18	1	500000	0	500000	0	0			PAN010#1	chr18:8300-508300	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr18q	36	chr18q	chr18	1	500000	0	500000	0	0			PAN010#2	chr18:80652678-81152678	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr19p	37	chr19p	chr19	1	500000	0	500000	0	0			PAN010#2	chr19:8123-508123	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr19q	38	chr19q	chr19	3	500000	0	500000	0	0			PAN010#1;PAN010#2	chr19:62236944-62736944	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr20p	39	chr20p	chr20	2	447941	0	447941	0	0			PAN010#2	chr20:5260-505260	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr20q	40	chr20q	chr20	1	500000	0	500000	0	0			PAN010#2	chr20:65722899-66222899	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr21p	41	chr21p	chr21	29	430189	0	430189	0	0			PAN010#1	chr21:9036-509036	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr21p	41	chr22p	chr22	16	25576	25576	0	0	0			PAN010#2	chr21:9036-509036	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr21p	41	chr13p	chr13	8	10089	10089	0	0	0			PAN010#1	chr21:9036-509036	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr21q	42	chr21q	chr21	1	500000	0	500000	0	0			PAN010#2	chr21:42884241-43384241	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr22p	43	chr22p	chr22	30	258082	0	258082	0	0			PAN010#2	chr22:20449-520449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr22p	43	chr13p	chr13	9	13770	13770	0	0	0			PAN010#1	chr22:20449-520449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr22q	44	chr22q	chr22	1	483262	0	483262	0	0			PAN010#2	chr22:47973984-48473984	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chrXp	45	chrXp	chrX	2	495742	0	495742	0	0			PAN010#2	chrX:6852-506852	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chrXq	46	chrXq	chrX	1	500000	0	500000	0	0			PAN010#2	chrX:153203966-153703966	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr1p	1	chr1p	chr1	1	500000	0	500000	0	0			PAN011#2	chr1:7355-507355	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr1q	2	chr1q	chr1	5	500000	0	500000	0	0			PAN011#1;PAN011#2	chr1:247262629-247762629	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr2p	3	chr2p	chr2	5	499985	0	499985	0	0			PAN011#1;PAN011#2	chr2:5917-505917	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr2q	4	chr2q	chr2	12	497984	0	497984	0	0			PAN011#1;PAN011#2	chr2:243838763-244338763	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr3p	5	chr3p	chr3	1	499992	0	499992	0	0			PAN011#1	chr3:7323-507323	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr3q	6	chr3q	chr3	7	491797	0	491797	0	0			PAN011#1;PAN011#2	chr3:202048279-202548279	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr4p	7	chr4p	chr4	3	500000	0	500000	0	0			PAN011#1;PAN011#2	chr4:7599-507599	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr4q	8	chr4q	chr4	22	439340	0	439340	0	0			PAN011#1;PAN011#2	chr4:189940453-190440453	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr5p	9	chr5p	chr5	1	500000	0	500000	0	0			PAN011#1	chr5:8826-508826	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr5q	10	chr5q	chr5	1	500000	0	500000	0	0			PAN011#2	chr5:181639593-182139593	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr6p	11	chr6p	chr6	1	500000	0	500000	0	0			PAN011#2	chr6:5024-505024	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr6q	12	chr6q	chr6	9	500000	0	500000	0	0			PAN011#1;PAN011#2	chr6:171506474-172006474	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr7p	13	chr7p	chr7	1	500000	0	500000	0	0			PAN011#1	chr7:13315-513315	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr7q	14	chr7q	chr7	1	500000	0	500000	0	0			PAN011#2	chr7:160723269-161223269	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr8p	15	chr8p	chr8	2	495954	0	495954	0	0			PAN011#1	chr8:9323-509323	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr8p	15	chr11p	chr11	1	4046	4046	0	0	0			PAN011#2	chr8:9323-509323	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr8q	16	chr8q	chr8	1	500000	0	500000	0	0			PAN011#1	chr8:145677576-146177576	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr9p	17	chr9p	chr9	3	500000	0	500000	0	0			PAN011#1;PAN011#2	chr9:7076-507076	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr9q	18	chr9q	chr9	3	445737	0	445737	445737	0	PAN027_chr9q_chr3q_PHR_candidate	same-chromosome context	PAN011#1;PAN011#2	chr9:135704825-136204825	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr9q	18	chr3q	chr3	4	45290	45290	0	45290	0	PAN027_chr9q_chr3q_PHR_candidate	primary donor	PAN011#1;PAN011#2	chr9:135704825-136204825	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr9q	18	chr15q	chr15	1	7273	7273	0	7273	7273	PAN027_chr9q_chr3q_PHR_candidate	side fragment	PAN011#1	chr9:135704825-136204825	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr9q	18	chr16q	chr16	1	1207	1207	0	1207	1207	PAN027_chr9q_chr3q_PHR_candidate	side fragment	PAN011#2	chr9:135704825-136204825	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr9q	18	chr20q	chr20	1	493	493	0	493	493	PAN027_chr9q_chr3q_PHR_candidate	low-confidence tail	PAN011#1	chr9:135704825-136204825	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr10p	19	chr10p	chr10	7	498997	0	498997	0	0			PAN011#1;PAN011#2	chr10:9755-509755	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr10q	20	chr10q	chr10	7	442668	0	442668	0	0			PAN011#2	chr10:134004663-134504663	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr10q	20	chr4q	chr4	2	2464	2464	0	0	0			PAN011#2	chr10:134004663-134504663	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr11p	21	chr11p	chr11	4	494019	0	494019	0	0			PAN011#1	chr11:6382-506382	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr11p	21	chr9p	chr9	1	3916	3916	0	0	0			PAN011#2	chr11:6382-506382	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr11q	22	chr11q	chr11	3	500000	0	500000	0	0			PAN011#1;PAN011#2	chr11:134209711-134709711	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr12p	23	chr12p	chr12	1	499994	0	499994	0	0			PAN011#1	chr12:5616-505616	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr12q	24	chr12q	chr12	1	500000	0	500000	0	0			PAN011#2	chr12:132984822-133484822	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr13p	25	chr13p	chr13	55	354145	0	354145	0	0			PAN011#1;PAN011#2	chr13:13308-513308	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr13p	25	chr15p	chr15	15	22029	22029	0	0	0			PAN011#2	chr13:13308-513308	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr13p	25	chr21p	chr21	1	1206	1206	0	0	0			PAN011#1	chr13:13308-513308	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr13q	26	chr13q	chr13	1	500000	0	500000	0	0			PAN011#1	chr13:106233122-106733122	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	chr14p	27	chr14p	chr14	30	428389	0	428389	0	0			PAN011#1;PAN011#2	chr14:8756-508756	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
