row_id	pair	transmission	query_name	query_sample	query_haplotype	query_haplotype_label	query_chrom	query_arm	query_arm_order	query_source_window_native_0based_half_open	query_source_start_0based	query_source_end_0based_exclusive	local_query_start_0based	local_query_end_0based_exclusive	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	query_length	segment_length_bp	target_name	target_sample	target_haplotype	target_haplotype_number	target_haplotype_label	target_chrom	target_arm	target_source_window_native_0based_half_open	target_color_group	strand	identity	jaccard	nb	interchromosomal	strict_primary_path_only	event_id	event_order	event_label	event_class	event_role	side_fragment_caveat	candidate_window_native_0based_half_open	event_interpretation	coordinate_system	geometry_source	annotation_source	do_not_use_for_geometry
11	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	285464	329643	201191021	201235200	chr3:201191021-201235200	500000	44179	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
12	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	329643	331678	201235200	201237235	chr3:201235200-201237235	500000	2035	PAN010#2#chr9.haplotype2:136480159-136980158_chr9_qarm	PAN010	PAN010#2	2	haplotype2	chr9	chr9q	chr9:136480159-136980159	chr9q	+	100	1	1	1	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
13	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	331678	343081	201237235	201248638	chr3:201237235-201248638	500000	11403	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
14	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	343081	346035	201248638	201251592	chr3:201248638-201251592	500000	2954	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010	PAN010#2	2	haplotype2	chr3	chr3q	chr3:200657097-201157097	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
15	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	346035	366707	201251592	201272264	chr3:201251592-201272264	500000	20672	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
16	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	366707	368133	201272264	201273690	chr3:201272264-201273690	500000	1426	PAN010#2#chr9.haplotype2:136480159-136980158_chr9_qarm	PAN010	PAN010#2	2	haplotype2	chr9	chr9q	chr9:136480159-136980159	chr9q	+	100	1	1	1	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
17	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	368133	410909	201273690	201316466	chr3:201273690-201316466	500000	42776	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
18	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	410909	415147	201316466	201320704	chr3:201316466-201320704	500000	4238	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010	PAN010#2	2	haplotype2	chr3	chr3q	chr3:200657097-201157097	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
19	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	415147	422759	201320704	201328316	chr3:201320704-201328316	500000	7612	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
20	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	422759	423981	201328316	201329538	chr3:201328316-201329538	500000	1222	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010	PAN010#2	2	haplotype2	chr3	chr3q	chr3:200657097-201157097	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
21	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	423981	500000	201329538	201405557	chr3:201329538-201405557	500000	76019	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
22	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:6777-506776_chr4_parm	PAN027	PAN027#1	maternal	chr4	chr4p	7	chr4:6777-506777	6777	506777	0	500000	6777	506777	chr4:6777-506777	500000	500000	PAN010#2#chr4.haplotype2:5684-505683_chr4_parm	PAN010	PAN010#2	2	haplotype2	chr4	chr4p	chr4:5684-505684	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
23	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	0	44234	191881281	191925515	chr4:191881281-191925515	500000	44234	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
24	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	44234	71362	191925515	191952643	chr4:191925515-191952643	500000	27128	PAN010#2#chr4.haplotype2:191486803-191986802_chr4_qarm	PAN010	PAN010#2	2	haplotype2	chr4	chr4q	chr4:191486803-191986803	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
25	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	71362	379011	191952643	192260292	chr4:191952643-192260292	500000	307649	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
26	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	384384	385619	192265665	192266900	chr4:192265665-192266900	500000	1235	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	99.7163	0.99435	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
27	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	387688	388922	192268969	192270203	chr4:192268969-192270203	500000	1234	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
28	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	400911	402155	192282192	192283436	chr4:192282192-192283436	500000	1244	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	99.3533	0.98719	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
29	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	403183	404224	192284464	192285505	chr4:192284464-192285505	500000	1041	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
30	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	412069	413097	192293350	192294378	chr4:192293350-192294378	500000	1028	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
31	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	421983	425296	192303264	192306577	chr4:192303264-192306577	500000	3313	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
32	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	430668	450075	192311949	192331356	chr4:192311949-192331356	500000	19407	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
33	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	453380	454616	192334661	192335897	chr4:192334661-192335897	500000	1236	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
34	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	457921	458949	192339202	192340230	chr4:192339202-192340230	500000	1028	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
35	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	469905	471141	192351186	192352422	chr4:192351186-192352422	500000	1236	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
36	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	PAN027	PAN027#1	maternal	chr4	chr4q	8	chr4:191881281-192381281	191881281	192381281	477977	500000	192359258	192381281	chr4:192359258-192381281	500000	22023	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010	PAN010#1	1	haplotype1	chr4	chr4q	chr4:191036388-191536388	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
37	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:8641-508640_chr5_parm	PAN027	PAN027#1	maternal	chr5	chr5p	9	chr5:8641-508641	8641	508641	0	499996	8641	508637	chr5:8641-508637	500000	499996	PAN010#2#chr5.haplotype2:6513-506512_chr5_parm	PAN010	PAN010#2	2	haplotype2	chr5	chr5p	chr5:6513-506513	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
38	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	PAN027	PAN027#1	maternal	chr5	chr5q	10	chr5:183333449-183833449	183333449	183833449	0	12648	183333449	183346097	chr5:183333449-183346097	500000	12648	PAN010#2#chr5.haplotype2:181515028-182015027_chr5_qarm	PAN010	PAN010#2	2	haplotype2	chr5	chr5q	chr5:181515028-182015028	same_chromosome_primary_path	+	99.9288	0.998578	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
39	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	PAN027	PAN027#1	maternal	chr5	chr5q	10	chr5:183333449-183833449	183333449	183833449	12648	408550	183346097	183741999	chr5:183346097-183741999	500000	395902	PAN010#1#chr5.haplotype1:183353914-183853913_chr5_qarm	PAN010	PAN010#1	1	haplotype1	chr5	chr5q	chr5:183353914-183853914	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
40	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	PAN027	PAN027#1	maternal	chr5	chr5q	10	chr5:183333449-183833449	183333449	183833449	408550	409710	183741999	183743159	chr5:183741999-183743159	500000	1160	PAN010#2#chr5.haplotype2:181515028-182015027_chr5_qarm	PAN010	PAN010#2	2	haplotype2	chr5	chr5q	chr5:181515028-182015028	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
