run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_same_identity	mean_inter_identity	delta_identity	category
chr13_run0019	chr13	8126000	8150000	chr21	h2	PAN027#joint#h2_chr21	6110813	6134813	24000	24000	24000	12	0.994733	0.999083	0.004351	acro_acro
chr14_run0182	chr14	8984000	9008000	chr13	h2	PAN027#joint#h2_chr13	1949974	1973961	24000	24000	23987	12	0.992559	0.998311	0.005752	acro_acro
chr15_run0010	chr15	72000	96000	chr13	h2	PAN027#joint#h2_chr13	66638	90642	24000	24000	24004	12	0.992740	0.998792	0.006052	acro_acro
chr15_run0091	chr15	700000	724000	chr13	h2	PAN027#joint#h2_chr13	837611	861611	24000	24000	24000	12	0.799237	0.996583	0.197346	acro_acro
chr15_run0100	chr15	912000	936000	chr21	h1	PAN027#joint#h1_chr21	783580	807581	24000	24000	24001	12	0.983739	0.995396	0.011657	acro_acro
chr15_run0328	chr15	6894000	6918000	chr21	h2	PAN027#joint#h2_chr21	4281288	4305023	24000	24000	23735	12	0.831844	0.952512	0.120668	acro_acro
chr13_run0130	chr13	8762000	8784000	chr14	h2	PAN027#joint#h2_chr14	7675309	7697307	22000	22000	21998	11	0.978266	0.995000	0.016733	acro_acro
chr15_run0332	chr15	7460000	7482000	chr21	h2	PAN027#joint#h2_chr21	4401026	4422870	22000	22000	21844	11	0.765870	0.955749	0.189879	acro_acro
chr15_run0351	chr15	7648000	7670000	chr21	h2	PAN027#joint#h2_chr21	4400044	4421682	22000	22000	21638	11	0.782872	0.956033	0.173160	acro_acro
chr22_run0275	chr22	5382000	5404000	chr21	h2	PAN027#joint#h2_chr21	3811645	3833647	22000	22000	22002	11	0.989451	0.994773	0.005322	acro_acro
chr13_run0021	chr13	8220000	8240000	chr21	h1	PAN027#joint#h1_chr21	7368977	7388982	20000	20000	20005	10	0.996076	0.998575	0.002499	acro_acro
chr22_run0028	chr22	214000	234000	chr14	h1	PAN027#joint#h1_chr14	361679	381680	20000	20000	20001	10	0.988381	0.997575	0.009193	acro_acro
chr22_run0042	chr22	328000	348000	chr14	h2	PAN027#joint#h2_chr14	568394	588392	20000	20000	19998	10	0.991274	0.998150	0.006875	acro_acro
chr22_run0046	chr22	702000	722000	chr15	h2	PAN027#joint#h2_chr15	3312977	3332976	20000	20000	19999	10	0.975116	0.997075	0.021959	acro_acro
chr22_run0124	chr22	3094000	3114000	chr21	h1	PAN027#joint#h1_chr21	2201110	2221110	20000	20000	20000	10	0.990324	0.999550	0.009226	acro_acro
chr14_run0133	chr14	7522000	7540000	chr21	h1	PAN027#joint#h1_chr21	784774	802775	18000	18000	18001	9	0.893549	0.995195	0.101645	acro_acro
chr14_run0137	chr14	7558000	7576000	chr21	h1	PAN027#joint#h1_chr21	820912	838911	18000	18000	17999	9	0.985313	0.996028	0.010715	acro_acro
chr15_run0103	chr15	950000	968000	chr21	h1	PAN027#joint#h1_chr21	821718	839713	18000	18000	17995	9	0.748388	0.995638	0.247250	acro_acro
chr21_run0033	chr21	478000	496000	chr14	h2	PAN027#joint#h2_chr14	569613	587620	18000	18000	18007	9	0.990421	0.997917	0.007496	acro_acro
chr13_run0003	chr13	7804000	7820000	chr21	h2	PAN027#joint#h2_chr21	5788533	5804532	16000	16000	15999	8	0.840400	0.999719	0.159319	acro_acro
chr14_run0373	chr14	19936000	19952000	chr22	h2	PAN027#joint#h2_chr22	12555501	12571503	16000	16000	16002	8	0.767371	0.977627	0.210256	acro_acro
chr15_run0239	chr15	3180000	3196000	chr14	h2	PAN027#joint#h2_chr14	3909310	3925310	16000	16000	16000	8	0.987089	0.999188	0.012099	acro_acro
chr15_run0262	chr15	3306000	3322000	chr14	h2	PAN027#joint#h2_chr14	4035307	4051342	16000	16000	16035	8	0.995847	0.997787	0.001940	acro_acro
chr15_run0281	chr15	3820000	3836000	chr21	h2	PAN027#joint#h2_chr21	3941181	3957191	16000	16000	16010	8	0.990731	0.996689	0.005958	acro_acro
chr21_run0213	chr21	4952000	4968000	chr14	h1	PAN027#joint#h1_chr14	3926828	3942828	16000	16000	16000	8	0.997094	0.999437	0.002344	acro_acro
chr21_run0278	chr21	5604000	5620000	chr15	h2	PAN027#joint#h2_chr15	6789272	6805288	16000	16000	16016	8	0.992418	0.997254	0.004836	acro_acro
chr22_run0012	chr22	80000	96000	chr14	h1	PAN027#joint#h1_chr14	68309	84324	16000	16000	16015	8	0.986718	0.994345	0.007627	acro_acro
chr13_run0128	chr13	8746000	8760000	chr14	h2	PAN027#joint#h2_chr14	7699313	7713296	14000	14000	13983	7	0.985318	0.994603	0.009284	acro_acro
chr15_run0165	chr15	2786000	2800000	chr14	h2	PAN027#joint#h2_chr14	2499640	2513644	14000	14000	14004	7	0.992807	0.999643	0.006836	acro_acro
chr15_run0253	chr15	3260000	3274000	chr14	h2	PAN027#joint#h2_chr14	3989305	4003304	14000	14000	13999	7	0.997929	0.999464	0.001536	acro_acro
chr21_run0102	chr21	2796000	2810000	chr15	h1	PAN027#joint#h1_chr15	4127403	4141394	14000	14000	13991	7	0.994141	0.996106	0.001964	acro_acro
chr21_run0139	chr21	3390000	3404000	chr13	h1	PAN027#joint#h1_chr13	2672338	2686332	14000	14000	13994	7	0.990102	0.994571	0.004469	acro_acro
chr21_run0541	chr21	8254000	8268000	chr13	h1	PAN027#joint#h1_chr13	7834780	7848774	14000	14000	13994	7	0.995862	0.998142	0.002280	acro_acro
chr22_run0031	chr22	262000	276000	chr14	h2	PAN027#joint#h2_chr14	502506	516475	14000	14000	13969	7	0.979264	0.993807	0.014543	acro_acro
chr22_run0095	chr22	2758000	2772000	chr15	h1	PAN027#joint#h1_chr15	4375796	4389804	14000	14000	14008	7	0.915478	0.998144	0.082666	acro_acro
chr22_run0305	chr22	8734000	8748000	chr13	h1	PAN027#joint#h1_chr13	5891561	5905580	14000	14000	14019	7	0.979964	0.993255	0.013291	acro_acro
chr14_run0229	chr14	9272000	9284000	chr15	h1	PAN027#joint#h1_chr15	4569560	4581559	12000	12000	11999	6	0.977920	0.998125	0.020205	acro_acro
chr14_run0231	chr14	9286000	9298000	chr15	h2	PAN027#joint#h2_chr15	5738892	5750923	12000	12000	12031	6	0.976903	0.997056	0.020153	acro_acro
chr14_run0325	chr14	15312000	15324000	chr13	h2	PAN027#joint#h2_chr13	6683393	6695392	12000	12000	11999	6	0.997500	0.998292	0.000792	acro_acro
chr15_run0001	chr15	16000	28000	chr22	h1	PAN027#joint#h1_chr22	23279	35284	12000	12000	12005	6	0.986528	0.999292	0.012764	acro_acro
chr15_run0101	chr15	936000	948000	chr21	h1	PAN027#joint#h1_chr21	807649	819650	12000	12000	12001	6	0.939097	0.990960	0.051863	acro_acro
chr15_run0263	chr15	3324000	3336000	chr14	h2	PAN027#joint#h2_chr14	4053343	4065343	12000	12000	12000	6	0.996708	0.998917	0.002209	acro_acro
chr21_run0007	chr21	38000	50000	chr14	h1	PAN027#joint#h1_chr14	38882	50880	12000	12000	11998	6	0.997627	0.999250	0.001623	acro_acro
chr21_run0130	chr21	2890000	2902000	chr22	h2	PAN027#joint#h2_chr22	2805875	2817873	12000	12000	11998	6	0.997542	0.999500	0.001958	acro_acro
chr21_run0161	chr21	3518000	3530000	chr13	h1	PAN027#joint#h1_chr13	2800323	2812328	12000	12000	12005	6	0.993460	0.996460	0.003000	acro_acro
chr21_run0216	chr21	4974000	4986000	chr14	h1	PAN027#joint#h1_chr14	3948839	3960839	12000	12000	12000	6	0.997832	0.999667	0.001834	acro_acro
chr21_run0240	chr21	5094000	5106000	chr14	h1	PAN027#joint#h1_chr14	4068908	4080913	12000	12000	12005	6	0.992296	0.996121	0.003825	acro_acro
chr21_run0369	chr21	6698000	6710000	chr14	h1	PAN027#joint#h1_chr14	5124413	5136411	12000	12000	11998	6	0.996749	0.997583	0.000834	acro_acro
chr21_run0377	chr21	6840000	6852000	chr13	h1	PAN027#joint#h1_chr13	6587294	6599293	12000	12000	11999	6	0.775843	0.998958	0.223115	acro_acro
chr21_run0421	chr21	7216000	7228000	chr13	h1	PAN027#joint#h1_chr13	6889799	6901798	12000	12000	11999	6	0.998500	0.999708	0.001208	acro_acro
chr22_run0038	chr22	302000	314000	chr14	h2	PAN027#joint#h2_chr14	542402	554398	12000	12000	11996	6	0.987956	0.997666	0.009710	acro_acro
chr22_run0120	chr22	3038000	3050000	chr13	h1	PAN027#joint#h1_chr13	2798671	2810672	12000	12000	12001	6	0.989704	0.999375	0.009671	acro_acro
chr22_run0348	chr22	9300000	9312000	chr14	h1	PAN027#joint#h1_chr14	5246983	5258983	12000	12000	12000	6	0.998875	0.999417	0.000542	acro_acro
chr13_run0005	chr13	7970000	7980000	chr21	h2	PAN027#joint#h2_chr21	5954528	5964536	10000	10000	10008	5	0.893357	0.999501	0.106144	acro_acro
chr13_run0013	chr13	8098000	8108000	chr14	h2	PAN027#joint#h2_chr14	8403552	8413553	10000	10000	10001	5	0.996200	0.998150	0.001950	acro_acro
chr13_run0075	chr13	8500000	8510000	chr21	h1	PAN027#joint#h1_chr21	7754425	7764425	10000	10000	10000	5	0.995550	0.999000	0.003450	acro_acro
chr14_run0060	chr14	6794000	6804000	chr22	h2	PAN027#joint#h2_chr22	2768365	2778367	10000	10000	10002	5	0.993899	0.996700	0.002802	acro_acro
chr14_run0122	chr14	7054000	7064000	chr21	h1	PAN027#joint#h1_chr21	340156	350136	10000	10000	9980	5	0.833706	0.987393	0.153687	acro_acro
chr14_run0135	chr14	7546000	7556000	chr21	h1	PAN027#joint#h1_chr21	808844	818844	10000	10000	10000	5	0.939363	0.996400	0.057037	acro_acro
chr14_run0200	chr14	9070000	9080000	chr15	h1	PAN027#joint#h1_chr15	4272104	4282099	10000	10000	9995	5	0.993757	0.998150	0.004392	acro_acro
chr14_run0238	chr14	9326000	9336000	chr15	h2	PAN027#joint#h2_chr15	5778802	5788800	10000	10000	9998	5	0.990901	0.998300	0.007398	acro_acro
chr14_run0247	chr14	9362000	9372000	chr13	h1	PAN027#joint#h1_chr13	2802060	2812065	10000	10000	10005	5	0.995004	0.998352	0.003348	acro_acro
chr15_run0124	chr15	2360000	2370000	chr14	h2	PAN027#joint#h2_chr14	1747230	1757225	10000	10000	9995	5	0.993792	0.999449	0.005657	acro_acro
chr15_run0154	chr15	2696000	2706000	chr22	h2	PAN027#joint#h2_chr22	3266033	3276007	10000	10000	9974	5	0.990739	0.996793	0.006054	acro_acro
chr15_run0173	chr15	2832000	2842000	chr21	h1	PAN027#joint#h1_chr21	2267901	2277892	10000	10000	9991	5	0.994351	0.996448	0.002098	acro_acro
chr15_run0235	chr15	3156000	3166000	chr14	h2	PAN027#joint#h2_chr14	3885088	3895086	10000	10000	9998	5	0.996245	0.999000	0.002754	acro_acro
chr15_run0241	chr15	3198000	3208000	chr14	h2	PAN027#joint#h2_chr14	3927307	3937303	10000	10000	9996	5	0.985892	0.999200	0.013307	acro_acro
chr15_run0270	chr15	3384000	3394000	chr14	h2	PAN027#joint#h2_chr14	4103910	4113909	10000	10000	9999	5	0.994300	0.998350	0.004050	acro_acro
chr15_run0277	chr15	3770000	3780000	chr21	h1	PAN027#joint#h1_chr21	3140078	3150086	10000	10000	10008	5	0.992636	0.994203	0.001567	acro_acro
chr21_run0014	chr21	78000	88000	chr14	h1	PAN027#joint#h1_chr14	78880	88892	10000	10000	10012	5	0.985767	0.992607	0.006840	acro_acro
chr21_run0069	chr21	1096000	1106000	chr13	h1	PAN027#joint#h1_chr13	1004835	1014835	10000	10000	10000	5	0.973891	0.998800	0.024909	acro_acro
chr21_run0155	chr21	3484000	3494000	chr15	h2	PAN027#joint#h2_chr15	5779073	5789069	10000	10000	9996	5	0.981381	0.998299	0.016919	acro_acro
chr21_run0224	chr21	5006000	5016000	chr14	h1	PAN027#joint#h1_chr14	3980919	3990919	10000	10000	10000	5	0.997600	0.999500	0.001900	acro_acro
chr21_run0420	chr21	7204000	7214000	chr13	h1	PAN027#joint#h1_chr13	6877794	6887799	10000	10000	10005	5	0.997650	0.998751	0.001100	acro_acro
chr21_run0484	chr21	7878000	7888000	chr13	h2	PAN027#joint#h2_chr13	6601811	6611804	10000	10000	9993	5	0.996749	0.998849	0.002100	acro_acro
chr21_run0496	chr21	7960000	7970000	chr13	h2	PAN027#joint#h2_chr13	6681869	6691869	10000	10000	10000	5	0.996800	0.998100	0.001300	acro_acro
chr21_run0543	chr21	8276000	8286000	chr14	h2	PAN027#joint#h2_chr14	8055205	8065205	10000	10000	10000	5	0.995756	0.997700	0.001945	acro_acro
chr22_run0057	chr22	820000	830000	chr21	h2	PAN027#joint#h2_chr21	1459347	1469347	10000	10000	10000	5	0.665686	0.998000	0.332314	acro_acro
chr22_run0063	chr22	2406000	2416000	chr13	h2	PAN027#joint#h2_chr13	1855759	1865760	10000	10000	10001	5	0.798237	0.999050	0.200813	acro_acro
chr22_run0108	chr22	2980000	2990000	chr14	h2	PAN027#joint#h2_chr14	2366190	2376195	10000	10000	10005	5	0.939196	0.998651	0.059455	acro_acro
chr22_run0302	chr22	8642000	8652000	chr13	h1	PAN027#joint#h1_chr13	5799459	5809462	10000	10000	10003	5	0.760785	0.992551	0.231766	acro_acro
