Name	Sample	Haplotype	Chromosome	Arm	ChromArm	Superpopulation	D1	D2	D3	D4	D5	nearest_same_superpop_name	nearest_same_superpop_distance_d1_d2	nearest_same_superpop_sample	nearest_same_superpop_chromarm
HG01884#1#CM086415.1:2750-102750_chr20_parm	HG01884	1	chr20	p	chr20_p	AFR	-0.14805266998648303	0.032561223440991716	0.22552526927040045	-0.13319035034792387	0.17147996465973306	HG02615#2#CM086700.1:10311-110311_chr20_parm	4.052592326247686e-5	HG02615	chr20_p
HG01884#1#CM086415.1:67276043-67381042_chr20_qarm	HG01884	1	chr20	q	chr20_q	AFR	-0.2052963181439164	-0.3080907007529781	0.34942172022945417	-0.03354510739813143	0.03344032594445858	HG02486#2#CM088229.1:66576773-66681772_chr20_qarm	6.338097818019353e-4	HG02486	chr20_q
HG01884#1#CM086416.1:50647958-50672957_chr22_qarm	HG01884	1	chr22	q	chr22_q	AFR	0.48810101302771053	0.18232034904287647	0.16552000126067268	-0.0747441056613214	-0.055714717379806177	NA18508#2#JBHIJH010000010.1:36840532-36865531_chr22_qarm	8.405934450067567e-5	NA18508	chr22_q
HG01884#1#CM086416.1:7880-507880_chr22_parm	HG01884	1	chr22	p	chr22_p	AFR	0.0666094624448291	-0.1680929793469413	-0.17921740409421003	0.11584874574679689	0.1307625454716294	NA18505#1#JBHIJY010000055.1:8402-508402_chr14_parm	1.6163874150331162e-5	NA18505	chr14_p
HG01884#1#CM086417.1:153979667-154309666_chrX_qarm	HG01884	1	chrX	q	chrX_q	AFR	0.04483866247239499	-0.19656831885802642	-0.12301880137379798	0.08508814852701954	0.031309765600786174	HG02486#2#JAGYVL020000014.1:101215049-101545048_chrX_qarm	7.144008509856978e-6	HG02486	chrX_q
HG01884#1#CM086417.1:6515-506515_chrX_parm	HG01884	1	chrX	p	chrX_p	AFR	0.06082241292195653	-0.16307674602953123	-0.14956918190498145	0.09284768151951854	0.05513828170706532	HG03209#1#JBHDWG010000051.1:16872-516872_chrY_parm	1.3686294571925652e-5	HG03209	chrY_p
HG01884#1#JBHDSB010000004.1:43135646-43155645_chr21_qarm	HG01884	1	chr21	q	chr21_q	AFR	0.5164335498515953	0.188004250660871	0.180911881249584	-0.06445877102127544	-0.07581906131687458	HG03540#1#JAGYVY020000013.1:46657092-46677091_chr21_qarm	5.017814280334811e-5	HG03540	chr21_q
HG01884#1#JBHDSB010000011.1:97552322-97562321_chr13_qarm	HG01884	1	chr13	q	chr13_q	AFR	0.43593559112567287	0.09710772492244622	0.13449465690625742	-0.03755959321678021	-0.08209194444216107	HG02583#2#JBHIIV010000008.1:103852259-103862258_chr13_qarm	1.1441391509645158e-4	HG02583	chr13_q
HG01884#1#JBHDSB010000012.1:139082312-139247311_chr4_qarm	HG01884	1	chr4	q	chr4_q	AFR	0.1131118217652377	-0.13964518495304837	-0.1707814305868406	0.09690939020791722	0.1489336255102606	HG02280#2#CM086280.1:191766766-191916765_chr4_qarm	0.0025565132886250395	HG02280	chr4_q
HG01884#1#JBHDSB010000017.1:110832401-110977400_chr6_qarm	HG01884	1	chr6	q	chr6_q	AFR	-0.2010907678677917	0.299385792488879	-0.07851337462090859	0.38849153018420884	-0.14264887002251295	HG02841#2#JBJKOH010000003.1:110881009-111026008_chr6_qarm	0.001544094636607944	HG02841	chr6_q
HG01884#1#JBHDSB010000044.1:54322461-54532460_chr16_qarm	HG01884	1	chr16	q	chr16_q	AFR	-0.36556145736064244	0.06678508960309386	0.09714748759247269	-0.2695960119114962	0.060048200508338735	HG03369#1#CM094390.1:93503206-93713205_chr16_qarm	5.699803186907117e-5	HG03369	chr16_q
HG01884#1#JBHDSB010000050.1:7950-92950_chr6_parm	HG01884	1	chr6	p	chr6_p	AFR	-0.2164603409654245	-0.3133714423845326	0.36533300638632826	-0.029046478118012305	0.02915892511186315	HG02258#2#CM085837.1:22276-107276_chr6_parm	3.096841376193239e-5	HG02258	chr6_p
HG01884#1#JBHDSB010000051.1:94488042-94613041_chr15_qarm	HG01884	1	chr15	q	chr15_q	AFR	-0.26736003410007897	-0.08571306633089056	0.16353499318092377	0.20800031409065275	-0.3040002558282288	NA19159#2#JBJXQM010000008.1:90901854-91026853_chr15_qarm	2.462418774975621e-4	NA19159	chr15_q
HG01884#1#JBHDSB010000052.1:5995-30995_chr16_parm	HG01884	1	chr16	p	chr16_p	AFR	0.009492429278995844	-0.2572221677162835	0.009892562294626399	0.051531875031246496	-0.02363845909923399	HG02258#2#CM085844.1:13243-38243_chr16_parm	2.522516993069252e-16	HG02258	chr16_p
HG01884#1#JBHDSB010000055.1:5768-65768_chr4_parm	HG01884	1	chr4	p	chr4_p	AFR	0.09462249672314045	-0.1542338800658058	-0.19022942120032066	0.1156279077281021	0.16009103343239797	HG03195#1#JBHDVU010000046.1:12159-72159_chr4_parm	1.3019197100560104e-6	HG03195	chr4_p
HG01884#2#CM086418.1:247899305-247919304_chr1_qarm	HG01884	2	chr1	q	chr1_q	AFR	0.5007990136495094	0.17898880240304213	0.17026464525132254	-0.07094439748238895	-0.06712661129916815	NA19835#2#CM094032.1:240435337-240455336_chr1_qarm	5.11377713347968e-6	NA19835	chr1_q
HG01884#2#CM086418.1:5049-235049_chr1_parm	HG01884	2	chr1	p	chr1_p	AFR	-0.25518955676254085	0.02071184995596631	0.03605351453633616	-0.08032874421503776	0.008267358259614126	HG02976#1#JBHDVW010000013.1:10838-240838_chr1_parm	8.500409862665481e-4	HG02976	chr1_p
HG01884#2#CM086419.1:242478032-242598031_chr2_qarm	HG01884	2	chr2	q	chr2_q	AFR	0.005396831363201189	0.16269793855186698	0.023740657182255615	-0.0774968083124487	0.22893312349041453	HG01891#1#CM088184.1:242181308-242301307_chr2_qarm	1.501820882425817e-4	HG01891	chr2_q
HG01884#2#CM086420.1:203397727-203647726_chr3_qarm	HG01884	2	chr3	q	chr3_q	AFR	-0.39316877140337186	0.09313459662309868	0.06488823250732254	-0.11466062829809869	-0.1317176064372778	NA18906#2#JAHEON020000007.1:105967493-106217492_chr3_qarm	4.0587499893023246e-5	NA18906	chr3_q
HG01884#2#CM086421.1:182175126-182370125_chr5_qarm	HG01884	2	chr5	q	chr5_q	AFR	-0.31601332297012197	0.35433339971476224	-0.06536578800940168	0.21199462282607007	-0.054589559185120776	HG02965#1#CM087345.1:182193182-182388181_chr5_qarm	3.3791832247499656e-4	HG02965	chr5_q
HG01884#2#CM086422.1:10450-160450_chr6_parm	HG01884	2	chr6	p	chr6_p	AFR	-0.2576440189047462	0.3060267112825266	-0.05219218051546511	0.331454949770805	-0.09472633904136399	HG03470#1#CM091822.1:10563-160563_chr6_parm	5.117135065106347e-5	HG03470	chr6_p
HG01884#2#CM086422.1:173227792-173367791_chr6_qarm	HG01884	2	chr6	q	chr6_q	AFR	-0.20405704352351534	0.30216434073725357	-0.08058860144961649	0.39154278622555866	-0.14328086997082234	HG03195#1#JBHDVU010000049.1:110888798-111028797_chr6_qarm	7.519524139923918e-4	HG03195	chr6_q
HG01884#2#CM086423.1:160574573-160619572_chr7_qarm	HG01884	2	chr7	q	chr7_q	AFR	0.10082267098576328	-0.18948587418495708	-0.1943716719437836	0.1583984612129936	0.16729507645816105	HG02451#1#CM086203.1:161683496-161728495_chr7_qarm	2.425434996436606e-6	HG02451	chr7_q
HG01884#2#CM086423.1:7480-182480_chr7_parm	HG01884	2	chr7	p	chr7_p	AFR	-0.2227854142963713	0.22982492011752997	-0.03208832485639377	-0.30811765430173677	0.2749055627935772	NA18879#2#CM099731.1:5813-180813_chr7_parm	4.7324174524099e-5	NA18879	chr7_p
HG01884#2#CM086424.1:8922-178922_chr8_parm	HG01884	2	chr8	p	chr8_p	AFR	-0.21026943573516152	0.309557274033046	-0.051735139180452985	0.3137631322339012	-0.08681788499759258	NA18508#1#CM089651.1:9375-179375_chr8_parm	1.4351930849537564e-4	NA18508	chr8_p
HG01884#2#CM086425.1:143381595-143686594_chr9_qarm	HG01884	2	chr9	q	chr9_q	AFR	-0.36043257813444995	0.0604645326994435	-0.0402373487845646	-0.20600638332737237	-0.21110961479070872	NA18505#2#CM089873.1:139349682-139654681_chr9_qarm	8.38268834565116e-6	NA18505	chr9_q
HG01884#2#CM086425.1:4497-44497_chr9_parm	HG01884	2	chr9	p	chr9_p	AFR	-0.1139585004646485	-0.41738790136925413	0.33345714263032566	0.041699629511715	-0.06633135287409758	HG02841#1#CM098705.1:7516-47516_chr9_parm	4.928274164130403e-4	HG02841	chr9_p
HG01884#2#CM086426.1:6568-211568_chr11_parm	HG01884	2	chr11	p	chr11_p	AFR	-0.36872078157850346	0.06691180729299834	0.1372792267538196	-0.20873547966597203	0.09785875140447096	HG02922#1#CM087003.1:12876-217876_chr11_parm	1.1402829636724009e-5	HG02922	chr11_p
HG01884#2#CM086427.1:134742087-134767086_chr12_qarm	HG01884	2	chr12	q	chr12_q	AFR	0.11421096929884846	-0.18993974043211195	-0.19583823286845578	0.16427148538923042	0.17463940963151467	HG02145#2#CM099663.1:133294349-133319348_chr12_qarm	1.7899519898100515e-6	HG02145	chr12_q
HG01884#2#CM086427.1:6677-76677_chr12_parm	HG01884	2	chr12	p	chr12_p	AFR	-0.11483945187501693	-0.4504283484543917	0.36221044342355657	0.03878959359804745	-0.05077827629899264	HG02630#2#CM091746.1:12113-82113_chr12_parm	2.4188890511912933e-4	HG02630	chr12_p
HG01884#2#CM086428.1:1742-46742_chr17_parm	HG01884	2	chr17	p	chr17_p	AFR	0.021482373893797726	-0.11333276738531423	-0.15597219373278984	-0.03513026734610071	0.12331479636731697	HG03195#1#CM087065.1:11241-56241_chr17_parm	4.3864317684527216e-5	HG03195	chr17_p
HG01884#2#CM086428.1:83302882-83347881_chr17_qarm	HG01884	2	chr17	q	chr17_q	AFR	0.2590416951458736	0.20224361667438234	0.030980586140187855	0.13873691400724453	-0.035337876479237	HG03583#2#CM089895.1:83894513-83939512_chr17_qarm	2.9655407885007543e-4	HG03583	chr17_q
HG01884#2#CM086429.1:4866-104866_chr18_parm	HG01884	2	chr18	p	chr18_p	AFR	0.030512418737053546	-0.1921984317833811	-0.4054983984027065	-0.28259822192061534	-0.36518839357709865	NA18879#2#CM099736.1:7931-107931_chr18_parm	7.242172130839748e-5	NA18879	chr18_p
HG01884#2#CM086430.1:5464-115464_chr19_parm	HG01884	2	chr19	p	chr19_p	AFR	-0.16254891651212042	-0.11083419119848494	0.23127783344084596	-0.08620033744531139	-0.0598074456197379	HG03453#1#CM088020.1:9882-119882_chr19_parm	1.3453909665932942e-4	HG03453	chr19_p
HG01884#2#CM086430.1:62450150-62470149_chr19_qarm	HG01884	2	chr19	q	chr19_q	AFR	0.5086141872015286	0.1877357820198679	0.17018813728019672	-0.07239121375171448	-0.06614113977282739	HG02257#1#CM089229.1:60962187-60982186_chr19_qarm	1.3147346655916647e-5	HG02257	chr19_q
HG01884#2#CM086431.1:4747-99747_chr20_parm	HG01884	2	chr20	p	chr20_p	AFR	-0.1435471795013075	0.0426329501152264	0.22008223532872573	-0.13487485656281673	0.1752833673432886	HG02723#2#CM092023.1:4692-104692_chr20_parm	0.010230940327435595	HG02723	chr20_p
HG01884#2#CM086431.1:66440732-66545731_chr20_qarm	HG01884	2	chr20	q	chr20_q	AFR	-0.1970950765395008	-0.29773914167824733	0.3561712128295308	-0.03643263713070202	0.03425647003002029	NA18505#1#CM089868.1:67079025-67184024_chr20_qarm	1.0860951092549441e-4	NA18505	chr20_q
HG01884#2#CM086432.1:3153-503153_chr22_parm	HG01884	2	chr22	p	chr22_p	AFR	0.0757990265910297	-0.20253776179730645	-0.22694607437696934	0.1584648089648005	0.19537626765354596	HG02717#2#JAHAOR020000018.1:4291-504291_chr22_parm	6.044826894842401e-6	HG02717	chr22_p
HG01884#2#CM086432.1:55028205-55048204_chr22_qarm	HG01884	2	chr22	q	chr22_q	AFR	0.519774005262329	0.19231643674005958	0.18094125001424888	-0.06947548281032623	-0.07363536819109194	HG02630#1#JAHAOQ020000010.1:44649449-44669448_chr22_qarm	3.966915467507007e-5	HG02630	chr22_q
HG01884#2#CM086433.1:153810725-154140724_chrX_qarm	HG01884	2	chrX	q	chrX_q	AFR	0.042301802995100675	-0.19852600756237251	-0.11826942386508542	0.08435401980462284	0.03015307936077017	HG02486#1#JAGYVM020000013.1:4793089-5123088_chrY_qarm	4.9978608543873145e-5	HG02486	chrY_q
HG01884#2#CM086433.1:4622-504622_chrX_parm	HG01884	2	chrX	p	chrX_p	AFR	0.06075394247339079	-0.16281471587880222	-0.1492703802604742	0.09261609780312348	0.05496734454265861	HG02886#1#CM088095.1:11640-506640_chrX_parm	1.5985577095616256e-5	HG02886	chrX_p
HG01884#2#JBHDSC010000004.1:139664732-139904731_chr4_qarm	HG01884	2	chr4	q	chr4_q	AFR	0.1451964762142276	-0.0779055291612162	-0.11601312297647294	0.05383045281704583	0.1140691887276086	NA19185#1#CM087722.1:190718187-190953186_chr4_qarm	0.0012100380110073214	NA19185	chr4_q
HG01884#2#JBHDSC010000012.1:97292552-97302551_chr13_qarm	HG01884	2	chr13	q	chr13_q	AFR	0.4360904036396673	0.096911085431546945	0.1343216321227152	-0.03790837776059479	-0.08200880379007458	NA20129#2#JAHEPD020000006.1:57308966-57318965_chr13_qarm	1.6286928012717388e-5	NA20129	chr13_q
HG01884#2#JBHDSC010000013.1:52498775-52653774_chr16_qarm	HG01884	2	chr16	q	chr16_q	AFR	-0.18772265233830565	0.2549404856622942	-0.03416898952277829	-0.3321583947357442	0.23451456336120927	HG03471#2#CM087551.1:102701093-102856092_chr16_qarm	1.2142429939687445e-4	HG03471	chr16_q
HG01884#2#JBHDSC010000014.1:4797-74797_chr10_parm	HG01884	2	chr10	p	chr10_p	AFR	0.02684745157187052	-0.205843174379548	-0.4054766482586038	-0.26635145280276207	-0.37947508438813043	HG02055#2#CM092198.1:5162-75162_chr10_parm	2.6545105908174328e-6	HG02055	chr10_p
HG01884#2#JBHDSC010000016.1:95489338-95609337_chr15_qarm	HG01884	2	chr15	q	chr15_q	AFR	-0.16302668344593724	0.27699295559435205	-0.10149861722916047	0.42465003474445134	-0.1797549036773617	HG02583#2#JBHIIV010000042.1:24820331-24940330_chr15_qarm	2.5511367547642394e-4	HG02583	chr15_q
HG01884#2#JBHDSC010000047.1:75429196-75519195_chr10_qarm	HG01884	2	chr10	q	chr10_q	AFR	0.24072038906985488	-0.0013217723783771804	-0.04992758818782284	0.01587466504693941	0.08598116868320503	HG03225#2#CM089321.1:134756289-134846288_chr10_qarm	0.0015411076039860742	HG03225	chr10_q
HG01884#2#JBHDSC010000049.1:3017-273017_chr16_parm	HG01884	2	chr16	p	chr16_p	AFR	-0.34785392181795294	0.041642333445156124	-0.016237929497489617	-0.3523175594412724	-0.03681311077971917	HG03583#2#CM089894.1:5720-270720_chr16_parm	0.005329540698500934	HG03583	chr16_p
HG01884#2#JBHDSC010000050.1:9123-509123_chr14_parm	HG01884	2	chr14	p	chr14_p	AFR	0.07114485602962188	-0.18523199455197153	-0.20288167056155426	0.1379464324108286	0.16387256177345177	HG02809#1#CM088357.1:17175-517175_chr22_parm	6.577034741837747e-6	HG02809	chr22_p
HG01884#2#JBHDSC010000051.1:6316-66316_chr4_parm	HG01884	2	chr4	p	chr4_p	AFR	0.09461208684539914	-0.15424192464539246	-0.19023032553463554	0.1156252062773919	0.16008363067397144	NA20129#2#CM092119.1:12206-72206_chr4_parm	3.5101548841631687e-7	NA20129	chr4_p
HG01884#2#JBHDSC010000053.1:35292330-35312329_chr21_qarm	HG01884	2	chr21	q	chr21_q	AFR	0.5191345910250941	0.19092519223471682	0.18095475358474697	-0.06537729506057872	-0.0754235973084135	NA18879#1#JBJUVM010000020.1:43617392-43637391_chr21_qarm	3.319689467922042e-5	NA18879	chr21_q
HG01884#2#JBHDSC010000054.1:13236-513236_chr15_parm	HG01884	2	chr15	p	chr15_p	AFR	0.07424409385642991	-0.19623200960037698	-0.21824869082584242	0.15095766956331932	0.18396862087243912	HG02258#2#JBHDUZ010000033.1:16450-516450_chr15_parm	6.936244430514238e-7	HG02258	chr15_p
HG01891#1#CM088184.1:242181308-242301307_chr2_qarm	HG01891	1	chr2	q	chr2_q	AFR	0.00542644771464628	0.162845171467195	0.024075582954711405	-0.07760381626332796	0.22891943261676087	HG03453#1#CM088010.1:241392389-241512388_chr2_qarm	5.20170526615449e-5	HG03453	chr2_q
HG01891#1#CM088185.1:160559112-160564111_chr7_qarm	HG01891	1	chr7	q	chr7_q	AFR	0.12080950279800404	-0.12202430498298025	-0.10754338462497091	0.08227917309954526	0.059353683766934145	HG02258#1#CM085827.1:161609455-161614454_chr7_qarm	5.961248067511679e-6	HG02258	chr7_q
HG01891#1#CM088185.1:7205-182205_chr7_parm	HG01891	1	chr7	p	chr7_p	AFR	-0.2228917825157564	0.22989505535019705	-0.0319274380781311	-0.3081496779204037	0.2749775895837834	HG03516#2#CM089232.1:25966-200966_chr7_parm	2.752923109098857e-6	HG03516	chr7_p
HG01891#1#CM088186.1:12484-42484_chr8_parm	HG01891	1	chr8	p	chr8_p	AFR	0.17398714201998144	-0.01227125896149459	-0.010432639731556014	0.04948023534539179	-1.7163551983754912e-4	NA19338#1#CM087760.1:15308-45308_chr8_parm	1.4413252549872152e-4	NA19338	chr8_p
HG01891#1#CM088187.1:15455-245455_chr11_parm	HG01891	1	chr11	p	chr11_p	AFR	-0.3404130183269409	0.33607991174002355	-0.08142859824103428	0.11479007969683458	0.009513258083720152	HG03098#2#CM092222.1:10194-240194_chr11_parm	1.1389866426723674e-4	HG03098	chr11_p
HG01891#1#CM088188.1:133628601-133653600_chr12_qarm	HG01891	1	chr12	q	chr12_q	AFR	0.11390945914924304	-0.18975963137098475	-0.19559208317940555	0.16396181298181656	0.17422563536657598	HG03470#1#CM091828.1:133815097-133840096_chr12_qarm	7.572841459499602e-5	HG03470	chr12_q
HG01891#1#CM088188.1:4817-74817_chr12_parm	HG01891	1	chr12	p	chr12_p	AFR	-0.11553983196138258	-0.4498100063364928	0.36536983084894725	0.037049883034400544	-0.04981283124042839	NA19835#2#JBIRDA010000037.1:4807-74807_chr12_parm	1.7102504402724113e-4	NA19835	chr12_p
HG01891#1#CM088189.1:12175-212175_chr16_parm	HG01891	1	chr16	p	chr16_p	AFR	-0.22022365975949004	0.16935911064731887	-0.15891358350706122	-0.4159142416180494	0.08601017608250258	HG02647#2#CM086579.1:8868-208868_chr16_parm	1.0169029232905654e-5	HG02647	chr16_p
HG01891#1#CM088189.1:89327180-89472179_chr16_qarm	HG01891	1	chr16	q	chr16_q	AFR	-0.1827582672209142	0.25301099244849035	-0.033506013704499744	-0.33179900788896755	0.22498061047596296	HG02055#1#CM092213.1:91663352-91808351_chr16_qarm	2.163332434037553e-4	HG02055	chr16_q
HG01891#1#CM088190.1:14798-124798_chr19_parm	HG01891	1	chr19	p	chr19_p	AFR	-0.1625802760713693	-0.1109804001126715	0.23081887858866248	-0.0860989618767067	-0.05977821469492072	HG01884#2#CM086430.1:5464-115464_chr19_parm	1.4953417182670743e-4	HG01884	chr19_p
HG01891#1#CM088190.1:60990125-61010124_chr19_qarm	HG01891	1	chr19	q	chr19_q	AFR	0.5119059757903877	0.1905584277502715	0.17321724777416916	-0.0716139804770386	-0.06700118015534445	HG03209#2#CM087240.1:62072975-62092974_chr19_qarm	6.757356967754883e-4	HG03209	chr19_q
HG01891#1#CM088191.1:154035534-154365533_chrX_qarm	HG01891	1	chrX	q	chrX_q	AFR	0.04272474658081931	-0.19885631105148324	-0.11891763047845358	0.084970907000423	0.029878809076436624	HG02984#2#JBJKON010000054.1:105548016-105878015_chrX_qarm	1.4169798846844808e-5	HG02984	chrX_q
HG01891#1#CM088191.1:7611-507611_chrX_parm	HG01891	1	chrX	p	chrX_p	AFR	0.06074548450969765	-0.16277885227861594	-0.14922611479828382	0.09257833427230126	0.05493618575929471	HG02583#1#CM089501.1:3323-498323_chrX_parm	1.4751403532162829e-5	HG02583	chrX_p
HG01891#1#JAGYVO020000003.1:13601-113601_chr6_parm	HG01891	1	chr6	p	chr6_p	AFR	-0.21142696166568495	-0.31814161594524837	0.36203354135910076	-0.03233628186513799	0.03434624828084689	HG02486#1#CM088195.1:8568-108568_chr6_parm	8.981460680555688e-5	HG02486	chr6_p
HG01891#1#JAGYVO020000005.1:100474215-100484214_chr13_qarm	HG01891	1	chr13	q	chr13_q	AFR	0.43400195851652995	0.0954864357411177	0.13428980530148577	-0.03774578230648202	-0.08114560031223338	HG02622#2#JAHAON020000053.1:98216466-98226465_chr13_qarm	7.639788293402592e-5	HG02622	chr13_q
HG01891#1#JAGYVO020000006.1:111172921-111307920_chr6_qarm	HG01891	1	chr6	q	chr6_q	AFR	-0.20935568722809217	0.30449451637569075	-0.078206474768193	0.39284125056660635	-0.14382421818832689	HG03369#2#CM094359.1:172193161-172328160_chr6_qarm	9.239490957253503e-5	HG03369	chr6_q
HG01891#1#JAGYVO020000008.1:15548-80548_chr4_parm	HG01891	1	chr4	p	chr4_p	AFR	0.09389759873176391	-0.1580796384390046	-0.1946717706804166	0.11924257000202865	0.16521201954578937	HG02615#2#CM086692.1:16122-81122_chr4_parm	1.1649393358375478e-6	HG02615	chr4_p
HG01891#1#JAGYVO020000011.1:43501889-43526888_chr22_qarm	HG01891	1	chr22	q	chr22_q	AFR	0.48900444942250193	0.18228530875632384	0.16183132864876074	-0.07179870193508316	-0.057090405838691	HG02280#2#JBHDRS010000008.1:44537545-44562544_chr22_qarm	5.547889047857402e-5	HG02280	chr22_q
