region	method_id	evidence_layer	comparison_id	query_chrom	target_chrom	support_bins	aligned_bp_sum	mean_identity_weighted	mean_match_distance
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	chr13	2	4000	0.996003	0.003997
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	chr13	107	200572	0.997907	0.002093
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	chr22	9	17993	0.996724	0.003276
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	chr22	3	4368	0.996795	0.003205
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr13	chr22	26	50976	0.998444	0.001556
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN027mat_vs_PAN010_joint	chr14	chr22	1	2000	0.999000	0.001000
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	chr21	13	26000	0.997388	0.002612
PAR_XY	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chrX	chrY	4984	10898982	0.936414	0.063586
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	chr15	6	12000	0.999583	0.000417
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	chr15	8	10161	0.999311	0.000689
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	chr15	1	1035	1.000000	0.000000
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN027mat_vs_PAN010_joint	chr22	chr15	1	2	1.000000	0.000000
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN027mat_vs_PAN010_joint	chr13	chr15	1	2000	0.999500	0.000500
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	chr14	14	26192	0.997557	0.002443
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	chr14	18	34001	0.998735	0.001265
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr15	4	6385	0.488990	0.511010
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr15	50	93778	0.973811	0.026189
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr15	14	23838	0.962581	0.037419
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	chr13	1	2000	1.000000	0.000000
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	chr13	1	1284	1.000000	0.000000
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	chr22	5	6052	0.999670	0.000330
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	chr13	55	110000	0.999355	0.000645
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	chr22	1	2000	0.984508	0.015492
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN027mat_vs_PAN010_joint	chr21	chr13	1	2000	1.000000	0.000000
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN027mat_vs_PAN010_joint	chr14	chr22	2	4000	1.000000	0.000000
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr14	102	274438	0.976465	0.023535
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr14	172	480387	0.954178	0.045822
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	chr21	5	8014	0.999626	0.000374
acrocentric_p_cross	sweepga_fastga_f32	filtered_one_to_one	PAN027pat_vs_PAN011_joint	chr22	chr21	2	4000	1.000000	0.000000
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr13	32	101983	0.989784	0.010216
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr22	3	5000	0.997200	0.002800
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr13	3	5000	0.997200	0.002800
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr13	165	442499	0.994321	0.005679
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr22	25	47989	0.996270	0.003730
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr13	44	85355	0.996112	0.003888
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr22	12	22353	0.994636	0.005364
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr13	chr22	26	50976	0.998570	0.001430
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	chr22	chr13	3	4986	0.997193	0.002807
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	chr21	chr22	25	49000	0.999694	0.000306
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	chr14	chr22	3	5311	0.955426	0.044574
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	chr13	chr22	25	48000	0.999563	0.000437
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr21	20	37993	0.957373	0.042627
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr21	60	116913	0.996865	0.003135
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	chr22	chr21	25	48983	0.945088	0.054912
acrocentric_p_cross	wfmash_p95_updated_bin	raw_many_many	PAN027mat_vs_PAN010_joint	chr13	chr21	26	49018	0.999327	0.000673
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr15	180	646939	0.949513	0.050487
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr15	205	7409906	0.964391	0.035609
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr15	157	490315	0.948087	0.051913
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr13	chr15	123	726260	0.986363	0.013637
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr22	chr15	105	555973	0.972774	0.027226
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr21	chr15	139	914138	0.952294	0.047706
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr14	chr15	113	907728	0.969998	0.030002
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr13	chr15	244	4031996	0.986079	0.013921
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr22	chr15	214	2245078	0.981754	0.018246
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr21	chr15	243	1888989	0.980176	0.019824
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr14	chr15	164	533619	0.975261	0.024739
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr13	chr15	234	2988456	0.984202	0.015798
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr14	130	3722783	0.949351	0.050649
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr14	207	11213280	0.959970	0.040030
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr14	130	467922	0.978981	0.021019
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr13	chr14	76	361581	0.979346	0.020654
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr22	chr14	96	274107	0.981225	0.018775
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr21	chr14	90	236429	0.969609	0.030391
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr15	chr14	95	833970	0.973199	0.026801
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr13	chr14	83	250544	0.983160	0.016840
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr22	chr14	129	505615	0.982881	0.017119
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr21	chr14	191	649085	0.963584	0.036416
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr15	chr14	172	1286058	0.957551	0.042449
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr13	chr14	51	234123	0.986156	0.013844
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr13	80	339128	0.983113	0.016887
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr22	201	957322	0.966931	0.033069
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr21	chr13	109	570633	0.975158	0.024842
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr22	228	1978468	0.984703	0.015297
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr13	185	5412584	0.988998	0.011002
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr22	117	437815	0.977535	0.022465
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr13	116	431131	0.975217	0.024783
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr13	chr22	240	1867327	0.989584	0.010416
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr22	chr13	136	601830	0.982056	0.017944
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr21	chr22	188	1460419	0.978911	0.021089
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr21	chr13	177	1190028	0.974899	0.025101
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr15	chr22	240	1940725	0.982520	0.017480
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr15	chr13	240	6192734	0.985055	0.014945
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr14	chr22	90	386974	0.976345	0.023655
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr14	chr13	80	273909	0.976863	0.023137
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr13	chr22	244	2707120	0.984526	0.015474
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr22	chr13	179	3466365	0.982077	0.017923
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr21	chr22	216	3020111	0.983091	0.016909
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr21	chr13	213	4840543	0.981719	0.018281
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr15	chr22	167	889312	0.954574	0.045426
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr15	chr13	168	609567	0.956835	0.043165
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr14	chr22	234	2745665	0.972180	0.027820
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr14	chr13	138	1159189	0.960463	0.039537
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr13	chr22	238	3434388	0.985197	0.014803
