pair	transmission	query_name	query_arm	query_start	query_end	query_length	paf_query_length	target_name	target_hap	target_arm	strand	identity	jaccard	nb	interchromosomal
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	12648	408550	500000	41248	PAN010#1#chr5.haplotype1:183353914-183853913_chr5_qarm	PAN010#1	chr5q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	408550	409710	500000	41248	PAN010#2#chr5.haplotype2:181515028-182015027_chr5_qarm	PAN010#2	chr5q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	409710	499999	500000	41248	PAN010#1#chr5.haplotype1:183353914-183853913_chr5_qarm	PAN010#1	chr5q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	499999	500000	500000	41248	PAN010#1#chr15.haplotype1:99600503-100100502_chr15_qarm	PAN010#1	chr15q	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:6947-506946_chr6_parm	chr6p	0	499997	500000	41248	PAN010#2#chr6.haplotype2:13314-513313_chr6_parm	PAN010#2	chr6p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	0	22943	500000	41248	PAN010#1#chr6.haplotype1:171359713-171859712_chr6_qarm	PAN010#1	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	22943	33856	500000	41248	PAN010#2#chr6.haplotype2:171707900-172207899_chr6_qarm	PAN010#2	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	33856	46329	500000	41248	PAN010#1#chr6.haplotype1:171359713-171859712_chr6_qarm	PAN010#1	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	46329	55433	500000	41248	PAN010#2#chr6.haplotype2:171707900-172207899_chr6_qarm	PAN010#2	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	55433	68051	500000	41248	PAN010#1#chr6.haplotype1:171359713-171859712_chr6_qarm	PAN010#1	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	68051	114742	500000	41248	PAN010#2#chr6.haplotype2:171707900-172207899_chr6_qarm	PAN010#2	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	114742	115759	500000	41248	PAN010#1#chr6.haplotype1:171359713-171859712_chr6_qarm	PAN010#1	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	115759	149103	500000	41248	PAN010#2#chr6.haplotype2:171707900-172207899_chr6_qarm	PAN010#2	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr6.maternal:171365480-171865479_chr6_qarm	chr6q	149103	500000	500000	41248	PAN010#1#chr6.haplotype1:171359713-171859712_chr6_qarm	PAN010#1	chr6q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr7.maternal:8960-508959_chr7_parm	chr7p	0	18081	500000	41248	PAN010#1#chr7.haplotype1:11317-511316_chr7_parm	PAN010#1	chr7p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr7.maternal:8960-508959_chr7_parm	chr7p	18081	19090	500000	41248	PAN010#2#chr7.haplotype2:4672-504671_chr7_parm	PAN010#2	chr7p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr7.maternal:8960-508959_chr7_parm	chr7p	19090	500000	500000	41248	PAN010#1#chr7.haplotype1:11317-511316_chr7_parm	PAN010#1	chr7p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr7.maternal:159657678-160157677_chr7_qarm	chr7q	0	500000	500000	41248	PAN010#1#chr7.haplotype1:159808466-160308465_chr7_qarm	PAN010#1	chr7q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr8.maternal:6750-506749_chr8_parm	chr8p	0	500000	500000	41248	PAN010#1#chr8.haplotype1:4912-504911_chr8_parm	PAN010#1	chr8p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr8.maternal:146664859-147164858_chr8_qarm	chr8q	0	500000	500000	41248	PAN010#2#chr8.haplotype2:145411083-145911082_chr8_qarm	PAN010#2	chr8q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:7315-507314_chr9_parm	chr9p	0	310884	500000	41248	PAN010#2#chr9.haplotype2:7277-507276_chr9_parm	PAN010#2	chr9p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:7315-507314_chr9_parm	chr9p	310884	313629	500000	41248	PAN010#1#chr9.haplotype1:6255-506254_chr9_parm	PAN010#1	chr9p	+	96.9381	0.941455	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:7315-507314_chr9_parm	chr9p	313629	500000	500000	41248	PAN010#2#chr9.haplotype2:7277-507276_chr9_parm	PAN010#2	chr9p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	0	242939	500000	41248	PAN010#1#chr9.haplotype1:128676570-129176569_chr9_qarm	PAN010#1	chr9q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	242939	244343	500000	41248	PAN010#2#chr9.haplotype2:136480159-136980158_chr9_qarm	PAN010#2	chr9q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	244343	322732	500000	41248	PAN010#1#chr9.haplotype1:128676570-129176569_chr9_qarm	PAN010#1	chr9q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	322732	323749	500000	41248	PAN010#2#chr9.haplotype2:136480159-136980158_chr9_qarm	PAN010#2	chr9q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	323749	499999	500000	41248	PAN010#1#chr9.haplotype1:128676570-129176569_chr9_qarm	PAN010#1	chr9q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:9348-509347_chr10_parm	chr10p	0	467784	500000	41248	PAN010#2#chr10.haplotype2:5970-505969_chr10_parm	PAN010#2	chr10p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:9348-509347_chr10_parm	chr10p	468788	500000	500000	41248	PAN010#2#chr10.haplotype2:5970-505969_chr10_parm	PAN010#2	chr10p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	0	377491	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	378517	380798	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	385131	387412	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	388438	390718	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	391744	394026	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	398360	400644	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	404980	406020	500000	41248	PAN010#1#chr10.haplotype1:133927619-134427618_chr10_qarm	PAN010#1	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	410571	432283	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	433309	436616	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	437657	455084	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	465989	467229	500000	41248	PAN010#1#chr10.haplotype1:133927619-134427618_chr10_qarm	PAN010#1	chr10q	+	99.7981	0.995974	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	477626	486722	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	488920	500000	500000	41248	PAN010#2#chr10.haplotype2:133995116-134495115_chr10_qarm	PAN010#2	chr10q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr11.maternal:8352-508351_chr11_parm	chr11p	0	500000	500000	41248	PAN010#2#chr11.haplotype2:6623-506622_chr11_parm	PAN010#2	chr11p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr11.maternal:134292564-134792563_chr11_qarm	chr11q	0	499034	500000	41248	PAN010#2#chr11.haplotype2:134183346-134683345_chr11_qarm	PAN010#2	chr11q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr12.maternal:6907-506906_chr12_parm	chr12p	0	499998	500000	41248	PAN010#1#chr12.haplotype1:4621-504620_chr12_parm	PAN010#1	chr12p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr12.maternal:134349107-134849106_chr12_qarm	chr12q	0	500000	500000	41248	PAN010#1#chr12.haplotype1:133049448-133549447_chr12_qarm	PAN010#1	chr12q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	0	39881	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	39881	66165	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	66165	68754	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	68754	69767	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	69767	71033	500000	41248	PAN010#1#chr21.haplotype1:9998-509997_chr21_parm	PAN010#1	chr21p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	71033	75064	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	75064	76077	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	76077	77343	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	77343	79926	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	79926	82399	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	83665	85116	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	85116	88723	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	88723	91440	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	91440	92576	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	92576	94044	500000	41248	PAN010#1#chr13.haplotype1:12764-512763_chr13_parm	PAN010#1	chr13p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	94044	95057	500000	41248	PAN010#2#chr22.haplotype2:12764-512763_chr22_parm	PAN010#2	chr22p	+	100	1	1	1
