display_index	row_order_top_to_bottom	corrected_column_order_left_to_right	v3_implicit_column_order_left_to_right	base_arm	sequence_community	source_row_index	source_column_index
61	chr1_PATERNAL_p	chr1_PATERNAL_p	chr16_MATERNAL_q	chr1_p	C11	4	4
62	chr5_MATERNAL_q	chr5_MATERNAL_q	chr11_PATERNAL_p	chr5_q	C11	13	13
63	chr5_PATERNAL_q	chr5_PATERNAL_q	chr11_MATERNAL_p	chr5_q	C11	14	14
64	chr6_MATERNAL_q	chr6_MATERNAL_q	chr9_PATERNAL_q	chr6_q	C11	16	16
65	chr6_PATERNAL_q	chr6_PATERNAL_q	chr9_MATERNAL_q	chr6_q	C11	17	17
66	chr8_MATERNAL_p	chr8_MATERNAL_p	chr7_PATERNAL_p	chr8_p	C11	23	23
67	chr8_PATERNAL_p	chr8_PATERNAL_p	chr7_MATERNAL_p	chr8_p	C11	24	24
68	chr2_MATERNAL_q	chr2_MATERNAL_q	chr3_PATERNAL_q	chr2_q	C12	5	5
69	chr2_PATERNAL_q	chr2_PATERNAL_q	chr3_MATERNAL_q	chr2_q	C12	6	6
70	chr20_MATERNAL_p	chr20_MATERNAL_p	chr18_PATERNAL_p	chr20_p	C12	63	63
71	chr20_PATERNAL_p	chr20_PATERNAL_p	chr18_MATERNAL_p	chr20_p	C12	64	64
72	chr4_MATERNAL_p	chr4_MATERNAL_p	chr10_PATERNAL_p	chr4_p	C13	9	9
73	chr4_PATERNAL_p	chr4_PATERNAL_p	chr10_MATERNAL_p	chr4_p	C13	12	12
74	chrX_MATERNAL_q	chrX_MATERNAL_q	chr10_PATERNAL_q	chrX_q	C14	74	74
75	chrY_PATERNAL_q	chrY_PATERNAL_q	chr10_MATERNAL_q	chrY_q	C14	77	77
76	chrX_MATERNAL_p	chrX_MATERNAL_p	chr4_PATERNAL_q	chrX_p	C15	75	75
77	chrY_PATERNAL_p	chrY_PATERNAL_p	chr4_MATERNAL_q	chrY_p	C15	76	76
