display_index	row_order_top_to_bottom	row_sequence_community	displayed_column_order_left_to_right	displayed_column_sequence_community	v3_implicit_displayed_column_order_left_to_right	v3_implicit_displayed_column_sequence_community	v3_x_axis_mirrored	orientation_summary	corrected_x_axis_policy	corrected_row_axis_policy	v3_mirror_basis
11	chr7_MATERNAL_p	C3	chr7_MATERNAL_p	C3	chr8_PATERNAL_p	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
12	chr7_PATERNAL_p	C3	chr7_PATERNAL_p	C3	chr8_MATERNAL_p	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
13	chr9_MATERNAL_q	C3	chr9_MATERNAL_q	C3	chr6_PATERNAL_q	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
14	chr9_PATERNAL_q	C3	chr9_PATERNAL_q	C3	chr6_MATERNAL_q	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
15	chr11_MATERNAL_p	C3	chr11_MATERNAL_p	C3	chr5_PATERNAL_q	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
16	chr11_PATERNAL_p	C3	chr11_PATERNAL_p	C3	chr5_MATERNAL_q	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
17	chr16_MATERNAL_q	C3	chr16_MATERNAL_q	C3	chr1_PATERNAL_p	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
18	chr16_PATERNAL_q	C3	chr16_PATERNAL_q	C3	chr1_MATERNAL_p	C11	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
19	chr19_MATERNAL_p	C3	chr19_MATERNAL_p	C3	chr17_PATERNAL_p	C10	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
20	chr19_PATERNAL_p	C3	chr19_PATERNAL_p	C3	chr17_MATERNAL_p	C10	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
21	chr7_MATERNAL_q	C4	chr7_MATERNAL_q	C4	chr16_PATERNAL_p	C9	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
22	chr7_PATERNAL_q	C4	chr7_PATERNAL_q	C4	chr16_MATERNAL_p	C9	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
23	chr12_MATERNAL_q	C4	chr12_MATERNAL_q	C4	chr15_PATERNAL_q	C8	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
24	chr12_PATERNAL_q	C4	chr12_PATERNAL_q	C4	chr15_MATERNAL_q	C8	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
25	chr6_MATERNAL_p	C5	chr6_MATERNAL_p	C5	chr22_PATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
26	chr6_PATERNAL_p	C5	chr6_PATERNAL_p	C5	chr22_MATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
27	chr9_MATERNAL_p	C5	chr9_MATERNAL_p	C5	chr21_PATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
28	chr9_PATERNAL_p	C5	chr9_PATERNAL_p	C5	chr21_MATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
29	chr12_MATERNAL_p	C5	chr12_MATERNAL_p	C5	chr15_PATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
30	chr12_PATERNAL_p	C5	chr12_PATERNAL_p	C5	chr15_MATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
31	chr20_PATERNAL_q	C5	chr20_PATERNAL_q	C5	chr14_PATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
32	chr1_MATERNAL_q	C6	chr1_MATERNAL_q	C6	chr14_MATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
33	chr1_PATERNAL_q	C6	chr1_PATERNAL_q	C6	chr13_PATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
34	chr13_MATERNAL_q	C6	chr13_MATERNAL_q	C6	chr13_MATERNAL_p	C7	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
