event_id	comparison_id	filter_mode	filter_label	chop_length_bp	query_name	query_chrom	window_start_abs	window_end_abs	query_window_bp	chr3_rows	chr3_sum_overlap_bp	chr3_query_union_bp	chr9_rows	chr9_sum_overlap_bp	chr9_query_union_bp	other_sum_overlap_bp	other_query_union_bp	chr3_survives	status
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	10000	PAN027#2#chr9	chr9	135704825	136204825	500000	2	10715	10715	45	445071	435071	69499	59499	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	no_merge_ani	no-merge ANI	2000	PAN028#1#chr9	chr9	134380985	134880985	500000	25	48009	43121	249	496714	414071	25271	25271	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN028#1#chr9	chr9	134380985	134880985	500000	24	48000	43112	255	508614	422919	25271	25271	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	scaffold50k_ani	50kb scaffold/merge ANI	2000	PAN028#1#chr9	chr9	134380985	134880985	500000	23	46000	41112	249	496714	414071	10000	10000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	2000	PAN028#1#chr9	chr9	134380985	134880985	500000	23	46000	41112	255	508614	422919	10000	10000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	no_merge_ani	no-merge ANI	5000	PAN028#1#chr9	chr9	134380985	134880985	500000	4	20000	20000	102	504061	423784	5000	5000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	no_merge_log_length_ani	no-merge log-length-ANI	5000	PAN028#1#chr9	chr9	134380985	134880985	500000	4	20000	20000	102	506275	428703	5000	5000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	scaffold50k_ani	50kb scaffold/merge ANI	5000	PAN028#1#chr9	chr9	134380985	134880985	500000	3	15000	15000	102	504061	423784	0	0	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	5000	PAN028#1#chr9	chr9	134380985	134880985	500000	3	15000	15000	102	506275	428703	0	0	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	no_merge_ani	no-merge ANI	10000	PAN028#1#chr9	chr9	134380985	134880985	500000	2	17232	17232	54	528980	433703	10000	10000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	no_merge_log_length_ani	no-merge log-length-ANI	10000	PAN028#1#chr9	chr9	134380985	134880985	500000	1	10000	10000	53	526275	438784	10000	10000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	scaffold50k_ani	50kb scaffold/merge ANI	10000	PAN028#1#chr9	chr9	134380985	134880985	500000	1	10000	10000	54	528980	433703	10000	10000	yes	OK
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	10000	PAN028#1#chr9	chr9	134380985	134880985	500000	1	10000	10000	53	526275	438784	10000	10000	yes	OK
