comparison_id	chop_length_bp	filter_mode	filter_label	num_mappings	scaffold_jump	scoring	source_chopped_paf	filtered_paf	filtered_paf_sha256	reused_from	status
PAN027pat_vs_PAN011_joint	10000	scaffold50k_ani	50kb scaffold/merge ANI	1:1	50k	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.scaffold50k_ani.paf.gz	ff86a4cc8c7556be730481ba38a6e7d05da0d289330bf07f3dd2caca87c1f341		OK
PAN027pat_vs_PAN011_joint	10000	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	1:1	50k	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.scaffold50k_log_length_ani.paf.gz	e819e3a3edcb96625b1ec11fc222d5e821d958a8f693b957e350dd25a49fbf9f		OK
PAN028mat_vs_PAN027_joint	2000	no_merge_ani	no-merge ANI	1:1	0	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN028mat_vs_PAN027_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.no_merge_ani.paf.gz	19df17f477121212596aa87b3ae6b5dc7bd8246447b2760d333b54fcfc0689e4	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN028mat_vs_PAN027_joint.l2000.one_one_chopped.paf.gz	OK
PAN028mat_vs_PAN027_joint	2000	no_merge_log_length_ani	no-merge log-length-ANI	1:1	0	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN028mat_vs_PAN027_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.no_merge_log_length_ani.paf.gz	9ba9492cfa013854a6360cebe68ecb6e0cbf878235035470445bd10a5c2995f0		OK
PAN028mat_vs_PAN027_joint	2000	scaffold50k_ani	50kb scaffold/merge ANI	1:1	50k	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN028mat_vs_PAN027_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.scaffold50k_ani.paf.gz	310d061b323be65109952bb4176cab850e6407f8436a2aea4c1d80e6c8d024d4		OK
PAN028mat_vs_PAN027_joint	2000	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	1:1	50k	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN028mat_vs_PAN027_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.scaffold50k_log_length_ani.paf.gz	05a17fa112e68cd324ffe89a7b285853564b2158a79fee2fa16cf0214ec86e0a		OK
PAN028mat_vs_PAN027_joint	5000	no_merge_ani	no-merge ANI	1:1	0	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN028mat_vs_PAN027_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.no_merge_ani.paf.gz	42de31ea9083b12d170fc317ae021225a0f83d17a03e431a55d43202dc94ab48	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN028mat_vs_PAN027_joint.l5000.one_one_chopped.paf.gz	OK
PAN028mat_vs_PAN027_joint	5000	no_merge_log_length_ani	no-merge log-length-ANI	1:1	0	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN028mat_vs_PAN027_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.no_merge_log_length_ani.paf.gz	dda36cd4b392030fa4c685033b114adfbcae7d5f8046b9d614613f7d15735475		OK
PAN028mat_vs_PAN027_joint	5000	scaffold50k_ani	50kb scaffold/merge ANI	1:1	50k	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN028mat_vs_PAN027_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.scaffold50k_ani.paf.gz	3568299a149d3f7a09dad869c8a28455005ac9817487f134a08730f6e5df3212		OK
PAN028mat_vs_PAN027_joint	5000	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	1:1	50k	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN028mat_vs_PAN027_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.scaffold50k_log_length_ani.paf.gz	37d05b7965e89713b10f42a0bfdf3e2ed4709a4508e0756bcdeb7eeb5a8f163e		OK
PAN028mat_vs_PAN027_joint	10000	no_merge_ani	no-merge ANI	1:1	0	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.no_merge_ani.paf.gz	d9b3b192a848267c91e24538dfe36cbccb91768862fa3c6463bc5ebc3c4573ec	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN028mat_vs_PAN027_joint.l10000.one_one_chopped.paf.gz	OK
PAN028mat_vs_PAN027_joint	10000	no_merge_log_length_ani	no-merge log-length-ANI	1:1	0	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.no_merge_log_length_ani.paf.gz	276c24f54302412b9f69f65494d63179b4a8d929a0440e21aea363318c787dc7		OK
PAN028mat_vs_PAN027_joint	10000	scaffold50k_ani	50kb scaffold/merge ANI	1:1	50k	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.scaffold50k_ani.paf.gz	fc1eb5c4758a38ed575ee687eaae5546010e06ec9ca39bd3adf7ec9012133982		OK
PAN028mat_vs_PAN027_joint	10000	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	1:1	50k	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.scaffold50k_log_length_ani.paf.gz	34c76102bc34ae4855aeea958f2c737d0e178bf7e3283128b881a673a40144ff		OK
