position_top_to_bottom	position_left_to_right	ChromArm	label	arm_side	Community	Community_members	UPGMA_tree_position	ordering_mode	matrix_source	tree_order_source	community_mapping_source
12	12	chr7_q	7q	q	C4	7q, 12q	12	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
13	13	chr10_p	10p	p	C2	10p, 18p	13	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
14	14	chr18_p	18p	p	C2	10p, 18p	14	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
15	15	chr17_p	17p	p	C10	17p	15	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
16	16	chr16_p	16p	p	C9	16p	16	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
17	17	chr9_p	9p	p	C5	6p, 9p, 12p, 20q	17	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
18	18	chr6_p	6p	p	C5	6p, 9p, 12p, 20q	18	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
19	19	chr12_p	12p	p	C5	6p, 9p, 12p, 20q	19	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
20	20	chr20_q	20q	q	C5	6p, 9p, 12p, 20q	20	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
21	21	chr2_q	2q	q	C12	2q, 20p	21	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
22	22	chr1_p	1p	p	C11	1p, 5q, 6q, 8p	22	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
23	23	chr8_p	8p	p	C11	1p, 5q, 6q, 8p	23	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
24	24	chr5_q	5q	q	C11	1p, 5q, 6q, 8p	24	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
25	25	chr6_q	6q	q	C11	1p, 5q, 6q, 8p	25	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
26	26	chr15_q	15q	q	C8	15q	26	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
27	27	chr11_p	11p	p	C3	3q, 7p, 9q, 11p, 16q, 19p	27	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
28	28	chr19_p	19p	p	C3	3q, 7p, 9q, 11p, 16q, 19p	28	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
29	29	chr3_q	3q	q	C3	3q, 7p, 9q, 11p, 16q, 19p	29	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
30	30	chr20_p	20p	p	C12	2q, 20p	30	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
31	31	chr9_q	9q	q	C3	3q, 7p, 9q, 11p, 16q, 19p	31	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
32	32	chr16_q	16q	q	C3	3q, 7p, 9q, 11p, 16q, 19p	32	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
33	33	chr7_p	7p	p	C3	3q, 7p, 9q, 11p, 16q, 19p	33	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
34	34	chr10_q	10q	q	C1	4q, 10q	34	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
35	35	chr4_q	4q	q	C1	4q, 10q	35	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
36	36	chr17_q	17q	q	C6	1q, 13q, 17q, 19q, 21q, 22q	36	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
37	37	chr13_q	13q	q	C6	1q, 13q, 17q, 19q, 21q, 22q	37	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
38	38	chr1_q	1q	q	C6	1q, 13q, 17q, 19q, 21q, 22q	38	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
39	39	chr19_q	19q	q	C6	1q, 13q, 17q, 19q, 21q, 22q	39	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
40	40	chr21_q	21q	q	C6	1q, 13q, 17q, 19q, 21q, 22q	40	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
41	41	chr22_q	22q	q	C6	1q, 13q, 17q, 19q, 21q, 22q	41	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
