dataset	setting	pair	label	query_name	query_chrarm	start	end	length_bp	n_segments	resolvability	is_interchromosomal	bridge_bp	bridge_reasons	donor_haplotypes	donor_arms	donor_communities	min_score	max_score
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	118211	128121	9910	8	same_community_ambiguous	True	0	shared_donor_haplotype:7	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	0.993	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	128121	129667	1546	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	0.972	0.972
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	129667	130803	1136	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	0.993	0.993
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	130803	146857	16054	13	same_community_ambiguous	True	0	shared_donor_haplotype:12	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	0.942	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	146857	161987	15130	12	unique_donor_haplotype	False	0	shared_donor_haplotype:11	PAN010#1:chr13p	chr13p	C2	0.933	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	161987	163433	1446	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	0.94	0.94
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	163433	175737	12304	10	unique_donor_haplotype	False	0	shared_donor_haplotype:9	PAN010#1:chr13p	chr13p	C2	0.919	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	176753	218351	41598	33	same_community_ambiguous	True	0	shared_donor_haplotype:32	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.92	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	218351	230937	12586	10	same_community_ambiguous	True	0	shared_donor_haplotype:9	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.947	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	230937	252271	21334	17	same_community_ambiguous	True	0	shared_donor_haplotype:16	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.955	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	252271	253417	1146	1	same_community_ambiguous	True	0		PAN010#1:chr15p,PAN010#2:chr22p	chr15p,chr22p	C2	0.99	0.99
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	253417	254975	1558	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	0.997	0.997
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	254975	256111	1136	1	unique_donor_haplotype	True	0		PAN010#1:chr15p	chr15p	C2	0.998	0.998
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	256111	259717	3606	3	same_community_ambiguous	True	0	shared_donor_haplotype:2	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	0.986	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	259717	261271	1554	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	261271	262407	1136	1	same_community_ambiguous	True	0		PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr15p,chr21p,chr22p	C2	0.998	0.998
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	262407	263854	1447	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	0.986	0.986
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	263854	264867	1013	1	unique_donor_haplotype	True	0		PAN010#1:chr21p	chr21p	C2	0.969	0.969
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	264867	270146	5279	4	same_community_ambiguous	True	0	shared_donor_haplotype:3	PAN010#1:chr13p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr21p,chr22p	C2	0.995	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	270146	271159	1013	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	271159	272305	1146	1	unique_donor_haplotype	True	0		PAN010#1:chr21p	chr21p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	272305	276438	4133	3	same_community_ambiguous	True	0	shared_donor_haplotype:2	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	0.995	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	276438	277451	1013	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	277451	278597	1146	1	unique_donor_haplotype	True	0		PAN010#1:chr21p	chr21p	C2	0.978	0.978
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	278597	280147	1550	1	unique_donor_haplotype	True	0		PAN010#1:chr15p	chr15p	C2	0.995	0.995
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	280147	286437	6290	5	same_community_ambiguous	True	0	shared_donor_haplotype:4	PAN010#1:chr13p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr21p,chr22p	C2	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	286437	287573	1136	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	0.988	0.988
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	287573	292737	5164	4	unique_donor_haplotype	False	0	shared_donor_haplotype:3	PAN010#1:chr13p	chr13p	C2	0.952	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	292737	293873	1136	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	0.989	0.989
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	293873	295320	1447	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	0.974	0.974
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	295320	296333	1013	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	296333	326504	30171	24	same_community_ambiguous	True	0	shared_donor_haplotype:23	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#2:chr22p	chr13p,chr15p,chr22p	C2	0.962	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	326504	343945	17441	14	same_community_ambiguous	True	0	shared_donor_haplotype:13	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.979	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	343945	364290	20345	16	same_community_ambiguous	True	0	shared_donor_haplotype:15	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.977	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	364290	374303	10013	8	same_community_ambiguous	True	0	shared_donor_haplotype:7	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.992	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	374303	375439	1136	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	0.989	0.989
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	375439	395776	20337	16	same_community_ambiguous	True	0	shared_donor_haplotype:15	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#2:chr22p	chr13p,chr15p,chr22p	C2	0.988	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	395776	397935	2159	2	same_community_ambiguous	True	0	shared_donor_haplotype:1	PAN010#1:chr15p,PAN010#2:chr22p	chr15p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	397935	406924	8989	7	same_community_ambiguous	True	0	shared_donor_haplotype:6	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	0.969	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	406924	414665	7741	6	same_community_ambiguous	True	0	shared_donor_haplotype:5	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	0.971	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	414665	416824	2159	2	same_community_ambiguous	True	0	shared_donor_haplotype:1	PAN010#1:chr15p,PAN010#2:chr22p	chr15p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	416824	418382	1558	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	418382	433549	15167	12	same_community_ambiguous	True	0	shared_donor_haplotype:11	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	433549	434562	1013	1	unique_donor_haplotype	True	0		PAN010#1:chr15p	chr15p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	434562	435708	1146	1	unique_donor_haplotype	False	0		PAN010#1:chr13p	chr13p	C2	0.998	0.998
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	435708	437266	1558	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	0.996	0.996
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	437266	438402	1136	1	unique_donor_haplotype	True	0		PAN010#1:chr15p	chr15p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	438402	440862	2460	2	unique_donor_haplotype	False	0	shared_donor_haplotype:1	PAN010#1:chr13p	chr13p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	440862	442008	1146	1	same_community_ambiguous	True	0		PAN010#1:chr15p,PAN010#2:chr22p	chr15p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	442008	446145	4137	3	same_community_ambiguous	True	0	shared_donor_haplotype:2	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	446145	449858	3713	3	same_community_ambiguous	True	0	shared_donor_haplotype:2	PAN010#1:chr13p,PAN010#2:chr22p	chr13p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	449858	456158	6300	5	same_community_ambiguous	True	0	shared_donor_haplotype:4	PAN010#1:chr13p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr21p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	456158	457294	1136	1	same_community_ambiguous	True	0		PAN010#1:chr21p,PAN010#2:chr22p	chr21p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	457294	458741	1447	1	same_community_ambiguous	True	0		PAN010#1:chr13p,PAN010#1:chr15p	chr13p,chr15p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	458741	459754	1013	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	459754	462454	2700	2	unique_donor_haplotype	False	0	shared_donor_haplotype:1	PAN010#1:chr13p	chr13p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	462454	463590	1136	1	same_community_ambiguous	True	0		PAN010#1:chr21p,PAN010#2:chr22p	chr21p,chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	463590	465037	1447	1	same_community_ambiguous	True	0		PAN010#1:chr13p,PAN010#1:chr15p	chr13p,chr15p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	465037	466050	1013	1	unique_donor_haplotype	True	0		PAN010#2:chr22p	chr22p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	466050	471333	5283	4	same_community_ambiguous	True	0	shared_donor_haplotype:3	PAN010#1:chr13p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr21p,chr22p	C2	0.985	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	471333	472346	1013	1	unique_donor_haplotype	True	0		PAN010#1:chr15p	chr15p	C2	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	472346	499970	27624	7	same_community_ambiguous	True	0	shared_donor_haplotype:6	PAN010#1:chr13p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr21p,chr22p	C2	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr14.maternal:8164-508163_chr14_parm	chr14p	0	500000	500000	244	same_community_ambiguous	True	0	shared_donor_haplotype:243	PAN010#1:chr21p,PAN010#1:chr22p,PAN010#2:chr14p,PAN010#2:chr21p	chr14p,chr21p,chr22p	C2	0.818	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr14.maternal:99897698-100397697_chr14_qarm	chr14q	0	500000	500000	31	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:30	PAN010#1:chr14q,PAN010#2:chr14q	chr14q	unknown	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr15.maternal:8539-508538_chr15_parm	chr15p	0	500000	500000	215	same_community_ambiguous	True	0	shared_donor_haplotype:214	PAN010#1:chr14p,PAN010#2:chr15p	chr14p,chr15p	C2	0.941	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr15.maternal:97522747-98022746_chr15_qarm	chr15q	0	500000	500000	43	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:42	PAN010#1:chr15q,PAN010#2:chr15q	chr15q	C1	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr16.maternal:6061-506060_chr16_parm	chr16p	0	500000	500000	65	same_community_ambiguous	True	0	shared_donor_haplotype:64	PAN010#1:chr16p,PAN010#1:chr19p,PAN010#2:chr16p	chr16p,chr19p	C1	0.955	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr16.maternal:91085525-91585524_chr16_qarm	chr16q	0	500000	500000	56	same_community_ambiguous	True	0	shared_donor_haplotype:55	PAN010#1:chr16q,PAN010#1:chr9q,PAN010#2:chr16q,PAN010#2:chr9q	chr16q,chr9q	C1	0.999	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr17.maternal:6124-506123_chr17_parm	chr17p	0	499790	499790	114	unique_donor_arm_multi_haplotype	False	0	shared_donor_arm:4,shared_donor_haplotype:109	PAN010#1:chr17p,PAN010#2:chr17p	chr17p	C1	0.828	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr17.maternal:83707668-84207667_chr17_qarm	chr17q	0	500000	500000	55	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:54	PAN010#1:chr17q,PAN010#2:chr17q	chr17q	C1	0.933	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr18.maternal:80652678-81152677_chr18_qarm	chr18q	0	500000	500000	25	unique_donor_haplotype	False	0	shared_donor_haplotype:24	PAN010#2:chr18q	chr18q	unknown	1	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr18.maternal:8300-508299_chr18_parm	chr18p	0	500000	500000	20	same_community_ambiguous	True	0	shared_donor_haplotype:19	PAN010#1:chr18p,PAN010#2:chr10p	chr10p,chr18p	C1	0.824	1
e50000.m1000	m1000_default	PAN027_vs_PAN010	PAN027 maternal (hap1) vs PAN010 (mother)	PAN027#1#chr19.maternal:62236944-62736943_chr19_qarm	chr19q	0	500000	500000	38	unique_donor_arm_multi_haplotype	False	0	shared_donor_haplotype:37	PAN010#1:chr19q,PAN010#2:chr19q	chr19q	C1	0.999	1
