setting	pair	query_name	tract_start	tract_end	segment_start	segment_end	resolvability	segment_resolvability	bridge_bp	donor_arms	donor_communities	best_score
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	91537	92677	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	92677	94118	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	94118	95125	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	95125	96190	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	96190	97225	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	97225	98973	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	98973	100113	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	100113	101554	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	101554	102561	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	102561	103626	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	103626	104661	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	104661	106409	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	106409	107549	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	107549	108990	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	108990	109996	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	109996	111062	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	111062	112096	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	112096	113845	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	113845	114985	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	114985	116426	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	116426	117433	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	117433	118498	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	118498	119533	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	119533	121285	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	121285	122425	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	122425	123866	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	123866	124873	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	124873	125938	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	125938	126973	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	126973	128721	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	128721	129861	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	129861	131302	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	131302	132309	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	132309	133374	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	133374	134409	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	134409	136157	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	136157	137297	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	137297	138738	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	138738	139745	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	139745	140804	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	140804	142280	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	142280	144032	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	144032	145172	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	145172	146613	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	146613	147620	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	147620	148679	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	148679	150155	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	150155	151911	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	151911	153051	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	153051	154492	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	154492	155499	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	155499	156558	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	156558	158034	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	158034	159778	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	159778	160918	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	160918	162359	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	162359	163366	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	163366	164431	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	164431	165466	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	165466	167214	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	167214	168354	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	168354	169795	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	169795	170802	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	170802	171861	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	171861	173337	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	173337	175085	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	175085	176225	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	176225	177666	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	177666	178673	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	178673	179732	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	179732	181208	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	181208	182960	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	182960	184100	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	184100	185541	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	185541	186548	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	186548	187607	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	187607	189083	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	189083	190835	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	190835	191975	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	191975	193416	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	193416	194423	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	0.998
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	194423	195488	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	195488	196523	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	196523	198267	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	198267	199407	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	199407	200846	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	200846	201853	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
