event_id	comparison_id	panel_label	query_name	query_chrom	window_start	window_end	basis	chunk_mode	num_mappings	scaffold_jump	scoring	filter_overlap	query_start	query_end	query_clip_start	query_clip_end	window_overlap_bp	target_name	target_chrom	target_bucket	target_start	target_end	strand	matches	alignment_length	identity	expected_target_chroms	is_expected_target	source_tsv_gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	72000	74000	72000	74000	2000	PAN011#joint#h2_chrY	chrY	chrY	65586	67586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	74000	76000	74000	76000	2000	PAN011#joint#h2_chrY	chrY	chrY	67586	69586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	76000	78000	76000	78000	2000	PAN011#joint#h2_chrY	chrY	chrY	69586	71586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	78000	80000	78000	80000	2000	PAN011#joint#h2_chrY	chrY	chrY	71586	73586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	80000	82000	80000	82000	2000	PAN011#joint#h2_chrY	chrY	chrY	73586	75586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	82000	84000	82000	84000	2000	PAN011#joint#h2_chrY	chrY	chrY	75586	77586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	84000	86000	84000	86000	2000	PAN011#joint#h2_chrY	chrY	chrY	77586	79586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	86000	88000	86000	88000	2000	PAN011#joint#h2_chrY	chrY	chrY	79586	81586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	88000	90000	88000	90000	2000	PAN011#joint#h2_chrY	chrY	chrY	81586	83586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	90000	92000	90000	92000	2000	PAN011#joint#h2_chrY	chrY	chrY	83586	85586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	92000	94000	92000	94000	2000	PAN011#joint#h2_chrY	chrY	chrY	85586	87586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	94000	96000	94000	96000	2000	PAN011#joint#h2_chrY	chrY	chrY	87586	89586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	96000	98000	96000	98000	2000	PAN011#joint#h2_chrY	chrY	chrY	89586	91586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	98000	100000	98000	100000	2000	PAN011#joint#h2_chrY	chrY	chrY	91586	93586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	100000	102000	100000	102000	2000	PAN011#joint#h2_chrY	chrY	chrY	93586	95586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	102000	104000	102000	104000	2000	PAN011#joint#h2_chrY	chrY	chrY	95586	97586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	104000	106000	104000	106000	2000	PAN011#joint#h2_chrY	chrY	chrY	97586	99586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	106000	108000	106000	108000	2000	PAN011#joint#h2_chrY	chrY	chrY	99586	101587	.	2000	2000	0.999750	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	108000	110000	108000	110000	2000	PAN011#joint#h2_chrY	chrY	chrY	101587	103587	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	110000	112000	110000	112000	2000	PAN011#joint#h2_chrY	chrY	chrY	103587	105587	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
