view	query_name	query_arm	query_start	query_end	target_hap	target_arm	nth_best	score	strand
old_bed_n1	PAN027#1#chr9.maternal:7315-507314_chr9_parm	chr9p	310873	313629	PAN010#1	chr9p	1	0.941688	+
old_bed_n1	PAN027#1#chr9.maternal:7315-507314_chr9_parm	chr9p	313629	500000	PAN010#2	chr9p	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	0	242939	PAN010#1	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	242939	244343	PAN010#2	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	244343	304760	PAN010#1	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	304760	306045	PAN010#2	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	306045	322732	PAN010#1	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	322732	323749	PAN010#2	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	323749	499999	PAN010#1	chr9q	1	1	+
old_bed_n1	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	499999	500000	PAN010#1	chr15q	1	1	+
old_bed_n1	PAN027#1#chr10.maternal:9348-509347_chr10_parm	chr10p	0	500000	PAN010#2	chr10p	1	1	+
old_bed_n1	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	0	404980	PAN010#2	chr10q	1	1	+
old_bed_n1	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	404980	406020	PAN010#1	chr10q	1	1	+
old_bed_n1	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	406020	465989	PAN010#2	chr10q	1	1	+
old_bed_n1	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	465989	467228	PAN010#1	chr10q	1	0.995971	+
old_bed_n1	PAN027#1#chr10.maternal:133869212-134369211_chr10_qarm	chr10q	467228	500000	PAN010#2	chr10q	1	1	+
old_bed_n1	PAN027#1#chr11.maternal:8352-508351_chr11_parm	chr11p	0	500000	PAN010#2	chr11p	1	1	+
old_bed_n1	PAN027#1#chr11.maternal:134292564-134792563_chr11_qarm	chr11q	0	500000	PAN010#2	chr11q	1	1	+
old_bed_n1	PAN027#1#chr12.maternal:6907-506906_chr12_parm	chr12p	0	499998	PAN010#1	chr12p	1	1	+
old_bed_n1	PAN027#1#chr12.maternal:134349107-134849106_chr12_qarm	chr12q	0	500000	PAN010#1	chr12q	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	0	39881	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	39881	45125	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	45125	46983	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	46983	66165	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	66165	68754	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	68754	69767	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	69767	70913	PAN010#1	chr21p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	70913	75064	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	75064	76077	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	76077	77223	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	77223	79926	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	79926	82399	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	82399	83545	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	83545	85116	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	85116	88723	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	88723	91440	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	91440	92576	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	92576	94044	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	94044	95057	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	95057	98877	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	98877	102414	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	102414	105322	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	105322	107786	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	107786	113219	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	113219	118211	PAN010#2	chr22p	1	0.991236	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	118211	125962	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	125962	128121	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	128121	129667	PAN010#1	chr13p	1	0.971939	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	129667	130803	PAN010#2	chr22p	1	0.992982	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	130803	142115	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	142115	143251	PAN010#1	chr21p	1	0.998241	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	143251	144698	PAN010#1	chr13p	1	0.986273	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	144698	146857	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	146857	161987	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	161987	163433	PAN010#2	chr22p	1	0.940309	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	163433	175737	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	175737	176753	PAN010#2	chr13p	1	0.691987	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	176753	179454	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	179454	184195	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	184195	185753	PAN010#2	chr22p	1	0.984713	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	185753	188336	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	188336	189349	PAN010#2	chr22p	1	0.998028	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	189349	190495	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	190495	192049	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	192049	194632	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	194632	195645	PAN010#2	chr22p	1	0.998028	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	195645	207214	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	207214	209373	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	209373	213506	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	213506	214519	PAN010#2	chr22p	1	0.998028	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	214519	218351	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	218351	221955	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	221955	223505	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	223505	224641	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	224641	226088	PAN010#1	chr13p	1	0.982192	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	226088	229801	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	229801	230937	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	230937	234541	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	234541	236091	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	236091	237227	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	237227	238674	PAN010#1	chr13p	1	0.980835	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	238674	248675	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	248675	252271	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	252271	253417	PAN010#2	chr22p	1	0.989583	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	253417	254975	PAN010#1	chr13p	1	0.997436	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	254975	256111	PAN010#1	chr15p	1	0.998241	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	256111	257558	PAN010#1	chr13p	1	0.986254	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	257558	259717	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	259717	261271	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	261271	262407	PAN010#2	chr22p	1	0.998241	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	262407	263854	PAN010#1	chr13p	1	0.986254	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	263854	264867	PAN010#1	chr21p	1	0.968902	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	264867	267563	PAN010#1	chr13p	1	0.996516	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	267563	268699	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	268699	270146	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	270146	271159	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	271159	272305	PAN010#1	chr21p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	272305	273855	PAN010#1	chr15p	1	0.994859	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	273855	274991	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	274991	276438	PAN010#1	chr13p	1	0.998619	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	276438	277451	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	277451	278597	PAN010#1	chr21p	1	0.977567	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	278597	280147	PAN010#1	chr15p	1	0.994859	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	280147	281283	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	281283	283745	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	283745	284891	PAN010#1	chr21p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	284891	286437	PAN010#1	chr13p	1	0.998707	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	286437	287573	PAN010#2	chr22p	1	0.987752	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	287573	292737	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	292737	293873	PAN010#2	chr22p	1	0.989492	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	293873	295320	PAN010#1	chr13p	1	0.974079	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	295320	296333	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	296333	297479	PAN010#1	chr15p	1	0.998256	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	297479	321225	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	321225	322371	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	322371	323921	PAN010#1	chr13p	1	0.998711	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	323921	326504	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	326504	327517	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	327517	331345	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	331345	332792	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	332792	337633	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	337633	340097	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	340097	341243	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	341243	343945	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	343945	346405	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	346405	347551	PAN010#1	chr13p	1	0.998256	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	347551	350245	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	350245	351692	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	351692	360149	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	360149	361707	PAN010#1	chr13p	1	0.977157	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	361707	364290	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	364290	365303	PAN010#1	chr13p	1	0.992134	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	365303	371603	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	371603	374303	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	374303	375439	PAN010#2	chr22p	1	0.989492	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	375439	379044	PAN010#1	chr13p	1	0.998618	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	379044	381738	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	381738	389484	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	389484	391643	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	391643	393197	PAN010#1	chr15p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	393197	394333	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	394333	395776	PAN010#1	chr13p	1	0.993103	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	395776	397935	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	397935	402076	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	402076	406924	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	406924	408373	PAN010#1	chr21p	1	0.986292	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	408373	410532	PAN010#2	chr22p	1	0.986135	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	410532	412086	PAN010#1	chr15p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	412086	413222	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	413222	414665	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	414665	416824	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	416824	418382	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	418382	427257	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	427257	428270	PAN010#1	chr13p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	428270	433549	PAN010#2	chr22p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	433549	434562	PAN010#1	chr15p	1	1	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	434562	435708	PAN010#1	chr13p	1	0.998256	+
old_bed_n1	PAN027#1#chr13.maternal:20449-520448_chr13_parm	chr13p	435708	437266	PAN010#2	chr22p	1	0.996156	+
