view	view_label	query_arm	n_segments	covered_bp_binned	interchromosomal_bp_binned	rank2plus_present_bp_binned	multi_target_bp_binned	old_n1_target_absent_bp_binned	target_arms	target_hap_arms	added_target_arms_vs_old
old_bed_n1	old BED first-best	chr13q	1	500000	0	0	0	0	chr13q	PAN010#2:chr13q	
old_bed_n1	old BED first-best	chr14p	9	500000	8000	0	8000	0	chr14p,chr21p	PAN010#2:chr14p,PAN010#2:chr21p	
old_bed_n1	old BED first-best	chr14q	1	500000	0	0	0	0	chr14q	PAN010#1:chr14q	
old_bed_n1	old BED first-best	chr15p	1	500000	0	0	0	0	chr15p	PAN010#2:chr15p	
old_bed_n1	old BED first-best	chr15q	2	500000	0	0	0	0	chr15q	PAN010#1:chr15q,PAN010#2:chr15q	
old_bed_n1	old BED first-best	chr16p	7	500000	7000	0	4000	0	chr16p,chr19p	PAN010#1:chr16p,PAN010#2:chr16p,PAN010#1:chr19p	
old_bed_n1	old BED first-best	chr16q	1	500000	0	0	0	0	chr16q	PAN010#2:chr16q	
old_bed_n1	old BED first-best	chr17p	5	500000	0	0	0	0	chr17p	PAN010#1:chr17p,PAN010#2:chr17p	
old_bed_n1	old BED first-best	chr17q	1	500000	0	0	0	0	chr17q	PAN010#1:chr17q	
old_bed_n1	old BED first-best	chr18p	3	500000	5000	0	2000	0	chr10p,chr18p	PAN010#2:chr10p,PAN010#1:chr18p	
old_bed_n1	old BED first-best	chr18q	1	500000	0	0	0	0	chr18q	PAN010#2:chr18q	
old_bed_n1	old BED first-best	chr19p	1	500000	0	0	0	0	chr19p	PAN010#2:chr19p	
old_bed_n1	old BED first-best	chr19q	3	500000	0	0	0	0	chr19q	PAN010#1:chr19q,PAN010#2:chr19q	
old_bed_n1	old BED first-best	chr20p	1	500000	0	0	0	0	chr20p	PAN010#2:chr20p	
old_bed_n1	old BED first-best	chr20q	1	500000	0	0	0	0	chr20q	PAN010#2:chr20q	
old_bed_n1	old BED first-best	chr21p	72	500000	102000	0	70000	0	chr13p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	
old_bed_n1	old BED first-best	chr21q	1	500000	0	0	0	0	chr21q	PAN010#2:chr21q	
old_bed_n1	old BED first-best	chr22p	56	500000	98000	0	54000	0	chr13p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	
old_bed_n1	old BED first-best	chr22q	1	500000	0	0	0	0	chr22q	PAN010#2:chr22q	
old_bed_n1	old BED first-best	chrXp	3	500000	0	0	0	0	chrXp	PAN010#1:chrXp,PAN010#2:chrXp	
old_bed_n1	old BED first-best	chrXq	1	500000	0	0	0	0	chrXq	PAN010#2:chrXq	
native_bedpe_n1	native BEDPE n1	chr1p	1	500000	0	0	0	0	chr1p	PAN010#1:chr1p	
native_bedpe_n1	native BEDPE n1	chr1q	1	500000	0	0	0	0	chr1q	PAN010#2:chr1q	
native_bedpe_n1	native BEDPE n1	chr2p	3	500000	0	0	0	0	chr2p	PAN010#1:chr2p,PAN010#2:chr2p	
native_bedpe_n1	native BEDPE n1	chr2q	2	500000	0	0	0	0	chr2q	PAN010#1:chr2q,PAN010#2:chr2q	
native_bedpe_n1	native BEDPE n1	chr3p	1	500000	0	0	0	0	chr3p	PAN010#1:chr3p	
native_bedpe_n1	native BEDPE n1	chr3q	13	500000	6000	0	4000	0	chr3q,chr9q	PAN010#1:chr3q,PAN010#2:chr3q,PAN010#2:chr9q	
native_bedpe_n1	native BEDPE n1	chr4p	1	500000	0	0	0	0	chr4p	PAN010#2:chr4p	
native_bedpe_n1	native BEDPE n1	chr4q	3	500000	0	0	0	0	chr4q	PAN010#1:chr4q,PAN010#2:chr4q	
native_bedpe_n1	native BEDPE n1	chr5p	1	500000	0	0	0	0	chr5p	PAN010#2:chr5p	
native_bedpe_n1	native BEDPE n1	chr5q	5	500000	1000	0	1000	0	chr5q,chr15q	PAN010#1:chr5q,PAN010#2:chr5q,PAN010#1:chr15q	chr15q
native_bedpe_n1	native BEDPE n1	chr6p	1	500000	0	0	0	0	chr6p	PAN010#2:chr6p	
native_bedpe_n1	native BEDPE n1	chr6q	9	500000	0	0	0	0	chr6q	PAN010#1:chr6q,PAN010#2:chr6q	
native_bedpe_n1	native BEDPE n1	chr7p	3	500000	0	0	0	0	chr7p	PAN010#1:chr7p,PAN010#2:chr7p	
native_bedpe_n1	native BEDPE n1	chr7q	1	500000	0	0	0	0	chr7q	PAN010#1:chr7q	
native_bedpe_n1	native BEDPE n1	chr8p	1	500000	0	0	0	0	chr8p	PAN010#1:chr8p	
native_bedpe_n1	native BEDPE n1	chr8q	1	500000	0	0	0	0	chr8q	PAN010#2:chr8q	
native_bedpe_n1	native BEDPE n1	chr9p	3	500000	0	0	0	0	chr9p	PAN010#1:chr9p,PAN010#2:chr9p	
native_bedpe_n1	native BEDPE n1	chr9q	6	500000	1000	0	1000	0	chr9q,chr15q	PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr15q	
native_bedpe_n1	native BEDPE n1	chr10p	2	500000	0	0	0	0	chr10p	PAN010#2:chr10p	
native_bedpe_n1	native BEDPE n1	chr10q	5	500000	0	0	0	0	chr10q	PAN010#1:chr10q,PAN010#2:chr10q	
native_bedpe_n1	native BEDPE n1	chr11p	1	500000	0	0	0	0	chr11p	PAN010#2:chr11p	
native_bedpe_n1	native BEDPE n1	chr11q	1	500000	0	0	0	0	chr11q	PAN010#2:chr11q	
native_bedpe_n1	native BEDPE n1	chr12p	1	500000	0	0	0	0	chr12p	PAN010#1:chr12p	
native_bedpe_n1	native BEDPE n1	chr12q	1	500000	0	0	0	0	chr12q	PAN010#1:chr12q	
native_bedpe_n1	native BEDPE n1	chr13p	163	500000	300000	0	160000	3000	chr13p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr13p,chr21p,chr22p
native_bedpe_n1	native BEDPE n1	chr13q	1	500000	0	0	0	0	chr13q	PAN010#2:chr13q	
native_bedpe_n1	native BEDPE n1	chr14p	9	500000	8000	0	8000	0	chr14p,chr21p	PAN010#2:chr14p,PAN010#2:chr21p	
native_bedpe_n1	native BEDPE n1	chr14q	1	500000	0	0	0	0	chr14q	PAN010#1:chr14q	
native_bedpe_n1	native BEDPE n1	chr15p	1	500000	0	0	0	0	chr15p	PAN010#2:chr15p	
native_bedpe_n1	native BEDPE n1	chr15q	1	500000	0	0	0	0	chr15q	PAN010#2:chr15q	
native_bedpe_n1	native BEDPE n1	chr16p	7	500000	7000	0	4000	0	chr16p,chr19p	PAN010#1:chr16p,PAN010#2:chr16p,PAN010#1:chr19p	
native_bedpe_n1	native BEDPE n1	chr16q	1	500000	0	0	0	0	chr16q	PAN010#2:chr16q	
native_bedpe_n1	native BEDPE n1	chr17p	5	500000	0	0	0	0	chr17p	PAN010#1:chr17p,PAN010#2:chr17p	
native_bedpe_n1	native BEDPE n1	chr17q	1	500000	0	0	0	0	chr17q	PAN010#1:chr17q	
native_bedpe_n1	native BEDPE n1	chr18p	1	500000	0	0	0	3000	chr18p	PAN010#1:chr18p	chr18p
native_bedpe_n1	native BEDPE n1	chr18q	1	500000	0	0	0	0	chr18q	PAN010#2:chr18q	
native_bedpe_n1	native BEDPE n1	chr19p	1	500000	0	0	0	0	chr19p	PAN010#2:chr19p	
native_bedpe_n1	native BEDPE n1	chr19q	3	500000	0	0	0	0	chr19q	PAN010#1:chr19q,PAN010#2:chr19q	
native_bedpe_n1	native BEDPE n1	chr20p	1	500000	0	0	0	0	chr20p	PAN010#2:chr20p	
native_bedpe_n1	native BEDPE n1	chr20q	1	500000	0	0	0	0	chr20q	PAN010#2:chr20q	
native_bedpe_n1	native BEDPE n1	chr21p	65	500000	84000	0	63000	10000	chr13p,chr21p,chr22p	PAN010#1:chr13p,PAN010#1:chr21p,PAN010#2:chr22p	chr21p
native_bedpe_n1	native BEDPE n1	chr21q	1	500000	0	0	0	0	chr21q	PAN010#2:chr21q	
native_bedpe_n1	native BEDPE n1	chr22p	56	500000	97000	0	54000	0	chr13p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#1:chr15p,PAN010#1:chr21p,PAN010#2:chr22p	chr22p
native_bedpe_n1	native BEDPE n1	chr22q	1	484000	0	0	0	0	chr22q	PAN010#2:chr22q	
native_bedpe_n1	native BEDPE n1	chrXp	2	497000	0	0	0	0	chrXp	PAN010#2:chrXp	
native_bedpe_n1	native BEDPE n1	chrXq	1	500000	0	0	0	0	chrXq	PAN010#2:chrXq	
native_bedpe_n4	native BEDPE n4	chr1p	78	500000	108000	440000	108000	0	chr1p,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr16p,chr19p	PAN010#1:chr1p,PAN010#2:chr1p,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr6q,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr8p,PAN010#2:chr8p,PAN010#1:chr9q,PAN010#1:chr11p,PAN010#2:chr11p,PAN010#1:chr16p,PAN010#1:chr19p,PAN010#2:chr19p	chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr16p,chr19p
native_bedpe_n4	native BEDPE n4	chr1q	46	500000	8000	412000	8000	0	chr1q,chr4q,chr21q,chr22q	PAN010#1:chr1q,PAN010#2:chr1q,PAN010#2:chr4q,PAN010#1:chr21q,PAN010#2:chr21q,PAN010#2:chr22q	chr4q,chr21q,chr22q
native_bedpe_n4	native BEDPE n4	chr2p	15	500000	0	498000	0	0	chr2p	PAN010#1:chr2p,PAN010#2:chr2p	
native_bedpe_n4	native BEDPE n4	chr2q	28	500000	26000	495000	26000	0	chr2q,chr6p,chr6q,chr10q,chr16q	PAN010#1:chr2q,PAN010#2:chr2q,PAN010#2:chr6p,PAN010#1:chr6q,PAN010#1:chr10q,PAN010#1:chr16q,PAN010#2:chr16q	chr6p,chr6q,chr10q,chr16q
native_bedpe_n4	native BEDPE n4	chr3p	3	500000	0	494000	0	0	chr3p	PAN010#1:chr3p,PAN010#2:chr3p	
native_bedpe_n4	native BEDPE n4	chr3q	88	500000	214000	487000	214000	0	chr3q,chr5q,chr6q,chr7p,chr9q,chr15q,chr16p,chr16q,chr19p	PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#2:chr6q,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#2:chr15q,PAN010#1:chr16p,PAN010#1:chr16q,PAN010#2:chr16q,PAN010#1:chr19p	chr3q,chr5q,chr6q,chr7p,chr9q,chr15q,chr16p,chr16q,chr19p
native_bedpe_n4	native BEDPE n4	chr4p	11	500000	22000	495000	22000	0	chr4p,chr14p,chr15p,chr21p,chr22p	PAN010#1:chr4p,PAN010#2:chr4p,PAN010#1:chr14p,PAN010#2:chr14p,PAN010#1:chr15p,PAN010#2:chr15p,PAN010#2:chr21p,PAN010#2:chr22p	chr14p,chr15p,chr21p,chr22p
native_bedpe_n4	native BEDPE n4	chr4q	51	500000	62000	458000	62000	0	chr4q,chr10q,chr21q	PAN010#1:chr4q,PAN010#2:chr4q,PAN010#1:chr10q,PAN010#2:chr10q,PAN010#2:chr21q	chr10q,chr21q
native_bedpe_n4	native BEDPE n4	chr5p	11	500000	0	469000	0	0	chr5p	PAN010#1:chr5p,PAN010#2:chr5p	
native_bedpe_n4	native BEDPE n4	chr5q	90	500000	175000	495000	175000	0	chr3q,chr5q,chr6q,chr9q,chr15q,chr16q,chr17q	PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#1:chr6q,PAN010#2:chr6q,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr15q,PAN010#2:chr15q,PAN010#1:chr16q,PAN010#2:chr16q,PAN010#1:chr17q,PAN010#2:chr17q	chr3q,chr6q,chr9q,chr15q,chr16q,chr17q
native_bedpe_n4	native BEDPE n4	chr6p	46	500000	132000	463000	132000	0	chr1p,chr2q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p	PAN010#1:chr1p,PAN010#2:chr1p,PAN010#2:chr2q,PAN010#2:chr5q,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr6q,PAN010#2:chr6q,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr8p,PAN010#2:chr8p,PAN010#1:chr9q,PAN010#1:chr11p,PAN010#2:chr11p	chr1p,chr2q,chr5q,chr6q,chr7p,chr8p,chr9q,chr11p
native_bedpe_n4	native BEDPE n4	chr6q	79	500000	106000	484000	107000	0	chr2q,chr3q,chr5q,chr6p,chr6q,chr9q,chr15q,chr16q,chr17q,chr19q	PAN010#1:chr2q,PAN010#2:chr2q,PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr6q,PAN010#2:chr6q,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr15q,PAN010#2:chr15q,PAN010#1:chr16q,PAN010#1:chr17q,PAN010#2:chr17q,PAN010#1:chr19q	chr2q,chr3q,chr5q,chr6p,chr9q,chr15q,chr16q,chr17q,chr19q
native_bedpe_n4	native BEDPE n4	chr7p	75	500000	147000	498000	147000	0	chr1p,chr3q,chr6p,chr7p,chr9p,chr9q,chr11p,chr16p,chr16q,chr19p,chr20p	PAN010#1:chr1p,PAN010#2:chr1p,PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr9p,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr11p,PAN010#2:chr11p,PAN010#1:chr16p,PAN010#2:chr16q,PAN010#1:chr19p,PAN010#2:chr19p,PAN010#1:chr20p,PAN010#2:chr20p	chr1p,chr3q,chr6p,chr9p,chr9q,chr11p,chr16p,chr16q,chr19p,chr20p
native_bedpe_n4	native BEDPE n4	chr7q	9	500000	0	496000	0	0	chr7q	PAN010#1:chr7q,PAN010#2:chr7q	
native_bedpe_n4	native BEDPE n4	chr8p	42	500000	94000	453000	94000	0	chr1p,chr5q,chr6p,chr8p,chr11p,chr16p,chr19p	PAN010#1:chr1p,PAN010#2:chr1p,PAN010#2:chr5q,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr8p,PAN010#2:chr8p,PAN010#2:chr11p,PAN010#1:chr16p,PAN010#1:chr19p	chr1p,chr5q,chr6p,chr11p,chr16p,chr19p
native_bedpe_n4	native BEDPE n4	chr8q	3	500000	0	487000	0	0	chr8q	PAN010#1:chr8q,PAN010#2:chr8q	
native_bedpe_n4	native BEDPE n4	chr9p	11	500000	9000	433000	9000	0	chr9p,chr16p,chr19p,chr20p	PAN010#1:chr9p,PAN010#2:chr9p,PAN010#2:chr16p,PAN010#1:chr19p,PAN010#2:chr20p	chr16p,chr19p,chr20p
native_bedpe_n4	native BEDPE n4	chr9q	108	500000	223000	471000	223000	0	chr1p,chr3q,chr5q,chr6p,chr6q,chr9q,chr15q,chr16p,chr16q,chr17q	PAN010#1:chr1p,PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr6q,PAN010#2:chr6q,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr15q,PAN010#2:chr15q,PAN010#1:chr16p,PAN010#1:chr16q,PAN010#2:chr16q,PAN010#1:chr17q,PAN010#2:chr17q	chr1p,chr3q,chr5q,chr6p,chr6q,chr15q,chr16p,chr16q,chr17q
native_bedpe_n4	native BEDPE n4	chr10p	10	500000	40000	499000	40000	0	chr10p,chr16p,chr18p	PAN010#1:chr10p,PAN010#2:chr10p,PAN010#1:chr16p,PAN010#1:chr18p,PAN010#2:chr18p	chr16p,chr18p
native_bedpe_n4	native BEDPE n4	chr10q	75	500000	24000	442000	24000	0	chr4q,chr10q,chr19q,chr21q	PAN010#1:chr4q,PAN010#2:chr4q,PAN010#1:chr10q,PAN010#2:chr10q,PAN010#1:chr19q,PAN010#2:chr21q	chr4q,chr19q,chr21q
native_bedpe_n4	native BEDPE n4	chr11p	86	500000	117000	348000	117000	0	chr1p,chr6p,chr7p,chr8p,chr9q,chr11p,chr16p,chr17p,chr17q,chr19p,chr20p	PAN010#1:chr1p,PAN010#2:chr1p,PAN010#1:chr6p,PAN010#2:chr6p,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr8p,PAN010#2:chr8p,PAN010#2:chr9q,PAN010#1:chr11p,PAN010#2:chr11p,PAN010#1:chr16p,PAN010#1:chr17p,PAN010#2:chr17p,PAN010#1:chr17q,PAN010#1:chr19p,PAN010#2:chr19p,PAN010#1:chr20p	chr1p,chr6p,chr7p,chr8p,chr9q,chr16p,chr17p,chr17q,chr19p,chr20p
native_bedpe_n4	native BEDPE n4	chr11q	8	500000	0	500000	0	0	chr11q	PAN010#1:chr11q,PAN010#2:chr11q	
native_bedpe_n4	native BEDPE n4	chr12p	4	500000	0	496000	0	0	chr12p	PAN010#1:chr12p,PAN010#2:chr12p	
native_bedpe_n4	native BEDPE n4	chr12q	4	500000	0	494000	0	0	chr12q	PAN010#1:chr12q,PAN010#2:chr12q	
native_bedpe_n4	native BEDPE n4	chr13p	755	500000	465000	500000	465000	0	chr13p,chr14p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#2:chr13p,PAN010#2:chr14p,PAN010#1:chr15p,PAN010#2:chr15p,PAN010#1:chr21p,PAN010#2:chr21p,PAN010#1:chr22p,PAN010#2:chr22p	chr13p,chr14p,chr15p,chr21p,chr22p
native_bedpe_n4	native BEDPE n4	chr13q	7	500000	0	498000	0	0	chr13q	PAN010#1:chr13q,PAN010#2:chr13q	
native_bedpe_n4	native BEDPE n4	chr14p	213	500000	335000	493000	335000	0	chr13p,chr14p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#2:chr13p,PAN010#1:chr14p,PAN010#2:chr14p,PAN010#1:chr15p,PAN010#2:chr15p,PAN010#1:chr21p,PAN010#2:chr21p,PAN010#1:chr22p,PAN010#2:chr22p	chr13p,chr15p,chr21p,chr22p
native_bedpe_n4	native BEDPE n4	chr14q	16	500000	0	478000	0	0	chr14q	PAN010#1:chr14q,PAN010#2:chr14q	
native_bedpe_n4	native BEDPE n4	chr15p	207	500000	310000	430000	310000	0	chr13p,chr14p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#2:chr13p,PAN010#1:chr14p,PAN010#2:chr14p,PAN010#1:chr15p,PAN010#2:chr15p,PAN010#1:chr21p,PAN010#2:chr21p,PAN010#1:chr22p,PAN010#2:chr22p	chr13p,chr14p,chr21p,chr22p
native_bedpe_n4	native BEDPE n4	chr15q	29	500000	60000	466000	60000	0	chr1p,chr3q,chr6q,chr9q,chr15q,chr16q,chr19p,chr20q	PAN010#1:chr1p,PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr6q,PAN010#2:chr6q,PAN010#2:chr9q,PAN010#1:chr15q,PAN010#2:chr15q,PAN010#2:chr16q,PAN010#2:chr19p,PAN010#1:chr20q,PAN010#2:chr20q	chr1p,chr3q,chr6q,chr9q,chr16q,chr19p,chr20q
native_bedpe_n4	native BEDPE n4	chr16p	93	500000	242000	454000	242000	0	chr1p,chr3q,chr6p,chr7p,chr8p,chr9q,chr10p,chr11p,chr16p,chr16q,chr18p,chr19p,chr20p	PAN010#1:chr1p,PAN010#1:chr3q,PAN010#2:chr3q,PAN010#2:chr6p,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr8p,PAN010#2:chr8p,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr10p,PAN010#2:chr10p,PAN010#1:chr11p,PAN010#2:chr11p,PAN010#1:chr16p,PAN010#2:chr16p,PAN010#1:chr16q,PAN010#2:chr16q,PAN010#1:chr18p,PAN010#2:chr18p;...	chr1p,chr3q,chr6p,chr7p,chr8p,chr9q,chr10p,chr11p,chr16p,chr16q,chr18p,chr19p,chr20p
native_bedpe_n4	native BEDPE n4	chr16q	63	500000	142000	452000	142000	0	chr2q,chr3q,chr5q,chr7p,chr9p,chr9q,chr11p,chr15q,chr16p,chr16q,chr18p,chr19p,chr20p	PAN010#1:chr2q,PAN010#2:chr2q,PAN010#1:chr3q,PAN010#2:chr3q,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#2:chr7p,PAN010#1:chr9p,PAN010#1:chr9q,PAN010#2:chr9q,PAN010#1:chr11p,PAN010#2:chr15q,PAN010#1:chr16p,PAN010#1:chr16q,PAN010#2:chr16q,PAN010#1:chr18p,PAN010#2:chr18p,PAN010#2:chr19p,PAN010#1:chr20p	chr2q,chr3q,chr5q,chr7p,chr9p,chr9q,chr11p,chr15q,chr16p,chr18p,chr19p,chr20p
native_bedpe_n4	native BEDPE n4	chr17p	78	500000	25000	473000	25000	0	chr11p,chr16p,chr16q,chr17p	PAN010#1:chr11p,PAN010#2:chr11p,PAN010#1:chr16p,PAN010#2:chr16q,PAN010#1:chr17p,PAN010#2:chr17p	chr11p,chr16p,chr16q
native_bedpe_n4	native BEDPE n4	chr17q	38	500000	38000	488000	38000	0	chr1q,chr4q,chr5q,chr6p,chr6q,chr9q,chr11p,chr15q,chr17q,chr19q,chr21q,chr22q	PAN010#1:chr1q,PAN010#2:chr4q,PAN010#1:chr5q,PAN010#2:chr5q,PAN010#2:chr6p,PAN010#2:chr6q,PAN010#1:chr9q,PAN010#2:chr11p,PAN010#1:chr15q,PAN010#1:chr17q,PAN010#2:chr17q,PAN010#2:chr19q,PAN010#1:chr21q,PAN010#2:chr21q,PAN010#1:chr22q,PAN010#2:chr22q	chr1q,chr4q,chr5q,chr6p,chr6q,chr9q,chr11p,chr15q,chr19q,chr21q,chr22q
native_bedpe_n4	native BEDPE n4	chr18p	8	500000	49000	458000	49000	0	chr10p,chr16p,chr16q,chr18p	PAN010#1:chr10p,PAN010#2:chr10p,PAN010#1:chr16p,PAN010#1:chr16q,PAN010#1:chr18p,PAN010#2:chr18p	chr10p,chr16p,chr16q,chr18p
native_bedpe_n4	native BEDPE n4	chr18q	4	500000	0	498000	0	0	chr18q	PAN010#1:chr18q,PAN010#2:chr18q	
native_bedpe_n4	native BEDPE n4	chr19p	58	500000	129000	460000	129000	0	chr1p,chr7p,chr9p,chr11p,chr15q,chr16p,chr16q,chr19p,chr20p	PAN010#1:chr1p,PAN010#2:chr1p,PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr9p,PAN010#1:chr11p,PAN010#2:chr11p,PAN010#2:chr15q,PAN010#1:chr16p,PAN010#2:chr16q,PAN010#1:chr19p,PAN010#2:chr19p,PAN010#1:chr20p,PAN010#2:chr20p	chr1p,chr7p,chr9p,chr11p,chr15q,chr16p,chr16q,chr20p
native_bedpe_n4	native BEDPE n4	chr19q	18	500000	15000	496000	15000	0	chr2q,chr4q,chr6q,chr10q,chr16q,chr19q,chr21q	PAN010#2:chr2q,PAN010#1:chr4q,PAN010#1:chr6q,PAN010#1:chr10q,PAN010#2:chr10q,PAN010#1:chr16q,PAN010#1:chr19q,PAN010#2:chr19q,PAN010#1:chr21q,PAN010#2:chr21q	chr2q,chr4q,chr6q,chr10q,chr16q,chr21q
native_bedpe_n4	native BEDPE n4	chr20p	37	500000	78000	500000	78000	0	chr7p,chr9p,chr11p,chr20p	PAN010#1:chr7p,PAN010#2:chr7p,PAN010#1:chr9p,PAN010#2:chr9p,PAN010#1:chr11p,PAN010#1:chr20p,PAN010#2:chr20p	chr7p,chr9p,chr11p
native_bedpe_n4	native BEDPE n4	chr20q	6	500000	5000	472000	5000	0	chr9q,chr16q,chr20q	PAN010#2:chr9q,PAN010#2:chr16q,PAN010#1:chr20q,PAN010#2:chr20q	chr9q,chr16q
native_bedpe_n4	native BEDPE n4	chr21p	427	500000	499000	499000	498000	0	chr13p,chr14p,chr15p,chr21p,chr22p	PAN010#1:chr13p,PAN010#2:chr13p,PAN010#1:chr14p,PAN010#2:chr14p,PAN010#1:chr15p,PAN010#2:chr15p,PAN010#1:chr21p,PAN010#2:chr21p,PAN010#1:chr22p,PAN010#2:chr22p	chr13p,chr14p,chr15p,chr21p,chr22p
