event_id	event_order	panel_label	pair	transmission	query_name	query_arm	query_sample	query_haplotype	query_haplotype_label	query_source_window_native_0based_half_open	native_query_chrom	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	local_query_start_0based	local_query_end_0based_exclusive	segment_length_bp	target_name	target_arm	target_chrom	target_sample	target_haplotype	target_haplotype_label	target_color_key	target_source_window_native_0based_half_open	target_native_interval_0based_half_open_if_recovered	target_native_start_0based_if_recovered	target_native_end_0based_exclusive_if_recovered	strand	identity	jaccard	nb	interchromosomal	event_role	event_role_order	side_fragment_caveat	query_community	target_community	community_status	patch_pattern_annotation	overlaps_phr	has_phr	panel_geometry_source	geometry_source	target_coordinate_source	annotation_source
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136151769	136177266	chr9:136151769-136177266	446944	472441	25497	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	chr3q	chr3	PAN011	PAN011#2	haplotype2	chr3q_h2_or_paternal	chr3:205075647-205575647	205522661-205548162	205522661	205548162	+	99.9349	0.9987	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136177266	136181091	chr9:136177266-136181091	472441	476266	3825	PAN011#1#chr3.haplotype1:202049714-202549713_chr3_qarm	chr3q	chr3	PAN011	PAN011#1	haplotype1	chr3q_h1_or_maternal	chr3:202049714-202549714	202521770-202525337	202521770	202525337	+	96.4193	0.932044	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136181091	136196011	chr9:136181091-136196011	476266	491186	14920	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	chr3q	chr3	PAN011	PAN011#2	haplotype2	chr3q_h2_or_paternal	chr3:205075647-205575647	205551729-205566900	205551729	205566900	+	98.82	0.97681	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136196011	136203284	chr9:136196011-136203284	491186	498459	7273	PAN011#1#chr15.haplotype1:95856803-96356802_chr15_qarm	chr15q	chr15	PAN011	PAN011#1	haplotype1	side_caveat_chr15q	chr15:95856803-96356803	96348174-96355447	96348174	96355447	+	99.8762	0.997528	1	1	side fragment	4	yes	C3	C8	cross_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136203284	136204332	chr9:136203284-136204332	498459	499507	1048	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	chr3q	chr3	PAN011	PAN011#2	haplotype2	chr3q_h2_or_paternal	chr3:205075647-205575647	205574173-205575218	205574173	205575218	+	98.9916	0.980132	1	1	primary donor	3	no	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	2	PAN027 chr9q -> chr3q	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	chr9	136204332	136204825	chr9:136204332-136204825	499507	500000	493	PAN011#1#chr20.haplotype1:66002904-66502903_chr20_qarm	chr20q	chr20	PAN011	PAN011#1	haplotype1	side_caveat_chr20q	chr20:66002904-66502904	66502418-66502904	66502418	66502904	+	92.0298	0.857685	1	1	low-confidence tail	5	yes	C3	C5	cross_community	acros_like	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134380985	134385642	chr9:134380985-134385642	0	4657	4657	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	135704825-135708964	135704825	135708964	+	93.7854	0.886339	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	False	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134385642	134430623	chr9:134385642-134430623	4657	49638	44981	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	chr9	PAN027	PAN027#1	maternal	chr9q_h1_or_maternal	chr9:128564684-129064684	128564684-128609674	128564684	128609674	+	99.97	0.9994	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	False	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134430623	134578440	chr9:134430623-134578440	49638	197455	147817	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	135753725-135901520	135753725	135901520	+	99.9898	0.999796	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134578440	134591519	chr9:134578440-134591519	197455	210534	13079	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	chr9	PAN027	PAN027#1	maternal	chr9q_h1_or_maternal	chr9:128564684-129064684	128758379-128770875	128758379	128770875	+	99.7342	0.994704	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134591519	134599700	chr9:134591519-134599700	210534	218715	8181	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	135914964-135923134	135914964	135923134	+	99.5894	0.991838	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134599700	134628202	chr9:134599700-134628202	218715	247217	28502	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	chr9	PAN027	PAN027#1	maternal	chr9q_h1_or_maternal	chr9:128564684-129064684	128779100-128807623	128779100	128807623	+	99.7245	0.994514	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134628202	134629606	chr9:134628202-134629606	247217	248621	1404	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	chr9	PAN027	PAN027#2	paternal	chr9q_h2_or_paternal	chr9:135704825-136204825	135951658-135953062	135951658	135953062	+	99.1416	0.983051	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN028_chr9q_chr3q_PHR_candidate	3	PAN028 chr9q -> chr3q	PAN028_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	chr9q	PAN028	1	haplotype1	chr9:134380985-134880985	chr9	134629606	134655474	chr9:134629606-134655474	248621	274489	25868	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	chr9q	chr9	PAN027	PAN027#1	maternal	chr9q_h1_or_maternal	chr9:128564684-129064684	128809027-128834945	128809027	128834945	+	99.7409	0.994838	1	0	same-chromosome context	1	no	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
