label	chrom	arm	chrom_arm	bed_start0	bed_end0	phr_inclusive_bp	chrom_size_bp	browser_start1	browser_end1	browser_window_bp	terminal_gap_bp	p_terminal_gap_bp	q_terminal_gap_bp	bed_field4	image_path	image_width_px	image_height_px	image_stdev_gray	html_path	html_track_confirmed	ucsc_position_display	ucsc_url
chr15q	chr15	q	chr15_q	99625359	99750358	125000	99753195	99565696	99753195	187500	2837	99625359	2837	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr15q_chr15_99565696_99753195.png	1789	341	0.219671	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr15q_chr15_99565696_99753195.html	true	chr15:99,565,696-99,753,195	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr15%3A99565696-99753195&pix=1800
chr16p	chr16	p	chr16_p	2168	27168	25001	96330374	1	37502	37502	2168	2168	96303206	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr16p_chr16_1_37502.png	1789	389	0.228294	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr16p_chr16_1_37502.html	true	chr16:1-37,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr16%3A1-37502&pix=1800
chr16q	chr16	q	chr16_q	96172817	96327816	155000	96330374	96097875	96330374	232500	2558	96172817	2558	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr16q_chr16_96097875_96330374.png	1789	485	0.204944	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr16q_chr16_96097875_96330374.html	true	chr16:96,097,875-96,330,374	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr16%3A96097875-96330374&pix=1800
chr17p	chr17	p	chr17_p	1679	16679	15001	84276897	1	22502	22502	1679	1679	84260218	chr3,chr7,chr9,chr11,chr16,chr17	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr17p_chr17_1_22502.png	1789	101	0.330124	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr17p_chr17_1_22502.html	true	chr17:1-22,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr17%3A1-22502&pix=1800
chr17q	chr17	q	chr17_q	84229104	84274103	45000	84276897	84209398	84276897	67500	2794	84229104	2794	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr17q_chr17_84209398_84276897.png	1789	229	0.264386	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr17q_chr17_84209398_84276897.html	true	chr17:84,209,398-84,276,897	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr17%3A84209398-84276897&pix=1800
chr18p	chr18	p	chr18_p	2017	267017	265001	80542538	1	397502	397502	2017	2017	80275521	chr3,chr4,chr9,chr10,chr16,chr18	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr18p_chr18_1_397502.png	1789	405	0.204368	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr18p_chr18_1_397502.html	true	chr18:1-397,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr18%3A1-397502&pix=1800
chr19p	chr19	p	chr19_p	1962	211962	210001	61707364	1	315002	315002	1962	1962	61495402	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr19p_chr19_1_315002.png	1789	741	0.168903	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr19p_chr19_1_315002.html	true	chr19:1-315,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr19%3A1-315002&pix=1800
chr19q	chr19	q	chr19_q	61684426	61704425	20000	61707364	61677365	61707364	30000	2939	61684426	2939	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr19q_chr19_61677365_61707364.png	1789	229	0.258336	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr19q_chr19_61677365_61707364.html	true	chr19:61,677,365-61,707,364	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr19%3A61677365-61707364&pix=1800
chr2q	chr2	q	chr2_q	242574127	242694126	120000	242696752	242516753	242696752	180000	2626	242574127	2626	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr2q_chr2_242516753_242696752.png	1789	277	0.240251	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr2q_chr2_242516753_242696752.html	true	chr2:242,516,753-242,696,752	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr2%3A242516753-242696752&pix=1800
chr20p	chr20	p	chr20_p	2698	102698	100001	66210255	1	150002	150002	2698	2698	66107557	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr20p_chr20_1_150002.png	1789	357	0.216187	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr20p_chr20_1_150002.html	true	chr20:1-150,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr20%3A1-150002&pix=1800
chr20q	chr20	q	chr20_q	66102369	66207368	105000	66210255	66052756	66210255	157500	2887	66102369	2887	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr20q_chr20_66052756_66210255.png	1789	261	0.253995	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr20q_chr20_66052756_66210255.html	true	chr20:66,052,756-66,210,255	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr20%3A66052756-66210255&pix=1800
chr21p	chr21	p	chr21_p	2505	487505	485001	45090682	1	727502	727502	2505	2505	44603177	chr3,chr4,chr10,chr13,chr14,chr15,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr21p_chr21_1_727502.png	1789	197	0.268882	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr21p_chr21_1_727502.html	true	chr21:1-727,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr21%3A1-727502&pix=1800
chr21q	chr21	q	chr21_q	45066333	45086332	20000	45090682	45060683	45090682	30000	4350	45066333	4350	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr21q_chr21_45060683_45090682.png	1789	149	0.294162	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr21q_chr21_45060683_45090682.html	true	chr21:45,060,683-45,090,682	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr21%3A45060683-45090682&pix=1800
chr22p	chr22	p	chr22_p	4138	504138	500001	51324926	1	750002	750002	4138	4138	50820788	chr4,chr10,chr13,chr14,chr15,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr22p_chr22_1_750002.png	1789	181	0.275976	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr22p_chr22_1_750002.html	true	chr22:1-750,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr22%3A1-750002&pix=1800
chr22q	chr22	q	chr22_q	51297197	51322196	25000	51324926	51287427	51324926	37500	2730	51297197	2730	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr22q_chr22_51287427_51324926.png	1789	437	0.205186	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr22q_chr22_51287427_51324926.html	true	chr22:51,287,427-51,324,926	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr22%3A51287427-51324926&pix=1800
chr3q	chr3	q	chr3_q	200846363	201101362	255000	201105948	200723449	201105948	382500	4586	200846363	4586	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr3q_chr3_200723449_201105948.png	1789	277	0.239215	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr3q_chr3_200723449_201105948.html	true	chr3:200,723,449-201,105,948	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr3%3A200723449-201105948&pix=1800
chr4p	chr4	p	chr4_p	3087	68087	65001	193574945	1	97502	97502	3087	3087	193506858	chr4,chr10,chr13,chr14,chr15,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr4p_chr4_1_97502.png	1789	213	0.258593	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr4p_chr4_1_97502.html	true	chr4:1-97,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr4%3A1-97502&pix=1800
chr4q	chr4	q	chr4_q	193392741	193572740	180000	193574945	193304946	193574945	270000	2205	193392741	2205	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr4q_chr4_193304946_193574945.png	1789	277	0.270068	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr4q_chr4_193304946_193574945.html	true	chr4:193,304,946-193,574,945	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr4%3A193304946-193574945&pix=1800
chr5q	chr5	q	chr5_q	181848925	182043924	195000	182045439	181752940	182045439	292500	1515	181848925	1515	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr5q_chr5_181752940_182045439.png	1789	917	0.148848	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr5q_chr5_181752940_182045439.html	true	chr5:181,752,940-182,045,439	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr5%3A181752940-182045439&pix=1800
chr6q	chr6	q	chr6_q	171978883	172123882	145000	172126628	171909129	172126628	217500	2746	171978883	2746	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr6q_chr6_171909129_172126628.png	1789	437	0.191200	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr6q_chr6_171909129_172126628.html	true	chr6:171,909,129-172,126,628	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr6%3A171909129-172126628&pix=1800
chr7p	chr7	p	chr7_p	3375	178375	175001	160567428	1	262502	262502	3375	3375	160389053	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr7p_chr7_1_262502.png	1789	437	0.202960	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr7p_chr7_1_262502.html	true	chr7:1-262,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr7%3A1-262502&pix=1800
chr7q	chr7	q	chr7_q	160560602	160565601	5000	160567428	160559929	160567428	7500	1827	160560602	1827	chr7,chr12	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr7q_chr7_160559929_160567428.png	1789	101	0.347671	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr7q_chr7_160559929_160567428.html	true	chr7:160,559,929-160,567,428	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr7%3A160559929-160567428&pix=1800
chr8p	chr8	p	chr8_p	1881	11881	10001	146259331	1	15002	15002	1881	1881	146247450	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr13,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr8p_chr8_1_15002.png	1789	197	0.294169	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr8p_chr8_1_15002.html	true	chr8:1-15,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr8%3A1-15002&pix=1800
chr9p	chr9	p	chr9_p	3488	43488	40001	150617247	1	60002	60002	3488	3488	150573759	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr9p_chr9_1_60002.png	1789	245	0.251417	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr9p_chr9_1_60002.html	true	chr9:1-60,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr9%3A1-60002&pix=1800
chr9q	chr9	q	chr9_q	150390025	150615024	225000	150617247	150279748	150617247	337500	2223	150390025	2223	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr9q_chr9_150279748_150617247.png	1789	261	0.257737	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr9q_chr9_150279748_150617247.html	true	chr9:150,279,748-150,617,247	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr9%3A150279748-150617247&pix=1800
chrXp	chrX	p	chrX_p	1579	501579	500001	154259566	1	750002	750002	1579	1579	153757987	chrX,chrY	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chrXp_chrX_1_750002.png	1789	389	0.224935	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chrXp_chrX_1_750002.html	true	chrX:1-750,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chrX%3A1-750002&pix=1800
chrXq	chrX	q	chrX_q	153926918	154256917	330000	154259566	153764567	154259566	495000	2649	153926918	2649	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chrXq_chrX_153764567_154259566.png	1789	213	0.266216	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chrXq_chrX_153764567_154259566.html	true	chrX:153,764,567-154,259,566	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chrX%3A153764567-154259566&pix=1800
