layout_page	layout_panel_on_page	layout_height_in	Community	label	chrom_arm	ucsc_position_display	phr_inclusive_bp	browser_window_bp	terminal_gap_bp	image_path	ucsc_url
9	2	2.310	C6	chr17q	chr17_q	chr17:84,209,398-84,276,897	45000	67500	2794	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr17q_chr17_84209398_84276897.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr17%3A84209398-84276897&pix=1800
9	3	1.498	C6	chr13q	chr13_q	chr13:113,551,687-113,566,686	10000	15000	3440	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr13q_chr13_113551687_113566686.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr13%3A113551687-113566686&pix=1800
10	1	1.614	C6	chr1q	chr1_q	chr1:248,364,829-248,387,328	15000	22500	3052	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr1q_chr1_248364829_248387328.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr1%3A248364829-248387328&pix=1800
10	2	2.310	C6	chr19q	chr19_q	chr19:61,677,365-61,707,364	20000	30000	2939	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr19q_chr19_61677365_61707364.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr19%3A61677365-61707364&pix=1800
10	3	1.730	C6	chr21q	chr21_q	chr21:45,060,683-45,090,682	20000	30000	4350	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr21q_chr21_45060683_45090682.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr21%3A45060683-45090682&pix=1800
11	1	3.818	C6	chr22q	chr22_q	chr22:51,287,427-51,324,926	25000	37500	2730	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr22q_chr22_51287427_51324926.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr22%3A51287427-51324926&pix=1800
11	2	2.078	C7	chr21p	chr21_p	chr21:1-727,502	485001	727502	2505	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr21p_chr21_1_727502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr21%3A1-727502&pix=1800
12	1	1.846	C7	chr14p	chr14_p	chr14:1-555,002	370001	555002	2075	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr14p_chr14_1_555002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr14%3A1-555002&pix=1800
12	2	2.078	C7	chr15p	chr15_p	chr15:1-607,502	405001	607502	3258	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr15p_chr15_1_607502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr15%3A1-607502&pix=1800
12	3	1.962	C7	chr22p	chr22_p	chr22:1-750,002	500001	750002	4138	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr22p_chr22_1_750002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr22%3A1-750002&pix=1800
13	1	3.122	C8	chr15q	chr15_q	chr15:99,565,696-99,753,195	125000	187500	2837	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr15q_chr15_99565696_99753195.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr15%3A99565696-99753195&pix=1800
13	2	3.470	C9	chr16p	chr16_p	chr16:1-37,502	25001	37502	2168	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr16p_chr16_1_37502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr16%3A1-37502&pix=1800
14	1	1.382	C10	chr17p	chr17_p	chr17:1-22,502	15001	22502	1679	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr17p_chr17_1_22502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr17%3A1-22502&pix=1800
15	1	7.414	C11	chr1p	chr1_p	chr1:1-442,502	295001	442502	2706	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr1p_chr1_1_442502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr1%3A1-442502&pix=1800
16	1	2.078	C11	chr8p	chr8_p	chr8:1-15,002	10001	15002	1881	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr8p_chr8_1_15002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr8%3A1-15002&pix=1800
17	1	7.298	C11	chr5q	chr5_q	chr5:181,752,940-182,045,439	195000	292500	1515	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr5q_chr5_181752940_182045439.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr5%3A181752940-182045439&pix=1800
18	1	3.818	C11	chr6q	chr6_q	chr6:171,909,129-172,126,628	145000	217500	2746	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr6q_chr6_171909129_172126628.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr6%3A171909129-172126628&pix=1800
18	2	2.658	C12	chr2q	chr2_q	chr2:242,516,753-242,696,752	120000	180000	2626	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr2q_chr2_242516753_242696752.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr2%3A242516753-242696752&pix=1800
19	1	3.238	C12	chr20p	chr20_p	chr20:1-150,002	100001	150002	2698	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr20p_chr20_1_150002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr20%3A1-150002&pix=1800
19	2	2.194	C13	chr4p	chr4_p	chr4:1-97,502	65001	97502	3087	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr4p_chr4_1_97502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr4%3A1-97502&pix=1800
20	1	2.194	C14	chrXq	chrX_q	chrX:153,764,567-154,259,566	330000	495000	2649	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chrXq_chrX_153764567_154259566.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chrX%3A153764567-154259566&pix=1800
20	2	3.470	C15	chrXp	chrX_p	chrX:1-750,002	500001	750002	1579	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chrXp_chrX_1_750002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chrX%3A1-750002&pix=1800
