support_class	basis	query_chrom	target_chrom	query_start	query_end	bp	windows	mean_delta	max_delta	mean_inter_identity	mean_same_identity	fig5_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr14	5122000	5134000	12000	6	0.014180	0.029332	0.995707	0.981527	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	6234000	6246000	12000	6	0.051673	0.234925	0.998250	0.946577	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	6778000	6790000	12000	6	0.187916	0.937130	0.998292	0.810375	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	6960000	6972000	12000	6	0.009250	0.045001	0.998750	0.989500	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	7038000	7050000	12000	6	0.001957	0.003000	0.998542	0.996585	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr15	chr13	382000	394000	12000	6	0.007755	0.024532	0.999208	0.991454	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr15	chr3	5192000	5204000	12000	6	0.038780	0.060058	0.992043	0.953263	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr21	chr13	6110000	6122000	12000	6	0.008160	0.018264	0.999417	0.991256	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr21	chr13	6124000	6136000	12000	6	0.003881	0.006526	0.998917	0.995036	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr14	294000	306000	12000	6	0.179266	0.587255	0.995250	0.815984	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr15	3256000	3268000	12000	6	0.018239	0.040427	0.993493	0.975254	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr1	chr14	130854000	130864000	10000	5	0.308926	0.759771	0.956026	0.647100	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr22	2236000	2246000	10000	5	0.003739	0.007705	0.998800	0.995061	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr22	4110000	4120000	10000	5	0.010381	0.025679	0.996651	0.986270	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	5386000	5396000	10000	5	0.001750	0.002500	0.999000	0.997250	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	6304000	6314000	10000	5	0.001899	0.003000	0.999300	0.997401	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr13	chr21	6746000	6756000	10000	5	0.033979	0.162678	0.992095	0.958117	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr21	chr13	6390000	6400000	10000	5	0.001000	0.001752	0.997150	0.996149	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr21	chr13	6460000	6470000	10000	5	0.001550	0.002748	0.999250	0.997700	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr21	168000	178000	10000	5	0.040122	0.159749	0.998045	0.957924	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr15	684000	694000	10000	5	0.007828	0.032890	0.998950	0.991122	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr3	2554000	2564000	10000	5	0.428681	0.747765	0.994800	0.566119	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr21	3196000	3206000	10000	5	0.014996	0.023738	0.998101	0.983105	acrocentric_context
10to10_ge10kb_mean_inter_identity_ge0.95	10:10	chr22	chr14	3246000	3256000	10000	5	0.020394	0.023828	0.997050	0.976656	acrocentric_context
