event_id	comparison_id	cell_id	source_kind	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	target_chrom	target_sum_bp	target_union_bp	target_rows	is_expected_target
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr8	86321	9085	14	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr9	5368	5368	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chrX	833412	489141	144	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chrY	748096	492471	165	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.1to1.m10k	filtered	0	default	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.1to1.m10k	filtered	0	default	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr11	494	247	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr14	25262	12631	4	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr15	4363	3764	4	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr16	8408	4204	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr18	231	231	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr19	273	273	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chr3	1106	553	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chrX	530642	477576	67	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.ani.4tomany.m10k	filtered	0	default	ani	4:many	10k	default	chrY	532003	487285	64	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.1to1.m10k	filtered	0	default	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.1to1.m10k	filtered	0	default	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.1to1.m10k	filtered	0	default	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr11	494	247	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr15	4363	3764	4	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr16	8408	4204	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr18	231	231	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr19	273	273	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chr3	1106	553	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chrX	541194	479690	67	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.ldefault.log_length_ani.4tomany.m10k	filtered	0	default	log-length-ani	4:many	10k	default	chrY	536979	490515	65	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.1to1.m10k	filtered	0	1000	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.1to1.m10k	filtered	0	1000	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	chr15	3165	3165	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	chr16	8408	4204	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	chrX	513548	471530	35	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.ani.4tomany.m10k	filtered	0	1000	ani	4:many	10k	default	chrY	525549	490258	46	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.1to1.m10k	filtered	0	1000	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.1to1.m10k	filtered	0	1000	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.1to1.m10k	filtered	0	1000	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	chr15	3165	3165	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	chr16	8408	4204	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	chrX	524100	473644	35	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l1000.log_length_ani.4tomany.m10k	filtered	0	1000	log-length-ani	4:many	10k	default	chrY	525821	490258	46	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.ani.1to1.m10k	filtered	0	5000	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.ani.1to1.m10k	filtered	0	5000	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.ani.4tomany.m10k	filtered	0	5000	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.ani.4tomany.m10k	filtered	0	5000	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.ani.4tomany.m10k	filtered	0	5000	ani	4:many	10k	default	chrX	486233	449530	18	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.ani.4tomany.m10k	filtered	0	5000	ani	4:many	10k	default	chrY	465641	458649	22	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.1to1.m10k	filtered	0	5000	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.1to1.m10k	filtered	0	5000	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.1to1.m10k	filtered	0	5000	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.4tomany.m10k	filtered	0	5000	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.4tomany.m10k	filtered	0	5000	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.4tomany.m10k	filtered	0	5000	log-length-ani	4:many	10k	default	chrX	486233	449530	18	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l5000.log_length_ani.4tomany.m10k	filtered	0	5000	log-length-ani	4:many	10k	default	chrY	465641	458649	22	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.1to1.m10k	filtered	0	10000	ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.1to1.m10k	filtered	0	10000	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.1to1.m10k	filtered	0	10000	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.4tomany.m10k	filtered	0	10000	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.4tomany.m10k	filtered	0	10000	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.4tomany.m10k	filtered	0	10000	ani	4:many	10k	default	chrX	398803	391853	5	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.ani.4tomany.m10k	filtered	0	10000	ani	4:many	10k	default	chrY	412246	408506	14	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.1to1.m10k	filtered	0	10000	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.1to1.m10k	filtered	0	10000	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.1to1.m10k	filtered	0	10000	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.4tomany.m10k	filtered	0	10000	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.4tomany.m10k	filtered	0	10000	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.4tomany.m10k	filtered	0	10000	log-length-ani	4:many	10k	default	chrX	398803	391853	5	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j0.l10000.log_length_ani.4tomany.m10k	filtered	0	10000	log-length-ani	4:many	10k	default	chrY	412246	408506	14	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.1to1.m10k	filtered	10k	default	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.1to1.m10k	filtered	10k	default	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.4tomany.m10k	filtered	10k	default	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.4tomany.m10k	filtered	10k	default	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.4tomany.m10k	filtered	10k	default	ani	4:many	10k	default	chrX	470101	452903	25	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.ani.4tomany.m10k	filtered	10k	default	ani	4:many	10k	default	chrY	505308	481602	45	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.1to1.m10k	filtered	10k	default	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.1to1.m10k	filtered	10k	default	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.1to1.m10k	filtered	10k	default	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.4tomany.m10k	filtered	10k	default	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.4tomany.m10k	filtered	10k	default	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.4tomany.m10k	filtered	10k	default	log-length-ani	4:many	10k	default	chrX	479262	455017	25	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.ldefault.log_length_ani.4tomany.m10k	filtered	10k	default	log-length-ani	4:many	10k	default	chrY	514639	486257	47	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.ani.1to1.m10k	filtered	10k	1000	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.ani.1to1.m10k	filtered	10k	1000	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.ani.4tomany.m10k	filtered	10k	1000	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.ani.4tomany.m10k	filtered	10k	1000	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.ani.4tomany.m10k	filtered	10k	1000	ani	4:many	10k	default	chrX	476341	458597	24	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.ani.4tomany.m10k	filtered	10k	1000	ani	4:many	10k	default	chrY	504877	484600	38	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.1to1.m10k	filtered	10k	1000	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.1to1.m10k	filtered	10k	1000	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.1to1.m10k	filtered	10k	1000	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.4tomany.m10k	filtered	10k	1000	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.4tomany.m10k	filtered	10k	1000	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.4tomany.m10k	filtered	10k	1000	log-length-ani	4:many	10k	default	chrX	486665	460711	25	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l1000.log_length_ani.4tomany.m10k	filtered	10k	1000	log-length-ani	4:many	10k	default	chrY	510440	486025	40	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.ani.1to1.m10k	filtered	10k	5000	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.ani.1to1.m10k	filtered	10k	5000	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.ani.4tomany.m10k	filtered	10k	5000	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.ani.4tomany.m10k	filtered	10k	5000	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.ani.4tomany.m10k	filtered	10k	5000	ani	4:many	10k	default	chrX	447852	438107	12	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.ani.4tomany.m10k	filtered	10k	5000	ani	4:many	10k	default	chrY	465641	458649	22	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.1to1.m10k	filtered	10k	5000	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.1to1.m10k	filtered	10k	5000	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.1to1.m10k	filtered	10k	5000	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.4tomany.m10k	filtered	10k	5000	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.4tomany.m10k	filtered	10k	5000	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.4tomany.m10k	filtered	10k	5000	log-length-ani	4:many	10k	default	chrX	447852	438107	12	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l5000.log_length_ani.4tomany.m10k	filtered	10k	5000	log-length-ani	4:many	10k	default	chrY	465641	458649	22	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.1to1.m10k	filtered	10k	10000	ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.1to1.m10k	filtered	10k	10000	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.1to1.m10k	filtered	10k	10000	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.4tomany.m10k	filtered	10k	10000	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.4tomany.m10k	filtered	10k	10000	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.4tomany.m10k	filtered	10k	10000	ani	4:many	10k	default	chrX	398803	391853	5	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.ani.4tomany.m10k	filtered	10k	10000	ani	4:many	10k	default	chrY	412246	408506	14	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.1to1.m10k	filtered	10k	10000	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.1to1.m10k	filtered	10k	10000	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.1to1.m10k	filtered	10k	10000	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.4tomany.m10k	filtered	10k	10000	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.4tomany.m10k	filtered	10k	10000	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.4tomany.m10k	filtered	10k	10000	log-length-ani	4:many	10k	default	chrX	398803	391853	5	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j10k.l10000.log_length_ani.4tomany.m10k	filtered	10k	10000	log-length-ani	4:many	10k	default	chrY	412246	408506	14	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.ani.1to1.m10k	filtered	20k	default	ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.ani.1to1.m10k	filtered	20k	default	ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.ani.4tomany.m10k	filtered	20k	default	ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.ani.4tomany.m10k	filtered	20k	default	ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.ani.4tomany.m10k	filtered	20k	default	ani	4:many	10k	default	chrX	488034	462636	31	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.ani.4tomany.m10k	filtered	20k	default	ani	4:many	10k	default	chrY	507448	481627	49	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.1to1.m10k	filtered	20k	default	log-length-ani	1:1	10k	default	chr14	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.1to1.m10k	filtered	20k	default	log-length-ani	1:1	10k	default	chrX	345932	345932	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.1to1.m10k	filtered	20k	default	log-length-ani	1:1	10k	default	chrY	149927	149927	1	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.4tomany.m10k	filtered	20k	default	log-length-ani	4:many	10k	default	chr14	24504	12252	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.4tomany.m10k	filtered	20k	default	log-length-ani	4:many	10k	default	chr22	12252	12252	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.4tomany.m10k	filtered	20k	default	log-length-ani	4:many	10k	default	chrX	497195	464750	31	yes
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	j20k.ldefault.log_length_ani.4tomany.m10k	filtered	20k	default	log-length-ani	4:many	10k	default	chrY	517530	486282	52	yes
