run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_identity	category
chr21_homolog_run0128	chr21	9912000	10106000	chr21	h1	PAN010#joint#h1_chr21	9912967	10106967	194000	194000	194000	97	1.000000	homologous_same_chrom
chr15_homolog_run0080	chr15	13364000	13554000	chr15	h2	PAN010#joint#h2_chr15	14203376	14393376	190000	190000	190000	95	1.000000	homologous_same_chrom
chr22_homolog_run0085	chr22	6950000	7140000	chr22	h2	PAN010#joint#h2_chr22	6939106	7129106	190000	190000	190000	95	1.000000	homologous_same_chrom
chr13_homolog_run0024	chr13	1812000	1994000	chr13	h1	PAN010#joint#h1_chr13	1797906	1979906	182000	182000	182000	91	1.000000	homologous_same_chrom
chr14_homolog_run0106	chr14	5830000	6006000	chr14	h1	PAN010#joint#h1_chr14	8579454	8755454	176000	176000	176000	88	1.000000	homologous_same_chrom
chr19_homolog_run0001	chr19	0	176000	chr19	h2	PAN010#joint#h2_chr19	687	176690	176000	176000	176003	88	0.999935	homologous_same_chrom
chr22_homolog_run0098	chr22	8162000	8336000	chr22	h2	PAN010#joint#h2_chr22	8151107	8325108	174000	174000	174001	87	0.999997	homologous_same_chrom
chr13_homolog_run0119	chr13	7758000	7930000	chr13	h2	PAN010#joint#h2_chr13	7281896	7453846	172000	172000	171950	86	0.994900	homologous_same_chrom
chr13_homolog_run0059	chr13	4418000	4588000	chr13	h1	PAN010#joint#h1_chr13	4888150	5058150	170000	170000	170000	85	1.000000	homologous_same_chrom
chr14_homolog_run0100	chr14	4580000	4750000	chr14	h2	PAN010#joint#h2_chr14	5111861	5281861	170000	170000	170000	85	1.000000	homologous_same_chrom
chr22_homolog_run0078	chr22	5792000	5962000	chr22	h2	PAN010#joint#h2_chr22	5781106	5951106	170000	170000	170000	85	1.000000	homologous_same_chrom
chr13_homolog_run0067	chr13	5798000	5966000	chr13	h1	PAN010#joint#h1_chr13	6268152	6436153	168000	168000	168001	84	0.999997	homologous_same_chrom
chr13_homolog_run0128	chr13	8606000	8772000	chr13	h2	PAN010#joint#h2_chr13	8128983	8294867	166000	166000	165884	83	0.998854	homologous_same_chrom
chr21_homolog_run0014	chr21	2604000	2768000	chr21	h1	PAN010#joint#h1_chr21	2604959	2768959	164000	164000	164000	82	1.000000	homologous_same_chrom
chr13_homolog_run0023	chr13	1368000	1530000	chr13	h1	PAN010#joint#h1_chr13	1353906	1515906	162000	162000	162000	81	1.000000	homologous_same_chrom
chr21_homolog_run0101	chr21	8802000	8964000	chr21	h1	PAN010#joint#h1_chr21	8802962	8964962	162000	162000	162000	81	1.000000	homologous_same_chrom
chr14_homolog_run0109	chr14	6060000	6220000	chr14	h1	PAN010#joint#h1_chr14	8809454	8969454	160000	160000	160000	80	1.000000	homologous_same_chrom
chr18_homolog_run0351	chr18	14944000	15104000	chr18	h1	PAN010#joint#h1_chr18	14940498	15100372	160000	160000	159874	80	0.997642	homologous_same_chrom
chr6_homolog_run0001	chr6	2000	156000	chr6	h2	PAN010#joint#h2_chr6	8362	162359	154000	154000	153997	77	0.999964	homologous_same_chrom
chr13_homolog_run0001	chr13	8000	162000	chr13	h1	PAN010#joint#h1_chr13	204	154205	154000	154000	154001	77	0.999607	homologous_same_chrom
chr11_homolog_run1884	chr11	80258000	80408000	chr11	h2	PAN010#joint#h2_chr11	80148917	80298918	150000	150000	150001	75	0.999997	homologous_same_chrom
chr14_homolog_run0008	chr14	1670000	1820000	chr14	h2	PAN010#joint#h2_chr14	1667281	1817281	150000	150000	150000	75	1.000000	homologous_same_chrom
chr14_homolog_run0007	chr14	1520000	1668000	chr14	h2	PAN010#joint#h2_chr14	1517281	1665281	148000	148000	148000	74	1.000000	homologous_same_chrom
chr14_homolog_run0233	chr14	8172000	8320000	chr14	h1	PAN010#joint#h1_chr14	10921457	11069460	148000	148000	148003	74	0.999990	homologous_same_chrom
chr22_homolog_run0001	chr22	8000	154000	chr22	h2	PAN010#joint#h2_chr22	203	146205	146000	146000	146002	73	0.999603	homologous_same_chrom
chr22_homolog_run0104	chr22	9232000	9378000	chr22	h2	PAN010#joint#h2_chr22	9221107	9367107	146000	146000	146000	73	1.000000	homologous_same_chrom
chr14_homolog_run0309	chr14	13022000	13166000	chr14	h1	PAN010#joint#h1_chr14	15771460	15915460	144000	144000	144000	72	1.000000	homologous_same_chrom
chr21_homolog_run0001	chr21	0	144000	chr21	h1	PAN010#joint#h1_chr21	955	144960	144000	144000	144005	72	0.999906	homologous_same_chrom
chr15_homolog_run0017	chr15	4174000	4316000	chr15	h1	PAN010#joint#h1_chr15	3217227	3359263	142000	142000	142036	71	0.994344	homologous_same_chrom
chr20_homolog_run0708	chr20	30976000	31118000	chr20	h1	PAN010#joint#h1_chr20	30920816	31062817	142000	142000	142001	71	0.999996	homologous_same_chrom
chrX_homolog_run4240	chrX	141790000	141926000	chrX	h2	PAN010#joint#h2_chrX	141787178	141923179	136000	136000	136001	68	0.999996	homologous_same_chrom
chr4_homolog_run0173	chr4	9662000	9796000	chr4	h2	PAN010#joint#h2_chr4	9660950	9794951	134000	134000	134001	67	0.999996	homologous_same_chrom
chr1_homolog_run2756	chr1	142882000	143014000	chr1	h2	PAN010#joint#h2_chr1	143136052	143268052	132000	132000	132000	66	1.000000	homologous_same_chrom
chr11_homolog_run0051	chr11	3458000	3590000	chr11	h2	PAN010#joint#h2_chr11	3456277	3588276	132000	132000	131999	66	0.999996	homologous_same_chrom
chr11_homolog_run1717	chr11	71336000	71468000	chr11	h2	PAN010#joint#h2_chr11	71226846	71358849	132000	132000	132003	66	0.999981	homologous_same_chrom
chr16_homolog_run1617	chr16	91458000	91590000	chr16	h2	PAN010#joint#h2_chr16	100669708	100801627	132000	132000	131919	66	0.999656	homologous_same_chrom
chr6_homolog_run0007	chr6	274000	404000	chr6	h2	PAN010#joint#h2_chr6	280360	410360	130000	130000	130000	65	1.000000	homologous_same_chrom
chr6_homolog_run4620	chr6	171740000	171870000	chr6	h1	PAN010#joint#h1_chr6	171734088	171864085	130000	130000	129997	65	0.999673	homologous_same_chrom
chr13_homolog_run0031	chr13	2414000	2544000	chr13	h1	PAN010#joint#h1_chr13	2399906	2529906	130000	130000	130000	65	1.000000	homologous_same_chrom
chr21_homolog_run0005	chr21	750000	880000	chr21	h1	PAN010#joint#h1_chr21	750960	880960	130000	130000	130000	65	1.000000	homologous_same_chrom
chr13_homolog_run0026	chr13	2100000	2228000	chr13	h1	PAN010#joint#h1_chr13	2085906	2213906	128000	128000	128000	64	1.000000	homologous_same_chrom
chr21_homolog_run0030	chr21	5002000	5128000	chr21	h1	PAN010#joint#h1_chr21	5002958	5128958	126000	126000	126000	63	1.000000	homologous_same_chrom
chr22_homolog_run0009	chr22	234000	360000	chr22	h2	PAN010#joint#h2_chr22	251398	377334	126000	126000	125936	63	0.996488	homologous_same_chrom
chr21_homolog_run0019	chr21	4100000	4224000	chr21	h1	PAN010#joint#h1_chr21	4100958	4224958	124000	124000	124000	62	1.000000	homologous_same_chrom
chr22_homolog_run0083	chr22	6596000	6720000	chr22	h2	PAN010#joint#h2_chr22	6585106	6709106	124000	124000	124000	62	1.000000	homologous_same_chrom
chr1_homolog_run5097	chr1	240340000	240462000	chr1	h2	PAN010#joint#h2_chr1	240668665	240790665	122000	122000	122000	61	1.000000	homologous_same_chrom
chr14_homolog_run0005	chr14	792000	914000	chr14	h2	PAN010#joint#h2_chr14	789281	911281	122000	122000	122000	61	1.000000	homologous_same_chrom
chr14_homolog_run0103	chr14	5342000	5464000	chr14	h1	PAN010#joint#h1_chr14	8091453	8213454	122000	122000	122001	61	0.999996	homologous_same_chrom
chr17_homolog_run0420	chr17	22868000	22990000	chr17	h2	PAN010#joint#h2_chr17	22865536	22987539	122000	122000	122003	61	0.999988	homologous_same_chrom
chr18_homolog_run0348	chr18	14744000	14866000	chr18	h1	PAN010#joint#h1_chr18	14740302	14862342	122000	122000	122040	61	0.998239	homologous_same_chrom
chr14_homolog_run0206	chr14	7086000	7206000	chr14	h1	PAN010#joint#h1_chr14	9835455	9955456	120000	120000	120001	60	0.999996	homologous_same_chrom
chr14_homolog_run0239	chr14	8476000	8596000	chr14	h1	PAN010#joint#h1_chr14	11225460	11345460	120000	120000	120000	60	1.000000	homologous_same_chrom
chr20_homolog_run0711	chr20	31186000	31306000	chr20	h1	PAN010#joint#h1_chr20	31130817	31250811	120000	120000	119994	60	0.999975	homologous_same_chrom
chr11_homolog_run1719	chr11	71494000	71610000	chr11	h2	PAN010#joint#h2_chr11	71384850	71500849	116000	116000	115999	58	0.999996	homologous_same_chrom
chr14_homolog_run0003	chr14	438000	554000	chr14	h2	PAN010#joint#h2_chr14	435280	551280	116000	116000	116000	58	1.000000	homologous_same_chrom
chr13_homolog_run0003	chr13	328000	442000	chr13	h1	PAN010#joint#h1_chr13	320205	434205	114000	114000	114000	57	0.999895	homologous_same_chrom
chr13_homolog_run0096	chr13	6942000	7056000	chr13	h1	PAN010#joint#h1_chr13	7412157	7526157	114000	114000	114000	57	1.000000	homologous_same_chrom
chr4_homolog_run2840	chr4	120474000	120586000	chr4	h2	PAN010#joint#h2_chr4	120054136	120166137	112000	112000	112001	56	0.999987	homologous_same_chrom
chr13_homolog_run0015	chr13	774000	886000	chr13	h1	PAN010#joint#h1_chr13	759910	871910	112000	112000	112000	56	1.000000	homologous_same_chrom
chr14_homolog_run0004	chr14	570000	682000	chr14	h2	PAN010#joint#h2_chr14	567280	679281	112000	112000	112001	56	0.999996	homologous_same_chrom
chr14_homolog_run0105	chr14	5716000	5828000	chr14	h1	PAN010#joint#h1_chr14	8465454	8577454	112000	112000	112000	56	1.000000	homologous_same_chrom
chr15_homolog_run0096	chr15	17800000	17912000	chr15	h2	PAN010#joint#h2_chr15	18639401	18751401	112000	112000	112000	56	1.000000	homologous_same_chrom
chr21_homolog_run0004	chr21	492000	604000	chr21	h1	PAN010#joint#h1_chr21	492960	604960	112000	112000	112000	56	1.000000	homologous_same_chrom
chr13_homolog_run0066	chr13	5684000	5794000	chr13	h1	PAN010#joint#h1_chr13	6154152	6264152	110000	110000	110000	55	1.000000	homologous_same_chrom
chr15_homolog_run0019	chr15	4558000	4668000	chr15	h1	PAN010#joint#h1_chr15	3878036	3988027	110000	110000	109991	55	0.986026	homologous_same_chrom
chr8_homolog_run0001	chr8	2000	108000	chr8	h1	PAN010#joint#h1_chr8	159	106192	106000	106000	106033	53	0.999817	homologous_same_chrom
chr9_homolog_run0312	chr9	14982000	15088000	chr9	h2	PAN010#joint#h2_chr9	14982024	15088024	106000	106000	106000	53	1.000000	homologous_same_chrom
chr9_homolog_run1098	chr9	48802000	48908000	chr9	h1	PAN010#joint#h1_chr9	48915003	49021008	106000	106000	106005	53	0.999976	homologous_same_chrom
chr12_homolog_run0187	chr12	8270000	8376000	chr12	h2	PAN010#joint#h2_chr12	8277394	8383396	106000	106000	106002	53	0.999991	homologous_same_chrom
chr21_homolog_run0016	chr21	3244000	3350000	chr21	h1	PAN010#joint#h1_chr21	3244960	3350958	106000	106000	105998	53	0.999991	homologous_same_chrom
chr21_homolog_run0459	chr21	24506000	24612000	chr21	h2	PAN010#joint#h2_chr21	25306433	25412433	106000	106000	106000	53	1.000000	homologous_same_chrom
chr21_homolog_run0460	chr21	24620000	24726000	chr21	h2	PAN010#joint#h2_chr21	25420433	25526434	106000	106000	106001	53	0.999995	homologous_same_chrom
chr15_homolog_run0044	chr15	11994000	12098000	chr15	h2	PAN010#joint#h2_chr15	12833372	12937372	104000	104000	104000	52	1.000000	homologous_same_chrom
chr20_homolog_run0001	chr20	0	104000	chr20	h2	PAN010#joint#h2_chr20	857	104882	104000	104000	104025	52	0.999823	homologous_same_chrom
chr21_homolog_run0036	chr21	6150000	6254000	chr21	h1	PAN010#joint#h1_chr21	6150959	6254959	104000	104000	104000	52	1.000000	homologous_same_chrom
chr7_homolog_run0107	chr7	6998000	7100000	chr7	h1	PAN010#joint#h1_chr7	7002819	7104819	102000	102000	102000	51	1.000000	homologous_same_chrom
chr14_homolog_run0229	chr14	8058000	8160000	chr14	h1	PAN010#joint#h1_chr14	10807457	10909457	102000	102000	102000	51	1.000000	homologous_same_chrom
chr15_homolog_run0105	chr15	18206000	18308000	chr15	h2	PAN010#joint#h2_chr15	19045402	19147402	102000	102000	102000	51	1.000000	homologous_same_chrom
chr16_homolog_run0004	chr16	200000	302000	chr16	h1	PAN010#joint#h1_chr16	200062	302062	102000	102000	102000	51	1.000000	homologous_same_chrom
chr1_homolog_run2747	chr1	142392000	142492000	chr1	h2	PAN010#joint#h2_chr1	142646049	142746051	100000	100000	100002	50	0.999990	homologous_same_chrom
chr7_homolog_run0001	chr7	0	100000	chr7	h1	PAN010#joint#h1_chr7	2345	102357	100000	100000	100012	50	0.999820	homologous_same_chrom
chr12_homolog_run0826	chr12	38844000	38944000	chr12	h2	PAN010#joint#h2_chr12	38851475	38951478	100000	100000	100003	50	0.999985	homologous_same_chrom
chr15_homolog_run0041	chr15	11484000	11584000	chr15	h2	PAN010#joint#h2_chr15	12323372	12423372	100000	100000	100000	50	1.000000	homologous_same_chrom
chr18_homolog_run0343	chr18	14128000	14228000	chr18	h1	PAN010#joint#h1_chr18	14124649	14224671	100000	100000	100022	50	0.998440	homologous_same_chrom
chr21_homolog_run0028	chr21	4794000	4892000	chr21	h1	PAN010#joint#h1_chr21	4794958	4892958	98000	98000	98000	49	1.000000	homologous_same_chrom
chr21_homolog_run0037	chr21	6262000	6360000	chr21	h1	PAN010#joint#h1_chr21	6262959	6360959	98000	98000	98000	49	1.000000	homologous_same_chrom
chr3_homolog_run1914	chr3	75710000	75806000	chr3	h1	PAN010#joint#h1_chr3	75709433	75805433	96000	96000	96000	48	0.999990	homologous_same_chrom
chr8_homolog_run0233	chr8	12250000	12344000	chr8	h1	PAN010#joint#h1_chr8	12248254	12342253	94000	94000	93999	47	0.999995	homologous_same_chrom
chr14_homolog_run0225	chr14	7850000	7944000	chr14	h1	PAN010#joint#h1_chr14	10599456	10693457	94000	94000	94001	47	0.999995	homologous_same_chrom
chr15_homolog_run0092	chr15	14504000	14598000	chr15	h2	PAN010#joint#h2_chr15	15343376	15437376	94000	94000	94000	47	1.000000	homologous_same_chrom
chr17_homolog_run0498	chr17	31164000	31258000	chr17	h2	PAN010#joint#h2_chr17	31161558	31255560	94000	94000	94002	47	0.999989	homologous_same_chrom
chr21_homolog_run0038	chr21	6380000	6474000	chr21	h1	PAN010#joint#h1_chr21	6380959	6474959	94000	94000	94000	47	1.000000	homologous_same_chrom
chr12_homolog_run0828	chr12	38946000	39038000	chr12	h2	PAN010#joint#h2_chr12	38953479	39045478	92000	92000	91999	46	0.999995	homologous_same_chrom
chr22_homolog_run0086	chr22	7142000	7234000	chr22	h2	PAN010#joint#h2_chr22	7131106	7223106	92000	92000	92000	46	1.000000	homologous_same_chrom
chr4_homolog_run3173	chr4	133922000	134012000	chr4	h2	PAN010#joint#h2_chr4	133502206	133592204	90000	90000	89998	45	0.999956	homologous_same_chrom
chr7_homolog_run3676	chr7	143358000	143448000	chr7	h2	PAN010#joint#h2_chr7	144237156	144327157	90000	90000	90001	45	0.999994	homologous_same_chrom
chr9_homolog_run1055	chr9	40646000	40736000	chr9	h1	PAN010#joint#h1_chr9	40760847	40850847	90000	90000	90000	45	1.000000	homologous_same_chrom
chr18_homolog_run0001	chr18	8000	98000	chr18	h1	PAN010#joint#h1_chr18	6266	96266	90000	90000	90000	45	1.000000	homologous_same_chrom
chr21_homolog_run0029	chr21	4894000	4982000	chr21	h1	PAN010#joint#h1_chr21	4894958	4982958	88000	88000	88000	44	1.000000	homologous_same_chrom
chr1_homolog_run2718	chr1	141510000	141596000	chr1	h2	PAN010#joint#h2_chr1	141764039	141850042	86000	86000	86003	43	0.999983	homologous_same_chrom
chr9_homolog_run0003	chr9	116000	202000	chr9	h2	PAN010#joint#h2_chr9	115961	201962	86000	86000	86001	43	0.999994	homologous_same_chrom
chr10_homolog_run0001	chr10	4000	90000	chr10	h2	PAN010#joint#h2_chr10	654	86652	86000	86000	85998	43	0.999988	homologous_same_chrom
chr10_homolog_run3151	chr10	134196000	134282000	chr10	h2	PAN010#joint#h2_chr10	134321771	134407765	86000	86000	85994	43	0.999919	homologous_same_chrom
chr13_homolog_run0070	chr13	6502000	6588000	chr13	h1	PAN010#joint#h1_chr13	6972157	7058157	86000	86000	86000	43	1.000000	homologous_same_chrom
chr14_homolog_run0240	chr14	8612000	8698000	chr14	h1	PAN010#joint#h1_chr14	11361460	11447460	86000	86000	86000	43	1.000000	homologous_same_chrom
chr15_homolog_run0035	chr15	11160000	11246000	chr15	h2	PAN010#joint#h2_chr15	11999372	12085372	86000	86000	86000	43	1.000000	homologous_same_chrom
chr18_homolog_run0352	chr18	15106000	15192000	chr18	h1	PAN010#joint#h1_chr18	15108422	15194360	86000	86000	85938	43	0.995309	homologous_same_chrom
chr21_homolog_run0017	chr21	3456000	3542000	chr21	h1	PAN010#joint#h1_chr21	3456958	3542958	86000	86000	86000	43	1.000000	homologous_same_chrom
chr21_homolog_run0166	chr21	10554000	10640000	chr21	h1	PAN010#joint#h1_chr21	10554972	10640973	86000	86000	86001	43	0.999994	homologous_same_chrom
chr4_homolog_run1065	chr4	49374000	49458000	chr4	h1	PAN010#joint#h1_chr4	49229054	49313053	84000	84000	83999	42	0.999994	homologous_same_chrom
chr5_homolog_run1177	chr5	51514000	51598000	chr5	h1	PAN010#joint#h1_chr5	51533676	51617676	84000	84000	84000	42	1.000000	homologous_same_chrom
chr9_homolog_run1241	chr9	58744000	58828000	chr9	h1	PAN010#joint#h1_chr9	58857027	58941029	84000	84000	84002	42	0.999988	homologous_same_chrom
chr13_homolog_run0074	chr13	6594000	6678000	chr13	h1	PAN010#joint#h1_chr13	7064157	7148157	84000	84000	84000	42	1.000000	homologous_same_chrom
chr2_homolog_run3231	chr2	132342000	132424000	chr2	h1	PAN010#joint#h1_chr2	132404559	132486559	82000	82000	82000	41	1.000000	homologous_same_chrom
chr16_homolog_run1616	chr16	91374000	91456000	chr16	h2	PAN010#joint#h2_chr16	100585709	100667708	82000	82000	81999	41	0.999994	homologous_same_chrom
chr1_homolog_run2676	chr1	121352000	121432000	chr1	h2	PAN010#joint#h2_chr1	121962154	122042154	80000	80000	80000	40	1.000000	homologous_same_chrom
chr6_homolog_run0115	chr6	5812000	5892000	chr6	h2	PAN010#joint#h2_chr6	5818381	5898381	80000	80000	80000	40	1.000000	homologous_same_chrom
chr13_homolog_run0002	chr13	208000	288000	chr13	h1	PAN010#joint#h1_chr13	200205	280205	80000	80000	80000	40	1.000000	homologous_same_chrom
