seq	arm	self_chr	region_start	region_end	chrs_involved	arms_involved
CHM13#0#chr16:95827817-96327816_chr16_qarm	qarm	chr16	345000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
CHM13#0#chr17:1679-501678_chr17_parm	parm	chr17	0	45000	chr11,chr17	chr11p,chr17p
CHM13#0#chr17:83774104-84274103_chr17_qarm	qarm	chr17	455000	500000	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
CHM13#0#chr18:2017-502016_chr18_parm	parm	chr18	0	265000	chr3,chr4,chr9,chr10,chr18	chr3q,chr4q,chr9q,chr10p,chr10q,chr18p
CHM13#0#chr18:80039455-80539454_chr18_qarm	qarm	chr18	.	.	.	.
CHM13#0#chr19:1962-501961_chr19_parm	parm	chr19	0	210000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
CHM13#0#chr19:61204426-61704425_chr19_qarm	qarm	chr19	480000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
CHM13#0#chr1:247884277-248384276_chr1_qarm	qarm	chr1	485000	500000	chr1,chr4,chr10,chr19,chr21,chr22	chr1q,chr4q,chr10q,chr19q,chr21q,chr22q
CHM13#0#chr1:2706-502705_chr1_parm	parm	chr1	0	200000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
CHM13#0#chr20:2698-502697_chr20_parm	parm	chr20	0	100000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr10q,chr11p,chr12p,chr13q,chr15q,chr16p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
CHM13#0#chr20:65707369-66207368_chr20_qarm	qarm	chr20	400000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
CHM13#0#chr21:2505-502504_chr21_parm	parm	chr21	0	465000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
CHM13#0#chr21:44586333-45086332_chr21_qarm	qarm	chr21	480000	500000	chr1,chr2,chr4,chr10,chr13,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr10q,chr13q,chr19q,chr20p,chr21q,chr22q
CHM13#0#chr22:4138-504137_chr22_parm	parm	chr22	0	290000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
CHM13#0#chr22:50822197-51322196_chr22_qarm	qarm	chr22	480000	500000	chr1,chr2,chr4,chr6,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
CHM13#0#chr2:242194127-242694126_chr2_qarm	qarm	chr2	380000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr11,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
CHM13#0#chr2:3363-503362_chr2_parm	parm	chr2	.	.	.	.
CHM13#0#chr3:200601363-201101362_chr3_qarm	qarm	chr3	250000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
CHM13#0#chr3:2642-502641_chr3_parm	parm	chr3	.	.	.	.
CHM13#0#chr4:193072741-193572740_chr4_qarm	qarm	chr4	470000	500000	chr1,chr4,chr8,chr10,chr18,chr19,chr21,chr22	chr1q,chr4q,chr8p,chr10q,chr18p,chr19q,chr21q,chr22q
CHM13#0#chr4:3087-503086_chr4_parm	parm	chr4	0	65000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
CHM13#0#chr5:181543925-182043924_chr5_qarm	qarm	chr5	305000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
CHM13#0#chr5:2252-502251_chr5_parm	parm	chr5	.	.	.	.
CHM13#0#chr6:171623883-172123882_chr6_qarm	qarm	chr6	360000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
CHM13#0#chr6:2588-502587_chr6_parm	parm	chr6	.	.	.	.
CHM13#0#chr7:160065602-160565601_chr7_qarm	qarm	chr7	495000	500000	chr7,chr12	chr7q,chr12q
CHM13#0#chr7:3375-503374_chr7_parm	parm	chr7	0	135000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr22	chr1p,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17p,chr17q,chr19p,chr19q,chr20p,chr20q,chr22q
CHM13#0#chr8:145757564-146257563_chr8_qarm	qarm	chr8	.	.	.	.
CHM13#0#chr8:1881-501880_chr8_parm	parm	chr8	0	30000	chr1,chr4,chr8,chr19,chr21	chr1p,chr4q,chr8p,chr19p,chr21q
CHM13#0#chr9:150115025-150615024_chr9_qarm	qarm	chr9	275000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10p,chr10q,chr11p,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
CHM13#0#chr9:3488-503487_chr9_parm	parm	chr9	0	40000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
CHM13#0#chrX:153756918-154256917_chrX_qarm	qarm	chrX	475000	500000	chr3,chr9,chrX,chr12,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr16p,chr19p
CHM13#0#chrX:1579-501578_chrX_parm	parm	chrX	.	.	.	.
HG00097#1#CM094060.1:251056932-251556931_chr1_qarm	qarm	chr1	485000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr7p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00097#1#CM094060.1:3334-503333_chr1_parm	parm	chr1	0	295000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
HG00097#1#CM094061.1:242249988-242749987_chr2_qarm	qarm	chr2	380000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#CM094061.1:5409-505408_chr2_parm	parm	chr2	.	.	.	.
HG00097#1#CM094062.1:200797483-201297482_chr3_qarm	qarm	chr3	325000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#CM094063.1:182437664-182937663_chr5_qarm	qarm	chr5	300000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#CM094063.1:8865-508864_chr5_parm	parm	chr5	.	.	.	.
HG00097#1#CM094064.1:144611462-145111461_chr8_qarm	qarm	chr8	.	.	.	.
HG00097#1#CM094064.1:1886-501885_chr8_parm	parm	chr8	0	170000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
HG00097#1#CM094065.1:135837688-136337687_chr9_qarm	qarm	chr9	275000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10p,chr10q,chr11p,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#CM094065.1:6954-506953_chr9_parm	parm	chr9	0	40000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00097#1#CM094066.1:134072593-134572592_chr10_qarm	qarm	chr10	455000	500000	chr1,chr2,chr4,chr6,chr7,chr8,chr10,chr13,chr17,chr19,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr8p,chr10q,chr13q,chr17q,chr19q,chr21q,chr22q
HG00097#1#CM094066.1:3520-503519_chr10_parm	parm	chr10	0	65000	chr9,chr10,chr18	chr9q,chr10p,chr18p
HG00097#1#CM094067.1:133444763-133944762_chr11_qarm	qarm	chr11	.	.	.	.
HG00097#1#CM094067.1:2130-502129_chr11_parm	parm	chr11	0	230000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17p,chr17q,chr19p,chr20p,chr20q
HG00097#1#CM094068.1:133227123-133727122_chr12_qarm	qarm	chr12	475000	500000	chr7,chr12	chr7q,chr12q
HG00097#1#CM094068.1:7062-507061_chr12_parm	parm	chr12	0	70000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00097#1#CM094069.1:2221-502220_chr16_parm	parm	chr16	0	30000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00097#1#CM094069.1:92399769-92899768_chr16_qarm	qarm	chr16	345000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#CM094070.1:2706-502705_chr19_parm	parm	chr19	0	205000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00097#1#CM094070.1:60571880-61071879_chr19_qarm	qarm	chr19	480000	500000	chr1,chr2,chr4,chr6,chr7,chr8,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr8p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00097#1#CM094071.1:11786-511785_chr20_parm	parm	chr20	0	100000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr10q,chr11p,chr12p,chr15q,chr16p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#CM094071.1:65503481-66003480_chr20_qarm	qarm	chr20	400000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr19p,chr20p,chr20q
HG00097#1#CM094072.1:42398872-42898871_chr21_qarm	qarm	chr21	480000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr13,chr17,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr7p,chr10q,chr13q,chr17q,chr20p,chr21q,chr22q
HG00097#1#CM094072.1:4314-504313_chr21_parm	parm	chr21	0	500000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00097#1#CM094073.1:3791-503790_chr22_parm	parm	chr22	0	430000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00097#1#CM094073.1:48617129-49117128_chr22_qarm	qarm	chr22	480000	500000	chr1,chr2,chr4,chr6,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr19q,chr20p,chr21q,chr22q
HG00097#1#CM094074.1:155112470-155612469_chrX_qarm	qarm	chrX	475000	500000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p
HG00097#1#CM094074.1:8179-508178_chrX_parm	parm	chrX	.	.	.	.
HG00097#1#JBIRDD010000002.1:103597603-104097602_chr13_qarm	qarm	chr13	490000	500000	chr1,chr2,chr4,chr6,chr7,chr10,chr13,chr19,chr20,chr21	chr1q,chr2q,chr4q,chr6p,chr7p,chr10q,chr13q,chr19q,chr20p,chr21q
HG00097#1#JBIRDD010000005.1:93386642-93886641_chr15_qarm	qarm	chr15	375000	500000	chr1,chr3,chr5,chr6,chr8,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr1p,chr3q,chr5q,chr6p,chr6q,chr8p,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00097#1#JBIRDD010000008.1:57594512-58094511_chr17_qarm	qarm	chr17	450000	500000	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr10,chr11,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr10q,chr11p,chr17q,chr19q,chr20p,chr21q,chr22q
HG00097#1#JBIRDD010000010.1:78206068-78706067_chr18_qarm	qarm	chr18	.	.	.	.
HG00097#1#JBIRDD010000012.1:1174-501173_chr7_parm	parm	chr7	0	140000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr16q,chr17p,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#1#JBIRDD010000014.1:6337-506336_chr17_parm	parm	chr17	0	40000	chr7,chr11,chr16,chr17	chr7p,chr11p,chr17p
HG00097#1#JBIRDD010000018.1:98809664-99309663_chr14_qarm	qarm	chr14	.	.	.	.
HG00097#1#JBIRDD010000043.1:110883925-111383924_chr6_qarm	qarm	chr6	360000	500000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p
HG00097#1#JBIRDD010000044.1:7624-507623_chr6_parm	parm	chr6	0	160000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr15,chr16,chr17,chr19,chr20,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr15q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr22q
HG00097#1#JBIRDD010000047.1:9702-509701_chr4_parm	parm	chr4	0	65000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00097#1#JBIRDD010000049.1:129408577-129908576_chr4_qarm	qarm	chr4	470000	500000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00097#1#JBIRDD010000051.1:5711-505710_chr14_parm	parm	chr14	0	370000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
HG00097#2#CM094075.1:251974845-252474844_chr1_qarm	qarm	chr1	485000	500000	chr1,chr2,chr4,chr6,chr10,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr10q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
HG00097#2#CM094075.1:7887-507886_chr1_parm	parm	chr1	0	295000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q
HG00097#2#CM094076.1:241871047-242371046_chr2_qarm	qarm	chr2	380000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr13q,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#2#CM094076.1:8185-508184_chr2_parm	parm	chr2	.	.	.	.
HG00097#2#CM094077.1:184015232-184515231_chr5_qarm	qarm	chr5	300000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17q,chr19p,chr20p,chr20q,chr21q,chr22q
HG00097#2#CM094077.1:3338-503337_chr5_parm	parm	chr5	.	.	.	.
HG00097#2#CM094078.1:161617956-162117955_chr7_qarm	qarm	chr7	495000	500000	chr7,chr12	chr7q,chr12q
HG00097#2#CM094078.1:2197-502196_chr7_parm	parm	chr7	0	140000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr16,chr17,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10q,chr11p,chr16q,chr17p,chr17q,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#2#CM094079.1:148013209-148513208_chr8_qarm	qarm	chr8	.	.	.	.
HG00097#2#CM094079.1:3386-503385_chr8_parm	parm	chr8	0	10000	chr2,chr6,chr8,chr19,chr20,chr22	chr2q,chr6p,chr8p,chr19p,chr20p,chr22q
HG00097#2#CM094080.1:136029199-136529198_chr9_qarm	qarm	chr9	275000	500000	chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22	chr1p,chr1q,chr2q,chr3q,chr4q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr10p,chr10q,chr11p,chr13q,chr16q,chr17q,chr18p,chr19p,chr19q,chr20p,chr20q,chr21q,chr22q
HG00097#2#CM094080.1:4428-504427_chr9_parm	parm	chr9	0	40000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00097#2#CM094081.1:134184279-134684278_chr10_qarm	qarm	chr10	470000	500000	chr1,chr2,chr4,chr6,chr7,chr8,chr10,chr13,chr17,chr19,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr8p,chr10q,chr13q,chr17q,chr19q,chr21q,chr22q
HG00097#2#CM094081.1:5136-505135_chr10_parm	parm	chr10	0	65000	chr3,chr9,chr10,chr18	chr3q,chr9q,chr10p,chr18p
HG00097#2#CM094082.1:134382341-134882340_chr11_qarm	qarm	chr11	.	.	.	.
HG00097#2#CM094082.1:2303-502302_chr11_parm	parm	chr11	0	230000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9q,chr11p,chr15q,chr16q,chr17p,chr17q,chr19p,chr20p,chr20q
HG00097#2#CM094083.1:133222340-133722339_chr12_qarm	qarm	chr12	485000	500000	chr7,chr12	chr7q,chr12q
HG00097#2#CM094083.1:4979-504978_chr12_parm	parm	chr12	0	70000	chr3,chr9,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
HG00097#2#CM094084.1:1941-501940_chr18_parm	parm	chr18	0	100000	chr3,chr4,chr9,chr10,chr16,chr18	chr3q,chr4q,chr9q,chr10p,chr18p
HG00097#2#CM094084.1:79812255-80312254_chr18_qarm	qarm	chr18	.	.	.	.
HG00097#2#CM094085.1:2244-502243_chr19_parm	parm	chr19	0	205000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr16q,chr17q,chr19p,chr19q,chr20p,chr20q
HG00097#2#CM094085.1:60620189-61120188_chr19_qarm	qarm	chr19	480000	500000	chr1,chr2,chr4,chr6,chr10,chr17,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr10q,chr17q,chr19q,chr20p,chr21q,chr22q
