page_order	page_id	page_label	query_sample	query_haplotype	comparison_id	query_chrom	query_chrom_order	query_chrom_length
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr20	20	66228119
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr21	21	43389351
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chr22	22	48474197
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chrX	23	153709419
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027	PAN027#1	PAN027mat_vs_PAN010_joint	chrY	24	0
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr1	1	247769562
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr2	2	244346636
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr3	3	202556063
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr4	4	190448508
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr5	5	182149871
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr6	6	172018402
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr7	7	161226487
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr8	8	146188273
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr9	9	136209149
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr10	10	134510189
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr11	11	134716119
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr12	12	133492916
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr13	13	106744078
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr14	14	103031843
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr15	15	98817628
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr16	16	90505374
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr17	17	83721253
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr18	18	80492778
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr19	19	63523024
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr20	20	66521058
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr21	21	43903356
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chr22	22	48384128
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chrX	23	154091348
2	PAN027_hap2_paternal_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027	PAN027#2	PAN027pat_vs_PAN011_joint	chrY	24	0
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr1	1	251033879
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr2	2	244372639
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr3	3	199739358
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr4	4	193293730
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr5	5	183118583
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr6	6	171880735
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr7	7	161037122
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr8	8	146070509
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr9	9	134886033
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr10	10	134359451
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr11	11	134620917
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr12	12	133549075
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr13	13	110014588
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr14	14	109704436
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr15	15	93135805
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr16	16	90634376
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr17	17	84206388
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr18	18	82406549
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr19	19	63282345
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr20	20	66215834
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr21	21	45444014
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chr22	22	49489306
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chrX	23	154085596
3	PAN028_hap1_maternal_vs_PAN027	PAN028 maternal hap1 <- PAN027 mother	PAN028	PAN028#1	PAN028mat_vs_PAN027_joint	chrY	24	0
