gene_name,gene_type,functional_cluster,chromosome,arm,gene_start,gene_end,strand,phr_start,phr_end,phr_interval,leiden_community,sharing_pattern,brief_function
MIR8078,miRNA,miRNA/silencing,chr18,p,266046,266129,-,2017,267017,2017-267017,C2,"chr3,chr4,chr9,chr10,chr16,chr18",microRNA
OR4G3P,pseudogene,OR_actual,chr19,p,45082,45945,+,1962,211962,1962-211962,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21",Olfactory receptor pseudogene
OR4G1P,pseudogene,OR_actual,chr19,p,55607,56475,+,1962,211962,1962-211962,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21",Olfactory receptor pseudogene
OR4F17,protein_coding,OR_actual,chr19,p,58109,64470,+,1962,211962,1962-211962,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21",Olfactory receptor protein-coding
OR4F8P,pseudogene,OR_actual,chr19,p,107445,108379,-,1962,211962,1962-211962,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21",Olfactory receptor pseudogene
LINC01002,lncRNA,OR,chr19,p,148274,153467,-,1962,211962,1962-211962,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21",Olfactory receptor activity (lncRNA with OR annotation)
LOC101928344,lncRNA,snRNP,chr19,p,155272,197784,-,1962,211962,1962-211962,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr20,chr21",RNA splicing/spliceosome assembly
LINC01237,lncRNA,OR,chr2,q,242383553,242589193,+,242574127,242694126,242574127-242694126,C12,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",Olfactory receptor activity (lncRNA with OR annotation)
LOC101929828,lncRNA,snRNP,chr2,q,242676118,242677388,+,242574127,242694126,242574127-242694126,C12,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
LOC101929823,lncRNA,snRNP,chr20,p,56567,65815,-,2698,102698,2698-102698,C12,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
IQSEC3P3,pseudogene,miRNA/silencing,chr20,q,66147793,66148467,-,66102369,66207368,66102369-66207368,C5,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20",IQ motif and Sec7 domain pseudogene
LOC101928932_1,lncRNA,snRNP,chr3,q,200865934,200869348,-,200846363,201101362,200846363-201101362,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",RNA splicing/spliceosome assembly
OR4F8BP,pseudogene,OR_actual,chr3,q,200993423,200995431,+,200846363,201101362,200846363-201101362,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",Olfactory receptor pseudogene
OR4F5,protein_coding,OR_actual,chr3,q,201037880,201044322,-,200846363,201101362,200846363-201101362,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",Olfactory receptor protein-coding
OR4G1P_1,pseudogene,OR_actual,chr3,q,201045855,201046723,-,200846363,201101362,200846363-201101362,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",Olfactory receptor pseudogene
OR4G4P,pseudogene,OR_actual,chr3,q,201056319,201057262,-,200846363,201101362,200846363-201101362,C3,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",Olfactory receptor pseudogene
MIR8078_37,miRNA,miRNA/silencing,chr4,q,193437427,193437510,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_1,miRNA,miRNA/silencing,chr4,q,193440723,193440806,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_16,miRNA,miRNA/silencing,chr4,q,193444020,193444103,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_9,miRNA,miRNA/silencing,chr4,q,193447316,193447399,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_30,miRNA,miRNA/silencing,chr4,q,193450612,193450695,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_28,miRNA,miRNA/silencing,chr4,q,193453908,193453991,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_25,miRNA,miRNA/silencing,chr4,q,193457213,193457296,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_3,miRNA,miRNA/silencing,chr4,q,193460507,193460590,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_14,miRNA,miRNA/silencing,chr4,q,193463805,193463888,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_21,miRNA,miRNA/silencing,chr4,q,193467101,193467184,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_24,miRNA,miRNA/silencing,chr4,q,193470404,193470487,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_5,miRNA,miRNA/silencing,chr4,q,193473700,193473783,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_8,miRNA,miRNA/silencing,chr4,q,193476995,193477078,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_7,miRNA,miRNA/silencing,chr4,q,193480292,193480375,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_31,miRNA,miRNA/silencing,chr4,q,193483585,193483668,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_29,miRNA,miRNA/silencing,chr4,q,193486884,193486967,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_35,miRNA,miRNA/silencing,chr4,q,193490182,193490265,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_22,miRNA,miRNA/silencing,chr4,q,193493482,193493565,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_12,miRNA,miRNA/silencing,chr4,q,193496782,193496865,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_26,miRNA,miRNA/silencing,chr4,q,193500079,193500162,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_4,miRNA,miRNA/silencing,chr4,q,193503377,193503460,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_11,miRNA,miRNA/silencing,chr4,q,193506673,193506756,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_6,miRNA,miRNA/silencing,chr4,q,193509970,193510053,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_27,miRNA,miRNA/silencing,chr4,q,193513267,193513350,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_2,miRNA,miRNA/silencing,chr4,q,193516565,193516648,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_33,miRNA,miRNA/silencing,chr4,q,193519863,193519946,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_23,miRNA,miRNA/silencing,chr4,q,193523159,193523242,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_34,miRNA,miRNA/silencing,chr4,q,193526456,193526539,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_20,miRNA,miRNA/silencing,chr4,q,193529752,193529835,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_36,miRNA,miRNA/silencing,chr4,q,193533049,193533132,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_32,miRNA,miRNA/silencing,chr4,q,193536345,193536428,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
MIR8078_10,miRNA,miRNA/silencing,chr4,q,193539651,193539734,+,193392741,193572740,193392741-193572740,C1,"chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22",microRNA
OR4F3,protein_coding,OR_actual,chr5,q,181905487,181933378,+,181848925,182043924,181848925-182043924,C11,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",Olfactory receptor protein-coding
OR4F7P,pseudogene,OR_actual,chr6,q,172013163,172014100,+,171978883,172123882,171978883-172123882,C11,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",Olfactory receptor pseudogene
LOC101929756,lncRNA,snRNP,chr7,p,177344,183674,+,3375,178375,3375-178375,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
IL9RP1,pseudogene,miRNA/silencing,chr9,q,150400984,150409700,+,150390025,150615024,150390025-150615024,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22",Interleukin-9 receptor family (pseudogene/protein)
LOC101928932,lncRNA,snRNP,chr9,q,150461422,150464942,-,150390025,150615024,150390025-150615024,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
LOC101929819,lncRNA,snRNP,chr9,q,150533913,150548674,+,150390025,150615024,150390025-150615024,C3,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22",RNA splicing/spliceosome assembly
IL9R,protein_coding,miRNA/silencing,chrX,q,154225700,154241023,+,153926918,154256917,153926918-154256917,C14,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20",Interleukin-9 receptor family (pseudogene/protein)
