gene_name,total_copies,arms,chromosomes,communities,gene_biotype
LOC101928932,39,"chr10q,chr11q,chr12q,chr13q,chr15q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr3q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q,chrXq,chrYq","chr1,chr10,chr11,chr12,chr13,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY","18,27",lncRNA
LOC101929650,18,"chr10q,chr11q,chr13q,chr15q,chr16q,chr17q,chr19q,chr1p,chr20q,chr21q,chr22q,chr2p,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr22,chr4,chr5,chr6,chr7,chr8,chr9",11,lncRNA
LOC101929756,19,"chr10p,chr11p,chr13p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr21p,chr22p,chr2p,chr3p,chr4p,chr5p,chr6p,chr7p,chr8p,chr9p","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9",23,lncRNA
LOC101929819,20,"chr10q,chr11q,chr13q,chr15q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr3q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9",27,lncRNA
LOC101929823,22,"chr10p,chr11p,chr12p,chr13p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr21p,chr22p,chr2p,chr3p,chr4p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr10,chr11,chr12,chr13,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY",16,lncRNA
LOC101929828,39,"chr10q,chr11q,chr13q,chr15q,chr16q,chr17q,chr18q,chr19q,chr1p,chr1q,chr20q,chr21q,chr22q,chr2q,chr3q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9","15,9",lncRNA
LOC105375112,19,"chr10p,chr11p,chr13p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr21p,chr22p,chr2p,chr3p,chr4p,chr5p,chr6p,chr7p,chr8p,chr9p","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9",23,protein_coding
LOC112268260,14,"chr11p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p","chr1,chr11,chr15,chr16,chr17,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9",1,protein_coding
LOC124905300,2,"chrXp,chrYp","chrX,chrY",28,protein_coding
MIR8078,672,"chr10p,chr10q,chr11q,chr13q,chr16p,chr16q,chr17q,chr18p,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr3p,chr4p,chr4q,chr5q,chr6q,chr7q,chr8q,chr9p,chr9q","chr1,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9","12,20,4",miRNA
OR4F17,20,"chr10p,chr11p,chr12p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr21p,chr2p,chr3p,chr4p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY",13,protein_coding
OR4F29,14,"chr11p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p","chr1,chr11,chr15,chr16,chr17,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9",1,protein_coding
OR4F3,19,"chr10q,chr11q,chr13q,chr15q,chr16q,chr17q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr3q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9",21,protein_coding
OR4F5,19,"chr10q,chr11q,chr12q,chr15q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr2q,chr3q,chr5q,chr6q,chr7q,chr8q,chr9q,chrXq,chrYq","chr1,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",18,protein_coding
PLCXD1,2,"chrXp,chrYp","chrX,chrY",28,protein_coding
PPP2R3B,2,"chrXp,chrYp","chrX,chrY",28,protein_coding
SCGB1C1,17,"chr11p,chr12p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr11,chr12,chr15,chr16,chr17,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",5,protein_coding
SHOX,2,"chrXp,chrYp","chrX,chrY",28,protein_coding
SPRY3,16,"chr11q,chr12q,chr15q,chr16q,chr19q,chr1q,chr20q,chr2q,chr3q,chr5q,chr6q,chr7q,chr8q,chr9q,chrXq,chrYq","chr1,chr11,chr12,chr15,chr16,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",29,protein_coding
TUBB8,5,"chr10p,chr16p,chr18p,chr3p,chr9p","chr10,chr16,chr18,chr3,chr9",3,protein_coding
TUBB8B,6,"chr10p,chr16p,chr18p,chr3p,chr4p,chr9p","chr10,chr16,chr18,chr3,chr4,chr9",12,protein_coding
VAMP7,16,"chr11q,chr12q,chr15q,chr16q,chr19q,chr1q,chr20q,chr2q,chr3q,chr5q,chr6q,chr7q,chr8q,chr9q,chrXq,chrYq","chr1,chr11,chr12,chr15,chr16,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",29,protein_coding
WASHC1,16,"chr11p,chr12p,chr15p,chr16p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr11,chr12,chr15,chr16,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",26,protein_coding
ZNF595,7,"chr10p,chr13p,chr14p,chr15p,chr21p,chr22p,chr4p","chr10,chr13,chr14,chr15,chr21,chr22,chr4",19,protein_coding
