arm_a	arm_b	similarity	distance	community_a	community_b	same_community	pair_label
chr4_q	chr9_q	0.0215424564705879	0.978457543529412	C1	C3	FALSE	4q-9q
chr10_q	chr12_q	0.00658898298740396	0.993411017012596	C1	C4	FALSE	10q-12q
chr10_q	chr7_q	0.00761096057077504	0.992389039429225	C1	C4	FALSE	10q-7q
chr4_q	chr7_q	0.00363522414616102	0.996364775853839	C1	C4	FALSE	4q-7q
chr10_q	chr12_p	0.00342941006799202	0.996570589932008	C1	C5	FALSE	10q-12p
chr10_q	chr20_q	0.01163602718936	0.98836397281064	C1	C5	FALSE	10q-20q
chr10_q	chr6_p	0.0135928396644029	0.986407160335597	C1	C5	FALSE	10q-6p
chr10_q	chr9_p	0.00551500522083803	0.994484994779162	C1	C5	FALSE	10q-9p
chr4_q	chr6_p	0.00831286173078305	0.991687138269217	C1	C5	FALSE	4q-6p
chr4_q	chr9_p	0.00293972427721101	0.997060275722789	C1	C5	FALSE	4q-9p
chr10_q	chr13_q	0.06664768053502	0.93335231946498	C1	C6	FALSE	10q-13q
chr10_q	chr17_q	0.086664029489401	0.913335970510599	C1	C6	FALSE	10q-17q
chr10_q	chr19_q	0.1416192878044	0.8583807121956	C1	C6	FALSE	10q-19q
chr10_q	chr21_q	0.134844749415134	0.865155250584866	C1	C6	FALSE	10q-21q
chr10_q	chr22_q	0.141344268951136	0.858655731048864	C1	C6	FALSE	10q-22q
chr10_q	chr13_p	0.00590934520123798	0.994090654798762	C1	C7	FALSE	10q-13p
chr10_q	chr14_p	0.00843541574009499	0.991564584259905	C1	C7	FALSE	10q-14p
chr10_q	chr15_p	0.00634245305180903	0.993657546948191	C1	C7	FALSE	10q-15p
chr10_q	chr21_p	0.00959821426156704	0.990401785738433	C1	C7	FALSE	10q-21p
chr10_q	chr22_p	0.006910004836015	0.993089995163985	C1	C7	FALSE	10q-22p
chr10_q	chr15_q	0.00429535994709696	0.995704640052903	C1	C8	FALSE	10q-15q
chr10_q	chr16_p	0.011532624846319	0.988467375153681	C1	C9	FALSE	10q-16p
chr17_p	chr4_q	0.00285986702806096	0.997140132971939	C10	C1	FALSE	17p-4q
chr17_p	chr5_q	0.012737107552333	0.987262892447667	C10	C11	FALSE	17p-5q
chr17_p	chr6_q	0.00966195056818198	0.990338049431818	C10	C11	FALSE	17p-6q
chr17_p	chr8_p	0.014646158243333	0.985353841756667	C10	C11	FALSE	17p-8p
chr17_p	chr2_q	0.010982998075397	0.989017001924603	C10	C12	FALSE	17p-2q
chr17_p	chr20_p	0.020072853126971	0.979927146873029	C10	C12	FALSE	17p-20p
chr17_p	chr4_p	0.000881863206512956	0.999118136793487	C10	C13	FALSE	17p-4p
chr17_p	chrX_q	0.00146364926271603	0.998536350737284	C10	C14	FALSE	17p-Xq
chr17_p	chrY_q	0.00146066294642899	0.998539337053571	C10	C14	FALSE	17p-Yq
chr17_p	chrX_p	2.3319817605949e-05	0.999976680182394	C10	C15	FALSE	17p-Xp
chr17_p	chrY_p	2.37290372669952e-05	0.999976270962733	C10	C15	FALSE	17p-Yp
chr17_p	chr18_p	0.00202390006406195	0.997976099935938	C10	C2	FALSE	17p-18p
chr17_p	chr19_p	0.016103611452847	0.983896388547153	C10	C3	FALSE	17p-19p
chr17_p	chr3_q	0.053187698005406	0.946812301994594	C10	C3	FALSE	17p-3q
chr17_p	chr7_p	0.089620676675636	0.910379323324364	C10	C3	FALSE	17p-7p
chr17_p	chr9_q	0.0615220428621031	0.938477957137897	C10	C3	FALSE	17p-9q
chr17_p	chr7_q	0.00084744511731305	0.999152554882687	C10	C4	FALSE	17p-7q
chr17_p	chr20_q	0.010080304160845	0.989919695839155	C10	C5	FALSE	17p-20q
chr17_p	chr6_p	0.010630598396283	0.989369401603717	C10	C5	FALSE	17p-6p
chr17_p	chr9_p	0.00547854060706299	0.994521459392937	C10	C5	FALSE	17p-9p
chr17_p	chr17_q	0.011282232286387	0.988717767713613	C10	C6	FALSE	17p-17q
chr17_p	chr19_q	0.013453756510824	0.986546243489176	C10	C6	FALSE	17p-19q
chr17_p	chr21_q	0.013423691337894	0.986576308662106	C10	C6	FALSE	17p-21q
chr17_p	chr22_q	0.0133527032490079	0.986647296750992	C10	C6	FALSE	17p-22q
chr17_p	chr21_p	0.000367403459821003	0.999632596540179	C10	C7	FALSE	17p-21p
chr17_p	chr22_p	0.000290051359305044	0.999709948640695	C10	C7	FALSE	17p-22p
chr1_p	chr10_q	0.00854447752708398	0.991455522472916	C11	C1	FALSE	1p-10q
chr1_p	chr4_q	0.00659447654221501	0.993405523457785	C11	C1	FALSE	1p-4q
chr1_p	chr17_p	0.011546114175636	0.988453885824364	C11	C10	FALSE	1p-17p
chr1_p	chr5_q	0.460594497282747	0.539405502717253	C11	C11	TRUE	1p-5q
chr1_p	chr6_q	0.322093015135949	0.677906984864051	C11	C11	TRUE	1p-6q
chr1_p	chr8_p	0.251959789435904	0.748040210564096	C11	C11	TRUE	1p-8p
chr5_q	chr6_q	0.602680592403905	0.397319407596095	C11	C11	TRUE	5q-6q
chr5_q	chr8_p	0.366472941077342	0.633527058922658	C11	C11	TRUE	5q-8p
chr6_q	chr8_p	0.431054213556967	0.568945786443033	C11	C11	TRUE	6q-8p
chr1_p	chr2_q	0.13035328971588	0.86964671028412	C11	C12	FALSE	1p-2q
chr1_p	chr20_p	0.17699211129255	0.82300788870745	C11	C12	FALSE	1p-20p
chr1_p	chr4_p	0.00968638188498905	0.990313618115011	C11	C13	FALSE	1p-4p
chr1_p	chrX_q	0.00391862207693405	0.996081377923066	C11	C14	FALSE	1p-Xq
chr1_p	chrY_q	0.00342732481124797	0.996572675188752	C11	C14	FALSE	1p-Yq
chr5_q	chrX_q	0.00224736851060903	0.997752631489391	C11	C14	FALSE	5q-Xq
chr5_q	chrY_q	0.00167580419518498	0.998324195804815	C11	C14	FALSE	5q-Yq
chr6_q	chrX_q	0.00218323923553698	0.997816760764463	C11	C14	FALSE	6q-Xq
chr6_q	chrY_q	0.00185169365436499	0.998148306345635	C11	C14	FALSE	6q-Yq
chr8_p	chrX_q	0.00279915183935397	0.997200848160646	C11	C14	FALSE	8p-Xq
chr8_p	chrY_q	0.00256951991007004	0.99743048008993	C11	C14	FALSE	8p-Yq
chr1_p	chrX_p	6.8133013559013e-05	0.999931866986441	C11	C15	FALSE	1p-Xp
chr1_p	chrY_p	4.05496823510099e-05	0.999959450317649	C11	C15	FALSE	1p-Yp
chr5_q	chrX_p	1.72588852630495e-05	0.999982741114737	C11	C15	FALSE	5q-Xp
chr5_q	chrY_p	1.88083357649527e-05	0.999981191664235	C11	C15	FALSE	5q-Yp
chr6_q	chrX_p	2.34116138450036e-05	0.999976588386155	C11	C15	FALSE	6q-Xp
chr6_q	chrY_p	2.1924085968017e-05	0.999978075914032	C11	C15	FALSE	6q-Yp
chr8_p	chrX_p	4.118139631204e-05	0.999958818603688	C11	C15	FALSE	8p-Xp
chr8_p	chrY_p	4.1280733814042e-05	0.999958719266186	C11	C15	FALSE	8p-Yp
chr1_p	chr10_p	0.016516286625024	0.983483713374976	C11	C2	FALSE	1p-10p
chr1_p	chr18_p	0.021473771157114	0.978526228842886	C11	C2	FALSE	1p-18p
chr1_p	chr11_p	0.265027497110445	0.734972502889555	C11	C3	FALSE	1p-11p
chr1_p	chr16_q	0.183795368464675	0.816204631535325	C11	C3	FALSE	1p-16q
chr1_p	chr19_p	0.276159976106306	0.723840023893694	C11	C3	FALSE	1p-19p
chr1_p	chr3_q	0.266056815503121	0.733943184496879	C11	C3	FALSE	1p-3q
chr1_p	chr7_p	0.234233218922666	0.765766781077334	C11	C3	FALSE	1p-7p
chr1_p	chr9_q	0.232189222557078	0.767810777442922	C11	C3	FALSE	1p-9q
chr5_q	chr7_p	0.279374272690591	0.720625727309409	C11	C3	FALSE	5q-7p
chr5_q	chr9_q	0.296881551692767	0.703118448307233	C11	C3	FALSE	5q-9q
chr6_q	chr7_p	0.135670273225405	0.864329726774595	C11	C3	FALSE	6q-7p
chr6_q	chr9_q	0.160370724570707	0.839629275429293	C11	C3	FALSE	6q-9q
chr8_p	chr9_q	0.118836876754003	0.881163123245997	C11	C3	FALSE	8p-9q
chr1_p	chr12_q	9.68004545870427e-05	0.999903199545413	C11	C4	FALSE	1p-12q
chr1_p	chr7_q	0.000284258318487995	0.999715741681512	C11	C4	FALSE	1p-7q
chr5_q	chr7_q	0.00361885104984905	0.996381148950151	C11	C4	FALSE	5q-7q
chr6_q	chr7_q	0.00439009612209496	0.995609903877905	C11	C4	FALSE	6q-7q
chr1_p	chr12_p	0.01952369143383	0.98047630856617	C11	C5	FALSE	1p-12p
chr1_p	chr20_q	0.084162948348238	0.915837051651762	C11	C5	FALSE	1p-20q
chr1_p	chr6_p	0.20642343990561	0.79357656009439	C11	C5	FALSE	1p-6p
chr1_p	chr9_p	0.030450061292197	0.969549938707803	C11	C5	FALSE	1p-9p
chr5_q	chr6_p	0.296627258257823	0.703372741742177	C11	C5	FALSE	5q-6p
chr5_q	chr9_p	0.016441001303332	0.983558998696668	C11	C5	FALSE	5q-9p
chr6_q	chr9_p	0.014616976709618	0.985383023290382	C11	C5	FALSE	6q-9p
chr8_p	chr9_p	0.019466155182665	0.980533844817335	C11	C5	FALSE	8p-9p
chr1_p	chr1_q	0.00911361992201498	0.990886380077985	C11	C6	FALSE	1p-1q
chr1_p	chr13_q	0.00332336389338095	0.996676636106619	C11	C6	FALSE	1p-13q
chr1_p	chr17_q	0.070655005072442	0.929344994927558	C11	C6	FALSE	1p-17q
chr1_p	chr19_q	0.012006526697841	0.987993473302159	C11	C6	FALSE	1p-19q
chr1_p	chr21_q	0.011888545173953	0.988111454826047	C11	C6	FALSE	1p-21q
chr1_p	chr22_q	0.012120263810249	0.987879736189751	C11	C6	FALSE	1p-22q
chr1_p	chr13_p	0.00453951859529	0.99546048140471	C11	C7	FALSE	1p-13p
chr1_p	chr14_p	0.00548726282626499	0.994512737173735	C11	C7	FALSE	1p-14p
chr1_p	chr15_p	0.00375516559226396	0.996244834407736	C11	C7	FALSE	1p-15p
chr1_p	chr21_p	0.00459035545583397	0.995409644544166	C11	C7	FALSE	1p-21p
chr1_p	chr22_p	0.00478679136720095	0.995213208632799	C11	C7	FALSE	1p-22p
chr1_p	chr15_q	0.14349830472079	0.85650169527921	C11	C8	FALSE	1p-15q
chr1_p	chr16_p	0.0674915602956671	0.932508439704333	C11	C9	FALSE	1p-16p
chr2_q	chr4_q	0.042743666672891	0.957256333327109	C12	C1	FALSE	2q-4q
chr20_p	chr4_q	0.031824153839019	0.968175846160981	C12	C1	FALSE	20p-4q
chr2_q	chr5_q	0.177163958036291	0.822836041963709	C12	C11	FALSE	2q-5q
chr2_q	chr6_q	0.174450056636364	0.825549943363636	C12	C11	FALSE	2q-6q
chr2_q	chr8_p	0.12877195657933	0.87122804342067	C12	C11	FALSE	2q-8p
chr20_p	chr5_q	0.205484615834778	0.794515384165222	C12	C11	FALSE	20p-5q
chr20_p	chr6_q	0.162507341862332	0.837492658137668	C12	C11	FALSE	20p-6q
chr20_p	chr8_p	0.165603025791183	0.834396974208817	C12	C11	FALSE	20p-8p
chr2_q	chr20_p	0.261488725945548	0.738511274054452	C12	C12	TRUE	2q-20p
chr2_q	chr4_p	0.018661516934524	0.981338483065476	C12	C13	FALSE	2q-4p
chr20_p	chr4_p	0.031531937470435	0.968468062529565	C12	C13	FALSE	20p-4p
chr2_q	chrX_q	0.00233909734680104	0.997660902653199	C12	C14	FALSE	2q-Xq
chr2_q	chrY_q	0.00219356521452096	0.997806434785479	C12	C14	FALSE	2q-Yq
chr20_p	chrX_q	0.020374021954646	0.979625978045354	C12	C14	FALSE	20p-Xq
chr20_p	chrY_q	0.020134193910782	0.979865806089218	C12	C14	FALSE	20p-Yq
chr2_q	chrX_p	3.09148352020117e-05	0.999969085164798	C12	C15	FALSE	2q-Xp
chr2_q	chrY_p	2.51273671499908e-05	0.99997487263285	C12	C15	FALSE	2q-Yp
chr20_p	chrX_p	0.000751045837806052	0.999248954162194	C12	C15	FALSE	20p-Xp
chr20_p	chrY_p	0.00023050043190298	0.999769499568097	C12	C15	FALSE	20p-Yp
chr2_q	chr3_q	0.073877365331295	0.926122634668705	C12	C3	FALSE	2q-3q
chr2_q	chr7_p	0.198601681400304	0.801398318599696	C12	C3	FALSE	2q-7p
chr2_q	chr9_q	0.147175783412346	0.852824216587654	C12	C3	FALSE	2q-9q
chr20_p	chr3_q	0.198638604684367	0.801361395315633	C12	C3	FALSE	20p-3q
chr20_p	chr7_p	0.347473238440836	0.652526761559164	C12	C3	FALSE	20p-7p
chr20_p	chr9_q	0.212900075192544	0.787099924807456	C12	C3	FALSE	20p-9q
chr2_q	chr7_q	0.00848848323368201	0.991511516766318	C12	C4	FALSE	2q-7q
chr20_p	chr7_q	0.006094344440155	0.993905655559845	C12	C4	FALSE	20p-7q
chr2_q	chr20_q	0.129728002673187	0.870271997326813	C12	C5	FALSE	2q-20q
chr2_q	chr6_p	0.142110643288036	0.857889356711964	C12	C5	FALSE	2q-6p
chr2_q	chr9_p	0.025039800128968	0.974960199871032	C12	C5	FALSE	2q-9p
chr20_p	chr20_q	0.269109265704863	0.730890734295137	C12	C5	FALSE	20p-20q
chr20_p	chr6_p	0.2515321055897	0.7484678944103	C12	C5	FALSE	20p-6p
chr20_p	chr9_p	0.231405608734429	0.768594391265571	C12	C5	FALSE	20p-9p
chr2_q	chr21_q	0.12788041742143	0.87211958257857	C12	C6	FALSE	2q-21q
chr2_q	chr22_q	0.132678459402469	0.867321540597531	C12	C6	FALSE	2q-22q
chr20_p	chr21_q	0.098683016657079	0.901316983342921	C12	C6	FALSE	20p-21q
chr20_p	chr22_q	0.103967041957322	0.896032958042678	C12	C6	FALSE	20p-22q
chr2_q	chr21_p	0.00578837021072798	0.994211629789272	C12	C7	FALSE	2q-21p
chr2_q	chr22_p	0.00574396099651198	0.994256039003488	C12	C7	FALSE	2q-22p
chr20_p	chr21_p	0.00893446839080503	0.991065531609195	C12	C7	FALSE	20p-21p
chr20_p	chr22_p	0.00882711481998399	0.991172885180016	C12	C7	FALSE	20p-22p
chr4_p	chr4_q	0.058649237369948	0.941350762630052	C13	C1	FALSE	4p-4q
chr4_p	chr5_q	0.00908740687420095	0.990912593125799	C13	C11	FALSE	4p-5q
chr4_p	chr6_q	0.011654465503247	0.988345534496753	C13	C11	FALSE	4p-6q
chr4_p	chr8_p	0.015712339636619	0.984287660363381	C13	C11	FALSE	4p-8p
chr4_p	chrX_q	0.000395609983765977	0.999604390016234	C13	C14	FALSE	4p-Xq
chr4_p	chrY_q	7.38927466410466e-05	0.999926107253359	C13	C14	FALSE	4p-Yq
chr4_p	chrX_p	2.1550281239513e-06	0.999997844971876	C13	C15	FALSE	4p-Xp
chr4_p	chrY_p	1.05905473601897e-06	0.999998940945264	C13	C15	FALSE	4p-Yp
chr4_p	chr7_p	0.02126274520446	0.97873725479554	C13	C3	FALSE	4p-7p
chr4_p	chr9_q	0.00899648203869097	0.991003517961309	C13	C3	FALSE	4p-9q
chr4_p	chr7_q	1.50813180650466e-05	0.999984918681935	C13	C4	FALSE	4p-7q
chr4_p	chr6_p	0.008956767493148	0.991043232506852	C13	C5	FALSE	4p-6p
chr4_p	chr9_p	0.00224019499860495	0.997759805001395	C13	C5	FALSE	4p-9p
chrX_q	chrY_q	0.984675654425442	0.0153243455745575	C14	C14	TRUE	Xq-Yq
chrX_q	chrY_p	0.020944840974967	0.979055159025033	C14	C15	FALSE	Xq-Yp
chrX_p	chrX_q	7.55392734690385e-05	0.999924460726531	C15	C14	FALSE	Xp-Xq
chrX_p	chrY_q	7.55315348049956e-05	0.999924468465195	C15	C14	FALSE	Xp-Yq
chrY_p	chrY_q	0.021058704476969	0.978941295523031	C15	C14	FALSE	Yp-Yq
chrX_p	chrY_p	0.711415865609626	0.288584134390374	C15	C15	TRUE	Xp-Yp
chr10_p	chr10_q	0	1	C2	C1	FALSE	10p-10q
chr10_p	chr4_q	0	1	C2	C1	FALSE	10p-4q
chr18_p	chr4_q	0.018301393262238	0.981698606737762	C2	C1	FALSE	18p-4q
chr10_p	chr17_p	0	1	C2	C10	FALSE	10p-17p
chr10_p	chr5_q	0	1	C2	C11	FALSE	10p-5q
chr10_p	chr6_q	0	1	C2	C11	FALSE	10p-6q
chr10_p	chr8_p	0	1	C2	C11	FALSE	10p-8p
chr18_p	chr5_q	0.00377300632517696	0.996226993674823	C2	C11	FALSE	18p-5q
chr18_p	chr6_q	0.00476510865266999	0.99523489134733	C2	C11	FALSE	18p-6q
chr18_p	chr8_p	0.012640111314548	0.987359888685452	C2	C11	FALSE	18p-8p
chr10_p	chr2_q	0	1	C2	C12	FALSE	10p-2q
chr10_p	chr20_p	0	1	C2	C12	FALSE	10p-20p
chr18_p	chr2_q	0.011597577713005	0.988402422286995	C2	C12	FALSE	18p-2q
chr18_p	chr20_p	0.0224444009988219	0.977555599001178	C2	C12	FALSE	18p-20p
chr10_p	chr4_p	0	1	C2	C13	FALSE	10p-4p
chr18_p	chr4_p	0.024130155879645	0.975869844120355	C2	C13	FALSE	18p-4p
chr10_p	chrX_q	3.48899309120521e-05	0.999965110069088	C2	C14	FALSE	10p-Xq
chr10_p	chrY_q	3.50304852160255e-05	0.999964969514784	C2	C14	FALSE	10p-Yq
chr18_p	chrX_q	0.0126124078883	0.9873875921117	C2	C14	FALSE	18p-Xq
chr18_p	chrY_q	0.012644402122275	0.987355597877725	C2	C14	FALSE	18p-Yq
chr10_p	chrX_p	0	1	C2	C15	FALSE	10p-Xp
chr10_p	chrY_p	8.20247325949985e-07	0.999999179752674	C2	C15	FALSE	10p-Yp
chr18_p	chrX_p	5.59008378897552e-06	0.999994409916211	C2	C15	FALSE	18p-Xp
chr18_p	chrY_p	0.000288858866250963	0.999711141133749	C2	C15	FALSE	18p-Yp
chr10_p	chr18_p	0.620230531420502	0.379769468579498	C2	C2	TRUE	10p-18p
chr10_p	chr11_p	0	1	C2	C3	FALSE	10p-11p
chr10_p	chr16_q	0.0573501372349891	0.942649862765011	C2	C3	FALSE	10p-16q
chr10_p	chr19_p	0	1	C2	C3	FALSE	10p-19p
chr10_p	chr3_q	0.048648972963738	0.951351027036262	C2	C3	FALSE	10p-3q
chr10_p	chr7_p	0.00981562810126102	0.990184371898739	C2	C3	FALSE	10p-7p
chr10_p	chr9_q	0.169580002954602	0.830419997045398	C2	C3	FALSE	10p-9q
chr18_p	chr19_p	0.014973098246575	0.985026901753425	C2	C3	FALSE	18p-19p
chr18_p	chr3_q	0.048794005276258	0.951205994723742	C2	C3	FALSE	18p-3q
chr18_p	chr7_p	0.025355947903229	0.974644052096771	C2	C3	FALSE	18p-7p
chr18_p	chr9_q	0.221741570936721	0.778258429063279	C2	C3	FALSE	18p-9q
chr10_p	chr12_q	0	1	C2	C4	FALSE	10p-12q
chr10_p	chr7_q	0	1	C2	C4	FALSE	10p-7q
chr18_p	chr7_q	8.1054807054004e-05	0.999918945192946	C2	C4	FALSE	18p-7q
chr10_p	chr12_p	0	1	C2	C5	FALSE	10p-12p
chr10_p	chr20_q	0	1	C2	C5	FALSE	10p-20q
chr10_p	chr6_p	0	1	C2	C5	FALSE	10p-6p
chr10_p	chr9_p	0	1	C2	C5	FALSE	10p-9p
chr18_p	chr20_q	0.00143076414639198	0.998569235853608	C2	C5	FALSE	18p-20q
chr18_p	chr6_p	0.00540836113172205	0.994591638868278	C2	C5	FALSE	18p-6p
chr18_p	chr9_p	0.00216794132867504	0.997832058671325	C2	C5	FALSE	18p-9p
chr10_p	chr13_q	0.00291293329043196	0.997087066709568	C2	C6	FALSE	10p-13q
chr10_p	chr17_q	0	1	C2	C6	FALSE	10p-17q
chr10_p	chr19_q	0	1	C2	C6	FALSE	10p-19q
chr10_p	chr21_q	0	1	C2	C6	FALSE	10p-21q
chr10_p	chr22_q	0	1	C2	C6	FALSE	10p-22q
chr18_p	chr19_q	0.021042093787717	0.978957906212283	C2	C6	FALSE	18p-19q
chr18_p	chr21_q	0.014733928066356	0.985266071933644	C2	C6	FALSE	18p-21q
chr18_p	chr22_q	0.019664950518186	0.980335049481814	C2	C6	FALSE	18p-22q
chr10_p	chr13_p	0	1	C2	C7	FALSE	10p-13p
chr10_p	chr14_p	0	1	C2	C7	FALSE	10p-14p
chr10_p	chr15_p	0	1	C2	C7	FALSE	10p-15p
chr10_p	chr21_p	0	1	C2	C7	FALSE	10p-21p
chr10_p	chr22_p	0	1	C2	C7	FALSE	10p-22p
chr18_p	chr21_p	0.00618519655559002	0.99381480344441	C2	C7	FALSE	18p-21p
chr18_p	chr22_p	0.00607434431619402	0.993925655683806	C2	C7	FALSE	18p-22p
chr10_p	chr15_q	0	1	C2	C8	FALSE	10p-15q
chr10_p	chr16_p	0.057968620971778	0.942031379028222	C2	C9	FALSE	10p-16p
chr11_p	chr4_q	0.00764360890606197	0.992356391093938	C3	C1	FALSE	11p-4q
chr16_q	chr4_q	0.027653623065262	0.972346376934738	C3	C1	FALSE	16q-4q
chr19_p	chr4_q	0.02025078279699	0.97974921720301	C3	C1	FALSE	19p-4q
chr3_q	chr4_q	0.006573782688305	0.993426217311695	C3	C1	FALSE	3q-4q
chr11_p	chr17_p	0.175253870904416	0.824746129095584	C3	C10	FALSE	11p-17p
chr16_q	chr17_p	0.112379641455218	0.887620358544782	C3	C10	FALSE	16q-17p
chr11_p	chr5_q	0.30546439474972	0.69453560525028	C3	C11	FALSE	11p-5q
chr11_p	chr6_q	0.182051987180398	0.817948012819602	C3	C11	FALSE	11p-6q
chr11_p	chr8_p	0.153526077759474	0.846473922240526	C3	C11	FALSE	11p-8p
chr16_q	chr5_q	0.260484105937629	0.739515894062371	C3	C11	FALSE	16q-5q
chr16_q	chr6_q	0.123065113783154	0.876934886216846	C3	C11	FALSE	16q-6q
chr16_q	chr8_p	0.095497484438976	0.904502515561024	C3	C11	FALSE	16q-8p
chr19_p	chr5_q	0.315797396333983	0.684202603666017	C3	C11	FALSE	19p-5q
chr19_p	chr6_q	0.175023405681818	0.824976594318182	C3	C11	FALSE	19p-6q
chr19_p	chr8_p	0.173991182832592	0.826008817167408	C3	C11	FALSE	19p-8p
chr3_q	chr5_q	0.318869962430474	0.681130037569526	C3	C11	FALSE	3q-5q
chr3_q	chr6_q	0.181275479467264	0.818724520532736	C3	C11	FALSE	3q-6q
chr3_q	chr8_p	0.137500480664837	0.862499519335163	C3	C11	FALSE	3q-8p
chr7_p	chr8_p	0.137017427419194	0.862982572580806	C3	C11	FALSE	7p-8p
chr11_p	chr2_q	0.105114707147817	0.894885292852183	C3	C12	FALSE	11p-2q
chr11_p	chr20_p	0.24681790479147	0.75318209520853	C3	C12	FALSE	11p-20p
chr16_q	chr2_q	0.201524182118288	0.798475817881712	C3	C12	FALSE	16q-2q
chr16_q	chr20_p	0.273262084258863	0.726737915741137	C3	C12	FALSE	16q-20p
chr19_p	chr2_q	0.155757917301587	0.844242082698413	C3	C12	FALSE	19p-2q
chr19_p	chr20_p	0.393247393612476	0.606752606387524	C3	C12	FALSE	19p-20p
chr11_p	chr4_p	0.00971321548648796	0.990286784513512	C3	C13	FALSE	11p-4p
chr16_q	chr4_p	0.012217673182469	0.987782326817531	C3	C13	FALSE	16q-4p
chr19_p	chr4_p	0.020323670157176	0.979676329842824	C3	C13	FALSE	19p-4p
chr3_q	chr4_p	0.00423391243958904	0.995766087560411	C3	C13	FALSE	3q-4p
chr11_p	chrX_q	0.0111024546875	0.9888975453125	C3	C14	FALSE	11p-Xq
chr11_p	chrY_q	0.010501622701556	0.989498377298444	C3	C14	FALSE	11p-Yq
chr16_q	chrX_q	0.00566169624755397	0.994338303752446	C3	C14	FALSE	16q-Xq
chr16_q	chrY_q	0.00526214207590003	0.9947378579241	C3	C14	FALSE	16q-Yq
chr19_p	chrX_q	0.01712410015361	0.98287589984639	C3	C14	FALSE	19p-Xq
chr19_p	chrY_q	0.016329721859744	0.983670278140256	C3	C14	FALSE	19p-Yq
chr3_q	chrX_q	0.0168991936266329	0.983100806373367	C3	C14	FALSE	3q-Xq
chr3_q	chrY_q	0.015917280475066	0.984082719524934	C3	C14	FALSE	3q-Yq
chr7_p	chrX_q	0.00311867675384003	0.99688132324616	C3	C14	FALSE	7p-Xq
chr7_p	chrY_q	0.00276923667435203	0.997230763325648	C3	C14	FALSE	7p-Yq
chr9_q	chrX_q	0.016436976276094	0.983563023723906	C3	C14	FALSE	9q-Xq
chr9_q	chrY_q	0.015929533135314	0.984070466864686	C3	C14	FALSE	9q-Yq
chr11_p	chrX_p	0.000246944428517026	0.999753055571483	C3	C15	FALSE	11p-Xp
chr11_p	chrY_p	0.000120699194487983	0.999879300805512	C3	C15	FALSE	11p-Yp
chr16_q	chrX_p	8.98976727079503e-05	0.999910102327292	C3	C15	FALSE	16q-Xp
chr16_q	chrY_p	5.59336206059635e-05	0.999944066379394	C3	C15	FALSE	16q-Yp
chr19_p	chrX_p	0.000434703899435007	0.999565296100565	C3	C15	FALSE	19p-Xp
chr19_p	chrY_p	0.000187459877780016	0.99981254012222	C3	C15	FALSE	19p-Yp
chr3_q	chrX_p	0.000325541473782054	0.999674458526218	C3	C15	FALSE	3q-Xp
