event_id	pair	event_role	query_name	query_local_interval	expected_target_name	expected_target_haplotype	expected_target_arm	direct_support	direct_file	direct_filter_id	direct_target_name	direct_target_haplotype	direct_target_arm	direct_query_interval	overlap_bp	identity	aln_length	evidence_source_recommendation
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	274489-327185	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	52696	0.997941	103956	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	327185-328203	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	PAN027#1	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	1018	0.997941	103956	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	side fragment	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	328203-329410	PAN027#2#chr16.paternal:89997300-90497299_chr16_qarm	PAN027#2	chr16q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	1207	0.997941	103956	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	329410-331445	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027#1	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	2035	0.997941	103956	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	331445-351187	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	19742	0.997941	103956	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	351187-352192	PAN027#2#chr3.paternal:202048279-202548278_chr3_qarm	PAN027#2	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	1005	0.997941	103956	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	352192-366750	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027#1	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	14558	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	366750-368176	PAN027#2#chr3.paternal:202048279-202548278_chr3_qarm	PAN027#2	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	1426	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	368176-376481	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	8305	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	376481-379107	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027#1	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	2626	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	379107-472213	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	93106	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	472213-475780	PAN027#2#chr3.paternal:202048279-202548278_chr3_qarm	PAN027#2	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	3567	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	side fragment	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	475780-490946	PAN027#2#chr15.paternal:98308884-98808883_chr15_qarm	PAN027#2	chr15q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	15166	0.997359	148411	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	primary donor	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	490946-499901	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027#1	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	351124-499405	8459	0.997359	148411	keep_graph_primary_pending_manual_review
