gene_name,genome_wide_copies,gene_biotype,chromosomes,num_chromosomes
SNORD167,1,snoRNA,chr1,1
PUSL1,1,protein_coding,chr1,1
INTS11,1,protein_coding,chr1,1
MIR6727,1,miRNA,chr1,1
CPTP,1,protein_coding,chr1,1
TAS1R3,1,protein_coding,chr1,1
DVL1,1,protein_coding,chr1,1
MIR6808,1,miRNA,chr1,1
MXRA8,1,protein_coding,chr1,1
AURKAIP1,1,protein_coding,chr1,1
NDUFB4P8,1,pseudogene,chr1,1
CCNL2,1,protein_coding,chr1,1
MRPL20-AS1,1,lncRNA,chr1,1
MRPL20,1,protein_coding,chr1,1
RN7SL657P,1,pseudogene,chr1,1
MRPL20-DT,1,lncRNA,chr1,1
ANKRD65,1,protein_coding,chr1,1
ANKRD65-AS1,1,lncRNA,chr1,1
TMEM88B,1,protein_coding,chr1,1
LINC01770,1,lncRNA,chr1,1
LOC107985729,1,protein_coding,chr1,1
VWA1,1,protein_coding,chr1,1
ATAD3C,1,protein_coding,chr1,1
ATAD3B,1,protein_coding,chr1,1
ATAD3A,1,protein_coding,chr1,1
TMEM240,1,protein_coding,chr1,1
SSU72,1,protein_coding,chr1,1
FNDC10,1,protein_coding,chr1,1
LOC105378586,1,lncRNA,chr1,1
MIB2,1,protein_coding,chr1,1
LOC124903821,1,lncRNA,chr1,1
MMP23B,1,protein_coding,chr1,1
CDK11B,1,protein_coding,chr1,1
SLC35E2B,1,protein_coding,chr1,1
LOC100288379,1,pseudogene,chr1,1
LOC112268218,2,lncRNA,chr1,1
MMP23A,1,transcribed_pseudogene,chr1,1
CDK11A,1,protein_coding,chr1,1
SLC35E2A,1,transcribed_pseudogene,chr1,1
LOC100129381,1,pseudogene,chr1,1
NADK,1,protein_coding,chr1,1
GNB1,1,protein_coding,chr1,1
GNB1-DT,1,lncRNA,chr1,1
LOC124903822,1,lncRNA,chr1,1
CALML6,1,protein_coding,chr1,1
TMEM52,1,protein_coding,chr1,1
CFAP74,1,protein_coding,chr1,1
LOC107984872,1,lncRNA,chr1,1
LOC105378589,1,lncRNA,chr1,1
GABRD,1,protein_coding,chr1,1
LOC105378590,1,lncRNA,chr1,1
PRKCZ,1,protein_coding,chr1,1
PRKCZ-DT,1,lncRNA,chr1,1
PRKCZ-AS1,1,lncRNA,chr1,1
FAAP20,1,protein_coding,chr1,1
LOC112268219,1,lncRNA,chr1,1
LOC105378593,1,lncRNA,chr1,1
LOC124903823,1,lncRNA,chr1,1
SKI,1,protein_coding,chr1,1
LOC124903824,1,lncRNA,chr1,1
MORN1,1,protein_coding,chr1,1
LOC100129534,1,transcribed_pseudogene,chr1,1
RER1,1,protein_coding,chr1,1
PEX10,1,protein_coding,chr1,1
PLCH2,1,protein_coding,chr1,1
PANK4,1,protein_coding,chr1,1
HES5,1,protein_coding,chr1,1
TNFRSF14-AS1,1,lncRNA,chr1,1
TNFRSF14,1,protein_coding,chr1,1
LOC100996583,1,lncRNA,chr1,1
PRXL2B,1,protein_coding,chr1,1
MMEL1,1,protein_coding,chr1,1
MMEL1-AS1,1,lncRNA,chr1,1
TTC34,1,protein_coding,chr1,1
LOC105378602,1,lncRNA,chr1,1
LOC107985732,2,lncRNA,chr1,1
LOC105378601,1,lncRNA,chr1,1
LOC107984904,1,lncRNA,chr1,1
LOC105378599,1,lncRNA,chr1,1
LOC105378600,2,lncRNA,chr1,1
LOC112268220,1,lncRNA,chr1,1
LOC124903825,1,lncRNA,chr1,1
LOC124903826,1,lncRNA,chr1,1
ACTRT2,1,protein_coding,chr1,1
LOC124903827,1,protein_coding,chr1,1
PRDM16-DT,1,lncRNA,chr1,1
PRDM16,1,protein_coding,chr1,1
LOC100420339,1,pseudogene,chr1,1
MIR4251,1,miRNA,chr1,1
LOC105378606,1,lncRNA,chr1,1
LOC107984909,1,lncRNA,chr1,1
LOC105378605,1,lncRNA,chr1,1
LOC124903828,1,protein_coding,chr1,1
LOC105378604,1,lncRNA,chr1,1
ARHGEF16,1,protein_coding,chr1,1
MEGF6,1,protein_coding,chr1,1
LOC105378608,1,lncRNA,chr1,1
MIR551A,1,miRNA,chr1,1
TPRG1L,1,protein_coding,chr1,1
WRAP73,1,protein_coding,chr1,1
TP73,1,protein_coding,chr1,1
TP73-AS3,1,lncRNA,chr1,1
TP73-AS1,1,lncRNA,chr1,1
CCDC27,1,protein_coding,chr1,1
SMIM1,1,protein_coding,chr1,1
LRRC47,1,protein_coding,chr1,1
RN7SL574P,1,pseudogene,chr1,1
CEP104,1,protein_coding,chr1,1
LOC124903829,1,lncRNA,chr1,1
DFFB,1,protein_coding,chr1,1
C1orf174,1,protein_coding,chr1,1
LINC01134,1,lncRNA,chr1,1
LINC01346,1,lncRNA,chr1,1
LINC01345,1,lncRNA,chr1,1
EEF1DP6,1,pseudogene,chr1,1
LINC01777,1,lncRNA,chr1,1
LOC105376674,1,lncRNA,chr1,1
LOC124904578,1,lncRNA,chr1,1
LINC01646,1,lncRNA,chr1,1
AJAP1,1,protein_coding,chr1,1
LINC02781,1,lncRNA,chr1,1
LOC124904589,1,lncRNA,chr1,1
LOC102724429,1,lncRNA,chr1,1
LINC02782,1,lncRNA,chr1,1
LOC105376682,1,lncRNA,chr1,1
LOC124904590,1,lncRNA,chr1,1
LOC107984911,1,lncRNA,chr1,1
LOC105376686,1,lncRNA,chr1,1
LOC124900451,1,snoRNA,chr1,1
LOC124903830,1,lncRNA,chr1,1
MIR4689,1,miRNA,chr1,1
NPHP4,1,protein_coding,chr1,1
KCNAB2,1,protein_coding,chr1,1
LOC124903831,1,lncRNA,chr1,1
CHD5,1,protein_coding,chr1,1
RPL22,1,protein_coding,chr1,1
RNF207-AS1,1,lncRNA,chr1,1
RNF207,1,protein_coding,chr1,1
ICMT,1,protein_coding,chr1,1
ICMT-DT,1,lncRNA,chr1,1
HES3,1,protein_coding,chr1,1
GPR153,1,protein_coding,chr1,1
ACOT7,1,protein_coding,chr1,1
HES2,1,protein_coding,chr1,1
ESPN,1,protein_coding,chr1,1
MIR4252,1,miRNA,chr1,1
TNFRSF25,1,protein_coding,chr1,1
PLEKHG5,1,protein_coding,chr1,1
NOL9,1,protein_coding,chr1,1
RNU6-731P,1,pseudogene,chr1,1
TAS1R1,1,protein_coding,chr1,1
LOC107984912,1,lncRNA,chr1,1
ZBTB48,1,protein_coding,chr1,1
KLHL21,1,protein_coding,chr1,1
LOC107984913,1,lncRNA,chr1,1
PHF13,1,protein_coding,chr1,1
THAP3,1,protein_coding,chr1,1
DNAJC11,1,protein_coding,chr1,1
LINC01672,1,lncRNA,chr1,1
LOC124904847,1,snoRNA,chr1,1
CAMTA1-DT,1,lncRNA,chr1,1
CAMTA1,1,protein_coding,chr1,1
LOC124903832,1,lncRNA,chr1,1
RPL37P9,1,pseudogene,chr1,1
RNU1-8P,1,pseudogene,chr1,1
LOC124900385,1,protein_coding,chr1,1
CAMTA1-AS2,1,lncRNA,chr1,1
CAMTA1-AS1,1,lncRNA,chr1,1
LOC105376691,1,lncRNA,chr1,1
LOC105376689,1,lncRNA,chr1,1
VAMP3,1,protein_coding,chr1,1
PER3,1,protein_coding,chr1,1
LOC124903833,1,lncRNA,chr1,1
UTS2,1,protein_coding,chr1,1
TNFRSF9,1,protein_coding,chr1,1
TRUND-NNN4-1,1,pseudogene,chr1,1
PARK7,1,protein_coding,chr1,1
LOC124903834,1,lncRNA,chr1,1
ERRFI1,1,protein_coding,chr1,1
ERRFI1-DT,1,lncRNA,chr1,1
RPL7AP18,1,pseudogene,chr1,1
LOC107984915,1,lncRNA,chr1,1
LOC100129776,1,pseudogene,chr1,1
RNU1-7P,1,pseudogene,chr1,1
LINC01714,1,lncRNA,chr1,1
LOC105376695,1,lncRNA,chr1,1
LOC124903835,1,lncRNA,chr1,1
RNU6-991P,1,pseudogene,chr1,1
SLC45A1,1,protein_coding,chr1,1
RERE,1,protein_coding,chr1,1
RERE-AS1,1,lncRNA,chr1,1
SNORD128,1,snoRNA,chr1,1
LOC124900452,1,snoRNA,chr1,1
RPL7P11,1,pseudogene,chr1,1
RPL7P7,1,pseudogene,chr1,1
RPL27P3,1,pseudogene,chr1,1
RPL23AP19,1,pseudogene,chr1,1
ENO1,1,protein_coding,chr1,1
MIR6728,1,miRNA,chr1,1
ENO1-AS1,1,lncRNA,chr1,1
RNU6-304P,1,pseudogene,chr1,1
HMGN2P17,1,pseudogene,chr1,1
LOC112268261,1,lncRNA,chr1,1
CA6,1,protein_coding,chr1,1
RN7SL451P,1,pseudogene,chr1,1
SLC2A7,1,protein_coding,chr1,1
SLC2A5,1,protein_coding,chr1,1
LOC124900441,1,ncRNA,chr1,1
GPR157,1,protein_coding,chr1,1
MIR34AHG,1,lncRNA,chr1,1
MIR34A,1,miRNA,chr1,1
LNCTAM34A,1,lncRNA,chr1,1
H6PD,1,protein_coding,chr1,1
LOC124903836,1,lncRNA,chr1,1
SPSB1,1,protein_coding,chr1,1
LINC02606,1,lncRNA,chr1,1
RNA5SP40,1,pseudogene,chr1,1
SLC25A33,1,protein_coding,chr1,1
RPL9P11,1,pseudogene,chr1,1
TMEM201,1,protein_coding,chr1,1
LOC124903837,1,protein_coding,chr1,1
PIK3CD,1,protein_coding,chr1,1
LOC105376712,1,lncRNA,chr1,1
PIK3CD-AS1,1,lncRNA,chr1,1
RPL26P7,1,pseudogene,chr1,1
PIK3CD-AS2,1,lncRNA,chr1,1
LOC124903839,1,lncRNA,chr1,1
CLSTN1,1,protein_coding,chr1,1
MZT1P1,1,pseudogene,chr1,1
CTNNBIP1,1,protein_coding,chr1,1
LOC105376717,1,lncRNA,chr1,1
LOC124903838,1,lncRNA,chr1,1
LZIC,1,protein_coding,chr1,1
NMNAT1,1,protein_coding,chr1,1
RN7SKP269,1,pseudogene,chr1,1
TMEM274P,1,transcribed_pseudogene,chr1,1
MIR5697,1,miRNA,chr1,1
LOC124903840,1,protein_coding,chr1,1
RBP7,1,protein_coding,chr1,1
UBE4B,1,protein_coding,chr1,1
RPL21P21,1,pseudogene,chr1,1
PGAM1P11,1,pseudogene,chr1,1
RNU6-828P,1,pseudogene,chr1,1
KIF1B,1,protein_coding,chr1,1
RNU6-37P,1,pseudogene,chr1,1
RN7SL731P,1,pseudogene,chr1,1
PGD,1,protein_coding,chr1,1
CENPS,1,protein_coding,chr1,1
CENPS-CORT,1,protein_coding,chr1,1
CORT,1,protein_coding,chr1,1
DFFA,1,protein_coding,chr1,1
PEX14,1,protein_coding,chr1,1
RN7SL614P,1,pseudogene,chr1,1
CASZ1,1,protein_coding,chr1,1
LOC105376733,1,lncRNA,chr1,1
HSPE1P24,1,pseudogene,chr1,1
LOC105376735,1,lncRNA,chr1,1
C1orf127,1,protein_coding,chr1,1
CFL1P6,1,pseudogene,chr1,1
TARDBP,1,protein_coding,chr1,1
MASP2,1,protein_coding,chr1,1
SRM,1,protein_coding,chr1,1
EXOSC10,1,protein_coding,chr1,1
EXOSC10-AS1,1,lncRNA,chr1,1
MTOR,1,protein_coding,chr1,1
MTOR-AS1,1,lncRNA,chr1,1
RNU6-537P,1,pseudogene,chr1,1
LOC124904848,1,snoRNA,chr1,1
ANGPTL7,1,protein_coding,chr1,1
RNU6-291P,1,pseudogene,chr1,1
RPL39P6,1,pseudogene,chr1,1
UBIAD1,1,protein_coding,chr1,1
UBE2V2P3,1,pseudogene,chr1,1
LOC105376737,1,lncRNA,chr1,1
LOC105376739,1,lncRNA,chr1,1
LOC105376740,1,lncRNA,chr1,1
LOC124903841,1,lncRNA,chr1,1
MTCYBP45,1,pseudogene,chr1,1
DISP3,1,protein_coding,chr1,1
LOC124903842,1,lncRNA,chr1,1
LINC01647,1,lncRNA,chr1,1
FBXO2,1,protein_coding,chr1,1
FBXO44,1,protein_coding,chr1,1
FBXO6,1,protein_coding,chr1,1
MAD2L2,1,protein_coding,chr1,1
DRAXIN,1,protein_coding,chr1,1
AGTRAP,1,protein_coding,chr1,1
LOC101060126,1,pseudogene,chr1,1
C1orf167,1,protein_coding,chr1,1
C1orf167-AS1,1,lncRNA,chr1,1
MTHFR,1,protein_coding,chr1,1
CLCN6,1,protein_coding,chr1,1
NPPA-AS1,1,antisense_RNA,chr1,1
NPPA,1,protein_coding,chr1,1
NPPB,1,protein_coding,chr1,1
SBF1P2,1,pseudogene,chr1,1
RNU5E-1,1,snRNA,chr1,1
RNU5E-4P,1,pseudogene,chr1,1
LOC124903843,1,lncRNA,chr1,1
KIAA2013,1,protein_coding,chr1,1
PLOD1,1,protein_coding,chr1,1
MFN2,1,protein_coding,chr1,1
MIIP,1,protein_coding,chr1,1
MIR6729,1,miRNA,chr1,1
RN7SL649P,1,pseudogene,chr1,1
TNFRSF8,1,protein_coding,chr1,1
RNU6-777P,1,pseudogene,chr1,1
RPL23AP89,1,pseudogene,chr1,1
MIR7846,1,miRNA,chr1,1
TNFRSF1B,1,protein_coding,chr1,1
LOC124903844,1,lncRNA,chr1,1
MIR4632,1,miRNA,chr1,1
RPL10P17,1,pseudogene,chr1,1
LOC124900427,1,pseudogene,chr1,1
VPS13D,1,protein_coding,chr1,1
LOC124903845,1,lncRNA,chr1,1
LOC124904680,1,pseudogene,chr1,1
SNORA59A,1,snoRNA,chr1,1
LINC02766,1,lncRNA,chr1,1
DHRS3,1,protein_coding,chr1,1
RNU6ATAC18P,1,pseudogene,chr1,1
MIR6730,1,miRNA,chr1,1
AADACL4,1,protein_coding,chr1,1
LOC124903846,1,lncRNA,chr1,1
AADACL3,1,protein_coding,chr1,1
LOC124904811,1,snoRNA,chr1,1
CFAP107,1,protein_coding,chr1,1
PRAMEF12,1,protein_coding,chr1,1
PRAMEF1,1,protein_coding,chr1,1
LINC01784,6,lncRNA,chr1,1
PRAMEF11,1,protein_coding,chr1,1
PRAMEF30P,1,pseudogene,chr1,1
HNRNPCL1,1,protein_coding,chr1,1
PRAMEF2,1,protein_coding,chr1,1
PRAMEF4,1,protein_coding,chr1,1
PRAMEF10,1,protein_coding,chr1,1
PRAMEF7,1,protein_coding,chr1,1
RNU6-1072P,1,pseudogene,chr1,1
PRAMEF29P,1,pseudogene,chr1,1
PRAMEF6,1,protein_coding,chr1,1
PRAMEF31P,2,pseudogene,chr1,1
PRAMEF18,1,protein_coding,chr1,1
PRAMEF28P,1,pseudogene,chr1,1
PRAMEF9,1,protein_coding,chr1,1
HNRNPCL3,1,protein_coding,chr1,1
PRAMEF25,1,protein_coding,chr1,1
PRAMEF34P,1,transcribed_pseudogene,chr1,1
HNRNPCL2,1,protein_coding,chr1,1
PRAMEF35P,1,pseudogene,chr1,1
PRAMEF36P,1,transcribed_pseudogene,chr1,1
PRAMEF5,1,protein_coding,chr1,1
PRAMEF32P,1,pseudogene,chr1,1
RNU6-771P,1,pseudogene,chr1,1
PRAMEF8,1,protein_coding,chr1,1
PRAMEF33,1,protein_coding,chr1,1
PRAMEF15,1,protein_coding,chr1,1
PRAMEF14,1,protein_coding,chr1,1
PRAMEF19,1,protein_coding,chr1,1
PRAMEF17,1,protein_coding,chr1,1
PRAMEF20,1,protein_coding,chr1,1
LRRC38,1,protein_coding,chr1,1
LOC102724856,1,lncRNA,chr1,1
LOC107984918,1,lncRNA,chr1,1
BRWD1P1,1,pseudogene,chr1,1
PDPN,1,protein_coding,chr1,1
RNA5SP41,1,pseudogene,chr1,1
LOC105378612,1,lncRNA,chr1,1
LOC105376756,1,lncRNA,chr1,1
LOC124900446,1,ncRNA,chr1,1
PRDM2,1,protein_coding,chr1,1
KAZN,1,protein_coding,chr1,1
RNU6-1265P,1,pseudogene,chr1,1
LOC107985467,1,lncRNA,chr1,1
LOC124903847,1,lncRNA,chr1,1
KAZN-AS1,1,lncRNA,chr1,1
LOC124903850,1,lncRNA,chr1,1
TBCAP2,1,pseudogene,chr1,1
LOC105376759,1,lncRNA,chr1,1
LOC124903848,1,lncRNA,chr1,1
LOC107985469,1,lncRNA,chr1,1
LOC124903849,1,lncRNA,chr1,1
TMEM51-AS1,1,lncRNA,chr1,1
TMEM51,1,protein_coding,chr1,1
TMEM51-AS2,1,lncRNA,chr1,1
MFFP1,1,pseudogene,chr1,1
ZBTB2P1,1,pseudogene,chr1,1
FHAD1,1,protein_coding,chr1,1
LOC124903853,1,lncRNA,chr1,1
LOC124903852,1,lncRNA,chr1,1
FHAD1-AS1,1,lncRNA,chr1,1
LOC124903851,1,lncRNA,chr1,1
EFHD2-AS1,1,lncRNA,chr1,1
EFHD2,1,protein_coding,chr1,1
CTRC,1,protein_coding,chr1,1
CELA2A,1,protein_coding,chr1,1
LOC105376767,1,lncRNA,chr1,1
CELA2B,1,protein_coding,chr1,1
CASP9,1,protein_coding,chr1,1
DNAJC16,1,protein_coding,chr1,1
SCARNA21B,1,ncRNA,chr1,1
AGMAT,1,protein_coding,chr1,1
LOC124903854,1,lncRNA,chr1,1
CHCHD2P6,1,pseudogene,chr1,1
RNU7-179P,1,pseudogene,chr1,1
CD24P1,1,pseudogene,chr1,1
DDI2,1,protein_coding,chr1,1
RSC1A1,1,protein_coding,chr1,1
PLEKHM2,1,protein_coding,chr1,1
SLC25A34,1,protein_coding,chr1,1
SLC25A34-AS1,1,lncRNA,chr1,1
TMEM82,1,protein_coding,chr1,1
FBLIM1,1,protein_coding,chr1,1
RPL12P14,1,pseudogene,chr1,1
UQCRHL,1,protein_coding,chr1,1
SPEN-AS1,1,lncRNA,chr1,1
SPEN,1,protein_coding,chr1,1
LOC124904815,1,snoRNA,chr1,1
ZBTB17,1,protein_coding,chr1,1
LOC124903855,1,lncRNA,chr1,1
SRARP,1,protein_coding,chr1,1
HSPB7,1,protein_coding,chr1,1
CLCNKA,1,protein_coding,chr1,1
FAM131C2P,1,pseudogene,chr1,1
CLCNKB,1,protein_coding,chr1,1
FAM131C,1,protein_coding,chr1,1
EPHA2,1,protein_coding,chr1,1
EPHA2-AS1,1,lncRNA,chr1,1
ARHGEF19,1,protein_coding,chr1,1
ANO7L1,1,transcribed_pseudogene,chr1,1
CPLANE2,1,protein_coding,chr1,1
MT1XP1,1,pseudogene,chr1,1
FBXO42,1,protein_coding,chr1,1
SZRD1,1,protein_coding,chr1,1
RPL22P3,1,pseudogene,chr1,1
SPATA21,1,protein_coding,chr1,1
NECAP2,1,protein_coding,chr1,1
LINC01772,1,lncRNA,chr1,1
CROCCP3,1,transcribed_pseudogene,chr1,1
RNU1-1,3,snRNA,chr1,1
TRN-GTT5-1,1,tRNA,chr1,1
LINC01783,1,lncRNA,chr1,1
RNU1-6P,1,pseudogene,chr1,1
TRE-TTC4-1,3,tRNA,chr1,1
LOC124903856,1,protein_coding,chr1,1
TRG-CCC1-1,2,tRNA,chr1,1
TRV-CAC11-1,2,pseudogene,chr1,1
PDE4DIPP8,2,pseudogene,chr1,1
MIR3675,4,miRNA,chr1,1
LOC105376832,4,lncRNA,chr1,1
LOC101056699,3,pseudogene,chr1,1
LOC124900386,3,protein_coding,chr1,1
LOC102724562,2,transcribed_pseudogene,chr1,1
CROCCP4,5,pseudogene,chr1,1
LOC124903859,5,lncRNA,chr1,1
LOC124903857,5,protein_coding,chr1,1
CROCCP2,2,transcribed_pseudogene,chr1,1
MST1P2,2,transcribed_pseudogene,chr1,1
LOC124905321,1,snRNA,chr1,1
TRN-GTT26-1,3,tRNA,chr1,1
RNU1-5P,3,pseudogene,chr1,1
TRV-CAC13-1,3,pseudogene,chr1,1
LOC124904557,3,lncRNA,chr1,1
MST1L,1,transcribed_pseudogene,chr1,1
RNU1-4,1,snRNA,chr1,1
TRG-CCC4-1,1,tRNA,chr1,1
EIF1AXP1,1,pseudogene,chr1,1
ESPNP,1,transcribed_pseudogene,chr1,1
LOC124903858,1,lncRNA,chr1,1
TRG-CCC5-1,1,tRNA,chr1,1
LOC440570,1,lncRNA,chr1,1
TRNAE-UUC,1,tRNA,chr1,1
LOC124904613,1,snRNA,chr1,1
RNU1-3,1,snRNA,chr1,1
NBPF1,1,protein_coding,chr1,1
PDE4DIPP9,1,pseudogene,chr1,1
TRV-CAC11-2,1,pseudogene,chr1,1
TRG-CCC1-2,1,tRNA,chr1,1
LOC124903860,1,pseudogene,chr1,1
LOC112267871,1,lncRNA,chr1,1
TRE-TTC3-1,1,tRNA,chr1,1
LOC107985101,1,pseudogene,chr1,1
LOC105376805,1,lncRNA,chr1,1
TRN-GTT4-1,1,tRNA,chr1,1
RNU1-2,1,snRNA,chr1,1
CROCC,1,protein_coding,chr1,1
MFAP2,1,protein_coding,chr1,1
LOC105376806,1,lncRNA,chr1,1
ATP13A2,1,protein_coding,chr1,1
SDHB,1,protein_coding,chr1,1
PADI2,1,protein_coding,chr1,1
LOC124903861,1,lncRNA,chr1,1
LOC105376808,1,lncRNA,chr1,1
LINC02783,1,lncRNA,chr1,1
PADI1,1,protein_coding,chr1,1
PADI3,1,protein_coding,chr1,1
MIR3972,1,miRNA,chr1,1
PADI4,1,protein_coding,chr1,1
PADI6,1,protein_coding,chr1,1
RCC2,1,protein_coding,chr1,1
RCC2-AS1,1,antisense_RNA,chr1,1
LOC124903862,1,lncRNA,chr1,1
LOC124904837,1,snoRNA,chr1,1
ARHGEF10L,1,protein_coding,chr1,1
LINC02810,1,lncRNA,chr1,1
ACTL8,1,protein_coding,chr1,1
LOC105376809,1,lncRNA,chr1,1
LOC105376812,1,lncRNA,chr1,1
LINC01654,1,lncRNA,chr1,1
IGSF21,1,protein_coding,chr1,1
IGSF21-AS1,1,lncRNA,chr1,1
LOC124903864,1,lncRNA,chr1,1
LOC124903863,1,lncRNA,chr1,1
LOC124903865,1,lncRNA,chr1,1
KLHDC7A,1,protein_coding,chr1,1
DYNLL1P3,1,pseudogene,chr1,1
PAX7,1,protein_coding,chr1,1
TAS1R2,1,protein_coding,chr1,1
ALDH4A1,1,protein_coding,chr1,1
MIR4695,1,miRNA,chr1,1
MIR1290,1,miRNA,chr1,1
LOC124903866,1,lncRNA,chr1,1
IFFO2,1,protein_coding,chr1,1
LOC105376815,1,lncRNA,chr1,1
UBR4,1,protein_coding,chr1,1
EMC1-AS1,1,lncRNA,chr1,1
EMC1,1,protein_coding,chr1,1
MRTO4,1,protein_coding,chr1,1
AKR7L,1,transcribed_pseudogene,chr1,1
AKR7A3,1,protein_coding,chr1,1
LOC124903867,1,lncRNA,chr1,1
LOC100506730,1,lncRNA,chr1,1
AKR7A2,1,protein_coding,chr1,1
RNU6-1099P,1,pseudogene,chr1,1
SLC66A1,1,protein_coding,chr1,1
CAPZB,1,protein_coding,chr1,1
LOC124903868,1,lncRNA,chr1,1
RN7SL277P,1,pseudogene,chr1,1
LOC124903869,1,lncRNA,chr1,1
LOC105376819,1,lncRNA,chr1,1
LOC105376818,1,lncRNA,chr1,1
RNU4-28P,1,pseudogene,chr1,1
LOC105376817,1,lncRNA,chr1,1
LOC124904816,1,snoRNA,chr1,1
MICOS10-DT,1,lncRNA,chr1,1
MICOS10,1,protein_coding,chr1,1
MICOS10-NBL1,1,protein_coding,chr1,1
RPS14P3,1,transcribed_pseudogene,chr1,1
NBL1,1,protein_coding,chr1,1
HTR6,1,protein_coding,chr1,1
TMCO4,1,protein_coding,chr1,1
RNF186,1,protein_coding,chr1,1
LOC105376823,1,lncRNA,chr1,1
OTUD3,1,protein_coding,chr1,1
PLA2G2E,1,protein_coding,chr1,1
RN7SL304P,1,pseudogene,chr1,1
PLA2G2A,1,protein_coding,chr1,1
PLA2G5,1,protein_coding,chr1,1
LOC100419911,1,pseudogene,chr1,1
PLA2G2D,1,protein_coding,chr1,1
PLA2G2F,1,protein_coding,chr1,1
LOC117779438,1,lncRNA,chr1,1
PLA2G2C,1,protein_coding,chr1,1
UBXN10,1,protein_coding,chr1,1
LOC105376825,1,lncRNA,chr1,1
LOC105376826,1,lncRNA,chr1,1
LINC01757,1,lncRNA,chr1,1
LOC105376828,1,lncRNA,chr1,1
VWA5B1,1,protein_coding,chr1,1
LOC124903870,1,lncRNA,chr1,1
LINC01141,1,lncRNA,chr1,1
LOC124903871,1,lncRNA,chr1,1
CAMK2N1,1,protein_coding,chr1,1
MUL1,1,protein_coding,chr1,1
RPS4XP4,1,pseudogene,chr1,1
FAM43B,1,protein_coding,chr1,1
CDA,1,protein_coding,chr1,1
PINK1,1,protein_coding,chr1,1
MIR6084,1,miRNA,chr1,1
PINK1-AS,1,antisense_RNA,chr1,1
DDOST,1,protein_coding,chr1,1
KIF17,1,protein_coding,chr1,1
SH2D5,1,protein_coding,chr1,1
HP1BP3,1,protein_coding,chr1,1
EIF4G3,1,protein_coding,chr1,1
RNU7-200P,1,pseudogene,chr1,1
LOC105376830,1,lncRNA,chr1,1
LOC105376829,1,lncRNA,chr1,1
MIR1256,1,miRNA,chr1,1
RPS15AP6,1,pseudogene,chr1,1
HSPE1P27,1,pseudogene,chr1,1
ECE1,1,protein_coding,chr1,1
LOC124903872,1,lncRNA,chr1,1
ECE1-AS1,1,lncRNA,chr1,1
PPP1R11P1,1,pseudogene,chr1,1
PDE4DIPP10,1,pseudogene,chr1,1
NBPF2P,1,pseudogene,chr1,1
HS6ST1P1,1,pseudogene,chr1,1
CROCCP5,1,pseudogene,chr1,1
NBPF3,1,protein_coding,chr1,1
