gene_family,copy_name,chromosome,arm,start,end,strand,phr_interval,phr_line_num,sharing_pattern,gene_biotype,reference_chromosome,is_shared_copy
LOC101928626,LOC101928626_0_shared_on_chr19,chr19,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
LOC101928626,LOC101928626_0_shared_on_chr20,chr20,p,52979,54612,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",lncRNA,chr1,YES
OR4F29,OR4F29_0_shared_on_chr1,chr1,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,NO
OR4F29,OR4F29_0_shared_on_chr2,chr2,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr3,chr3,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr5,chr5,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr6,chr6,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr7,chr7,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr8,chr8,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr9,chr9,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr11,chr11,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr15,chr15,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr16,chr16,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr17,chr17,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr19,chr19,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
OR4F29,OR4F29_0_shared_on_chr20,chr20,p,111940,112877,-,chr1:2706-297706,1,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20",protein_coding,chr1,YES
LOC101929828,LOC101929828_0_shared_on_chr1,chr1,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr2,chr2,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,NO
LOC101929828,LOC101929828_0_shared_on_chr3,chr3,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr4,chr4,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr5,chr5,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr6,chr6,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr7,chr7,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr8,chr8,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr9,chr9,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr10,chr10,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr11,chr11,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr13,chr13,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr15,chr15,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr16,chr16,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr17,chr17,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr19,chr19,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr20,chr20,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr21,chr21,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101929828,LOC101929828_0_shared_on_chr22,chr22,q,242676118,242677388,+,chr2:242574127-242694126,15,"chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr15,chr16,chr17,chr19,chr20,chr21,chr22",lncRNA,chr2,YES
LOC101928932,LOC101928932_1_shared_on_chr1,chr1,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr2,chr2,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr3,chr3,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,NO
LOC101928932,LOC101928932_1_shared_on_chr5,chr5,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr6,chr6,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr7,chr7,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr8,chr8,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr9,chr9,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chrX,chrX,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chrY,chrY,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr10,chr10,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr11,chr11,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr12,chr12,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr15,chr15,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr16,chr16,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr17,chr17,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr18,chr18,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr19,chr19,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
LOC101928932,LOC101928932_1_shared_on_chr20,chr20,q,200865934,200869348,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",lncRNA,chr3,YES
OR4F5,OR4F5_0_shared_on_chr1,chr1,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr2,chr2,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr3,chr3,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,NO
OR4F5,OR4F5_0_shared_on_chr5,chr5,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr6,chr6,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr7,chr7,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr8,chr8,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr9,chr9,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chrX,chrX,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chrY,chrY,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr10,chr10,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr11,chr11,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr12,chr12,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr15,chr15,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr16,chr16,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr17,chr17,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr18,chr18,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr19,chr19,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
OR4F5,OR4F5_0_shared_on_chr20,chr20,q,201037880,201044322,-,chr3:200846363-201101362,18,"chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr10,chr11,chr12,chr15,chr16,chr17,chr18,chr19,chr20",protein_coding,chr3,YES
ZNF595,ZNF595_0_shared_on_chr4,chr4,p,52753,87637,+,chr4:3087-68087,19,"chr4,chr10,chr13,chr14,chr15,chr21,chr22",protein_coding,chr4,NO
ZNF595,ZNF595_0_shared_on_chr10,chr10,p,52753,87637,+,chr4:3087-68087,19,"chr4,chr10,chr13,chr14,chr15,chr21,chr22",protein_coding,chr4,YES
ZNF595,ZNF595_0_shared_on_chr13,chr13,p,52753,87637,+,chr4:3087-68087,19,"chr4,chr10,chr13,chr14,chr15,chr21,chr22",protein_coding,chr4,YES
ZNF595,ZNF595_0_shared_on_chr14,chr14,p,52753,87637,+,chr4:3087-68087,19,"chr4,chr10,chr13,chr14,chr15,chr21,chr22",protein_coding,chr4,YES
ZNF595,ZNF595_0_shared_on_chr15,chr15,p,52753,87637,+,chr4:3087-68087,19,"chr4,chr10,chr13,chr14,chr15,chr21,chr22",protein_coding,chr4,YES
ZNF595,ZNF595_0_shared_on_chr21,chr21,p,52753,87637,+,chr4:3087-68087,19,"chr4,chr10,chr13,chr14,chr15,chr21,chr22",protein_coding,chr4,YES
