gene_name,copies_in_phrs,genome_wide_copies,gene_biotype,num_chromosomes,chromosomes,in_phrs,in_genome
LOC105375334,0,1,lncRNA,1,chr7,False,True
IQCA1L,0,1,protein_coding,1,chr7,False,True
IGHV1-67,0,1,V_segment_pseudogene,1,chr14,False,True
LOC105376004,0,1,lncRNA,1,chr9,False,True
RPL27AP8,0,1,pseudogene,1,chr13,False,True
PLAC9,0,1,protein_coding,1,chr10,False,True
ZNF699,0,1,protein_coding,1,chr19,False,True
SNORD78,0,1,snoRNA,1,chr1,False,True
SNORD64,0,1,snoRNA,1,chr15,False,True
UGT2A3,0,1,protein_coding,1,chr4,False,True
LOC124901380,0,1,lncRNA,1,chr6,False,True
OR2J2,0,1,protein_coding,1,chr6,False,True
BNIP3P10,0,1,pseudogene,1,chr19,False,True
TTTY4C,0,1,lncRNA,1,chrY,False,True
C3orf86,0,1,transcribed_pseudogene,1,chr3,False,True
RPS3AP7,0,1,pseudogene,1,chr1,False,True
LOC101927355,0,1,lncRNA,1,chr20,False,True
RN7SL183P,0,1,pseudogene,1,chr6,False,True
RPL22P7,0,1,pseudogene,1,chr2,False,True
EIF5A,0,1,protein_coding,1,chr17,False,True
LOC107985212,0,1,lncRNA,1,chr1,False,True
IGHV1-18,0,1,V_segment,1,chr14,False,True
CDCA8,0,1,protein_coding,1,chr1,False,True
LINC01485,0,1,lncRNA,1,chr5,False,True
LOC107987339,0,1,lncRNA,1,chrY,False,True
SUMO2P5,0,1,pseudogene,1,chr5,False,True
LOC124907599,0,1,lncRNA,1,chr2,False,True
GCSAML,0,1,protein_coding,1,chr1,False,True
RNF212B,0,1,protein_coding,1,chr14,False,True
LOC100288914,0,1,pseudogene,1,chr4,False,True
LOC112268470,0,1,protein_coding,1,chr4,False,True
MAB21L2,0,1,protein_coding,1,chr4,False,True
LINC01981,0,1,lncRNA,1,chr3,False,True
LOC100287402,0,1,pseudogene,1,chr3,False,True
LOC124904795,0,1,snoRNA,1,chr19,False,True
LOC105375613,0,1,lncRNA,1,chr7,False,True
MTND4LP30,0,1,pseudogene,1,chr5,False,True
RN7SL832P,0,1,transcribed_pseudogene,1,chr2,False,True
S100A11P6,0,1,pseudogene,1,chrX,False,True
OR7E115P,0,1,pseudogene,1,chr10,False,True
SCAND1,0,1,protein_coding,1,chr20,False,True
MCM10,0,1,protein_coding,1,chr10,False,True
ZNF300P1,0,1,transcribed_pseudogene,1,chr5,False,True
ERICD,0,1,lncRNA,1,chr8,False,True
LOC105376278,0,1,lncRNA,1,chr9,False,True
OR1F12P,0,1,pseudogene,1,chr6,False,True
SNORD142,0,1,snoRNA,1,chr10,False,True
LOC124902910,0,1,lncRNA,1,chr12,False,True
LOC124903816,0,1,lncRNA,1,chr1,False,True
KLRC4,0,1,protein_coding,1,chr12,False,True
OR5AQ1P,0,1,pseudogene,1,chr11,False,True
BRCA1P1,0,1,pseudogene,1,chr17,False,True
LOC124909469,0,1,lncRNA,1,chr3,False,True
LOC124900199,0,1,snoRNA,1,chr5,False,True
RPSAP40,0,1,pseudogene,1,chr6,False,True
LOC124903072,0,1,lncRNA,1,chr12,False,True
RNVU1-2,0,1,pseudogene,1,chr1,False,True
SPATA3,0,1,protein_coding,1,chr2,False,True
CEP63,0,1,protein_coding,1,chr3,False,True
LINC02323,0,1,lncRNA,1,chr14,False,True
BBIP1,0,1,protein_coding,1,chr10,False,True
ALPG,0,1,protein_coding,1,chr2,False,True
MBTPS1,0,1,protein_coding,1,chr16,False,True
HNRNPCL2,0,1,protein_coding,1,chr1,False,True
PNPLA8,0,1,protein_coding,1,chr7,False,True
UFL1,0,1,protein_coding,1,chr6,False,True
MFAP2,0,1,protein_coding,1,chr1,False,True
TEN1,0,1,protein_coding,1,chr17,False,True
LOC105378299,0,1,lncRNA,1,chr10,False,True
GDPD5,0,1,protein_coding,1,chr11,False,True
CHMP3,0,1,protein_coding,1,chr2,False,True
LOC124901590,0,1,lncRNA,1,chr7,False,True
LOC124901179,0,1,lncRNA,1,chr5,False,True
SHISAL2B,0,1,protein_coding,1,chr5,False,True
LOC124901430,0,1,lncRNA,1,chr6,False,True
LRRC4C,0,1,protein_coding,1,chr11,False,True
CLDN10-AS1,0,1,lncRNA,1,chr13,False,True
UBXN2A,0,1,protein_coding,1,chr2,False,True
LFNG,0,1,protein_coding,1,chr7,False,True
RNA5SP89,0,1,pseudogene,1,chr2,False,True
LOC105370475,0,1,lncRNA,1,chr14,False,True
LOC124902514,0,1,lncRNA,1,chr10,False,True
MIR7107,0,1,miRNA,1,chr12,False,True
LOC101929577,0,1,lncRNA,1,chr4,False,True
DAZ3,0,1,protein_coding,1,chrY,False,True
KRT17P2,0,1,transcribed_pseudogene,1,chr17,False,True
LOC112268311,0,1,lncRNA,1,chrY,False,True
LOC124903385,0,1,lncRNA,1,chr14,False,True
LOC124902068,0,1,lncRNA,1,chr8,False,True
LCMT1,0,1,protein_coding,1,chr16,False,True
LOC105371814,0,1,lncRNA,1,chr17,False,True
ATP5ME,0,1,protein_coding,1,chr4,False,True
TMEM253,0,1,protein_coding,1,chr14,False,True
RPS9P2,0,1,pseudogene,1,chr22,False,True
TNPO1,0,1,protein_coding,1,chr5,False,True
SPATA31E2P,0,1,pseudogene,1,chr15,False,True
PKD1P1,0,1,transcribed_pseudogene,1,chr16,False,True
LOC124905290,0,1,snoRNA,1,chrX,False,True
IL15,0,1,protein_coding,1,chr4,False,True
LOC124900309,0,1,snoRNA,1,chr11,False,True
H3P23,0,1,pseudogene,1,chr5,False,True
ENTPD1,0,1,protein_coding,1,chr10,False,True
XCR1,0,1,protein_coding,1,chr3,False,True
OTOA,0,1,protein_coding,1,chr16,False,True
LOC102724262,0,1,lncRNA,1,chr17,False,True
ABCB1,0,1,protein_coding,1,chr7,False,True
LINC00659,0,1,lncRNA,1,chr20,False,True
LOC124901912,0,1,lncRNA,1,chr8,False,True
TUBBP7,0,1,pseudogene,1,chr8,False,True
RTL8C,0,1,protein_coding,1,chrX,False,True
LOC124904862,0,1,lncRNA,1,chr20,False,True
BCRP2,0,1,transcribed_pseudogene,1,chr22,False,True
RN7SKP68,0,1,pseudogene,1,chr5,False,True
LOC124900883,0,1,snRNA,1,chr4,False,True
LOC124901216,0,1,pseudogene,1,chr5,False,True
RNU6-861P,0,1,pseudogene,1,chr6,False,True
LOC105375268,0,1,lncRNA,1,chr7,False,True
LRP8-DT,0,1,lncRNA,1,chr1,False,True
SLC15A2,0,1,protein_coding,1,chr3,False,True
TRBV12-2,0,1,V_segment_pseudogene,1,chr7,False,True
HSP90AB7P,0,1,pseudogene,1,chr10,False,True
SNORD110,0,1,snoRNA,1,chr20,False,True
EN1,0,1,protein_coding,1,chr2,False,True
EEF1B2,0,1,protein_coding,1,chr2,False,True
GPX2,0,1,protein_coding,1,chr14,False,True
IPO4,0,1,protein_coding,1,chr14,False,True
SNORD12B,0,1,snoRNA,1,chr20,False,True
RNA5SP29,0,1,pseudogene,1,chr13,False,True
LOC347674,0,1,pseudogene,1,chr7,False,True
TRBV23-1,0,1,V_segment_pseudogene,1,chr7,False,True
RNA5SP69,0,1,pseudogene,1,chr1,False,True
RPS12P15,0,1,pseudogene,1,chr8,False,True
LOC124902511,0,1,lncRNA,1,chr10,False,True
LOC100420765,0,1,pseudogene,1,chr14,False,True
LOC100422623,0,1,pseudogene,1,chr19,False,True
ZNF835,0,1,protein_coding,1,chr19,False,True
RPL21P39,0,1,pseudogene,1,chr3,False,True
YRDCP2,0,1,pseudogene,1,chr9,False,True
RNU1-96P,0,1,pseudogene,1,chr3,False,True
MIR204,0,1,miRNA,1,chr9,False,True
BUB1,0,1,protein_coding,1,chr2,False,True
SNORA58B,0,1,snoRNA,1,chr1,False,True
LOC105374961,0,1,lncRNA,1,chr6,False,True
LOC124903732,0,1,lncRNA,1,chr16,False,True
CERS4,0,1,protein_coding,1,chr19,False,True
MIR4296,0,1,miRNA,1,chr10,False,True
GALNT8,0,1,protein_coding,1,chr12,False,True
CRTC1P1,0,1,pseudogene,1,chr2,False,True
HSPB2-C11orf52,0,1,lncRNA,1,chr11,False,True
RPS2P1,0,1,pseudogene,1,chr20,False,True
ITGA11,0,1,protein_coding,1,chr15,False,True
PPIAP69,0,1,pseudogene,1,chr3,False,True
JPT2,0,1,protein_coding,1,chr16,False,True
NDUFB4P11,0,1,pseudogene,1,chr14,False,True
MIR5571,0,1,miRNA,1,chr22,False,True
RN7SL849P,0,1,pseudogene,1,chr9,False,True
LOC105371198,0,1,lncRNA,1,chr16,False,True
LOC124904965,0,1,lncRNA,1,chr20,False,True
LOC101928849,0,1,lncRNA,1,chr9,False,True
RPL5P4,0,1,pseudogene,1,chr1,False,True
LOC124902052,0,1,lncRNA,1,chr8,False,True
TRMT13,0,1,protein_coding,1,chr1,False,True
ATP6V1E1P2,0,1,pseudogene,1,chr18,False,True
DDI2,0,1,protein_coding,1,chr1,False,True
MUCL1,0,1,protein_coding,1,chr12,False,True
TP53TG3F,0,1,protein_coding,1,chr16,False,True
LOC107987350,0,2,lncRNA,1,chrY,False,True
LINC01002,0,1,lncRNA,1,chr19,False,True
LOC124903988,0,1,pseudogene,1,chr17,False,True
LOC105372542,0,1,lncRNA,1,chr20,False,True
WDR5,0,1,protein_coding,1,chr9,False,True
CCDC61,0,1,protein_coding,1,chr19,False,True
NKTR,0,1,protein_coding,1,chr3,False,True
LOC124901241,0,1,lncRNA,1,chr6,False,True
TTC9C,0,1,protein_coding,1,chr11,False,True
SLC46A1,0,1,protein_coding,1,chr17,False,True
LOC124904073,0,1,lncRNA,1,chr17,False,True
MIR567,0,1,miRNA,1,chr3,False,True
LOC107986800,0,1,protein_coding,1,chr7,False,True
LOC101929230,0,1,lncRNA,1,chr2,False,True
LOC100630919,0,1,pseudogene,1,chr8,False,True
LOC100422497,0,1,pseudogene,1,chr18,False,True
LIN28AP2,0,1,pseudogene,1,chr13,False,True
ROBO1,0,1,protein_coding,1,chr3,False,True
LOC124903488,0,1,lncRNA,1,chr15,False,True
DIS3L2,0,1,protein_coding,1,chr2,False,True
LOC124904168,0,1,lncRNA,1,chr1,False,True
OSTN,0,1,protein_coding,1,chr3,False,True
VDAC1P7,0,1,pseudogene,1,chr3,False,True
LOC124903050,0,1,lncRNA,1,chr12,False,True
NANOGP6,0,1,pseudogene,1,chr10,False,True
CPNE2,0,1,protein_coding,1,chr16,False,True
LINC01227,0,1,lncRNA,1,chr16,False,True
LOC105378477,0,1,lncRNA,1,chr10,False,True
RPL36P1,0,1,pseudogene,1,chr20,False,True
LOC124903309,0,1,lncRNA,1,chr14,False,True
RNU6-778P,0,1,pseudogene,1,chr1,False,True
LOC105374505,0,1,lncRNA,1,chr4,False,True
LINC01701,0,1,lncRNA,1,chr1,False,True
RPS2P26,0,1,pseudogene,1,chr5,False,True
LOC107986449,0,1,lncRNA,1,chr5,False,True
LOC105370775,0,1,lncRNA,1,chr15,False,True
LOC100422426,0,1,pseudogene,1,chr3,False,True
LOC102723436,0,1,lncRNA,1,chr1,False,True
ATP8B3,0,1,protein_coding,1,chr19,False,True
LOC440982,0,1,lncRNA,1,chr3,False,True
AKR1C2,0,1,protein_coding,1,chr10,False,True
HDAC7,0,1,protein_coding,1,chr12,False,True
USP12-AS1,0,1,lncRNA,1,chr13,False,True
SMNDC1,0,1,protein_coding,1,chr10,False,True
LOC124900393,0,1,snoRNA,1,chr17,False,True
LOC124901612,0,1,lncRNA,1,chr7,False,True
NUS1P2,0,1,pseudogene,1,chr13,False,True
TRBV3-1,0,1,V_segment,1,chr7,False,True
LBHD1,0,1,protein_coding,1,chr11,False,True
CHM,0,1,protein_coding,1,chrX,False,True
HECTD2,0,1,protein_coding,1,chr10,False,True
LINC01335,0,1,lncRNA,1,chr5,False,True
LMAN1,0,1,protein_coding,1,chr18,False,True
RNA5-8SP3,0,1,pseudogene,1,chr9,False,True
LOC390029,0,1,pseudogene,1,chr11,False,True
LOC124906288,0,1,lncRNA,1,chr3,False,True
LOC101901829,0,1,pseudogene,1,chr12,False,True
LOC105371761,0,1,lncRNA,1,chr17,False,True
GARIN6,0,1,protein_coding,1,chr12,False,True
MTND3P16,0,1,pseudogene,1,chr2,False,True
DTX2P1-UPK3BP1-PMS2P11,0,1,transcribed_pseudogene,1,chr7,False,True
LOC107985595,0,1,lncRNA,1,chr1,False,True
IL5,0,1,protein_coding,1,chr5,False,True
KIZ,0,1,protein_coding,1,chr20,False,True
ZNF670-ZNF695,0,1,lncRNA,1,chr1,False,True
NFATC3,0,1,protein_coding,1,chr16,False,True
CLEC4F,0,1,protein_coding,1,chr2,False,True
CBLL1,0,1,protein_coding,1,chr7,False,True
LOC124902332,0,1,pseudogene,1,chr9,False,True
HDAC5,0,1,protein_coding,1,chr17,False,True
LOC105374911,0,1,lncRNA,1,chr6,False,True
RN7SKP286,0,1,pseudogene,1,chr2,False,True
RPL3P11,0,1,pseudogene,1,chr9,False,True
MIR4440,0,1,miRNA,1,chr2,False,True
AMPH,0,1,protein_coding,1,chr7,False,True
RNA5S16,0,1,rRNA,1,chr1,False,True
EBAG9,0,1,protein_coding,1,chr8,False,True
RNA5SP301,0,1,pseudogene,1,chr10,False,True
OR4C15,0,1,protein_coding,1,chr11,False,True
LOC105369685,0,1,lncRNA,1,chr12,False,True
ZNF337,0,1,protein_coding,1,chr20,False,True
LOC107985880,0,1,lncRNA,1,chr2,False,True
LINC02476,0,1,lncRNA,1,chr7,False,True
LOC105378811,0,1,lncRNA,1,chr1,False,True
TEX19,0,1,protein_coding,1,chr17,False,True
LOC152594,0,1,pseudogene,1,chr4,False,True
ST3GAL5P1,0,1,pseudogene,1,chr5,False,True
ABCB8,0,1,protein_coding,1,chr7,False,True
ATP8B2,0,1,protein_coding,1,chr1,False,True
C2orf50,0,1,protein_coding,1,chr2,False,True
LOC124903700,0,1,lncRNA,1,chr16,False,True
MIR1269B,0,1,miRNA,1,chr17,False,True
LOC124904342,0,1,lncRNA,1,chr1,False,True
LOC107985400,0,1,lncRNA,1,chr20,False,True
NAP1L2,0,1,protein_coding,1,chrX,False,True
RAB23,0,1,protein_coding,1,chr6,False,True
LOC102723966,0,1,lncRNA,1,chr11,False,True
SPATA31D2P,0,1,pseudogene,1,chr9,False,True
LINC01560,0,1,lncRNA,1,chrX,False,True
RPL17P31,0,1,pseudogene,1,chr8,False,True
LINC02773,0,1,lncRNA,1,chr1,False,True
MANSC4,0,1,protein_coding,1,chr12,False,True
LOC100288073,0,1,pseudogene,1,chr4,False,True
SMIM1,0,1,protein_coding,1,chr1,False,True
UEVLD,0,1,protein_coding,1,chr11,False,True
LOC124902269,0,1,lncRNA,1,chr9,False,True
LOC124902049,0,1,pseudogene,1,chr8,False,True
FGF7P3,0,1,transcribed_pseudogene,1,chr9,False,True
FDPSP7,0,1,pseudogene,1,chr7,False,True
CYP1A2,0,1,protein_coding,1,chr15,False,True
SH3GL1P1,0,1,transcribed_pseudogene,1,chr17,False,True
PLAAT2,0,1,protein_coding,1,chr11,False,True
KRTAP13-3,0,1,protein_coding,1,chr21,False,True
LOC107985811,0,1,lncRNA,1,chr2,False,True
RNA5SP116,0,1,pseudogene,1,chr2,False,True
HSPD1P21,0,1,pseudogene,1,chr20,False,True
MICALL2,0,1,protein_coding,1,chr7,False,True
LOC124900955,0,1,lncRNA,1,chr5,False,True
LOC107987320,0,1,pseudogene,1,chr22,False,True
RPL7P36,0,1,pseudogene,1,chr10,False,True
HSD17B14,0,1,protein_coding,1,chr19,False,True
GPR4,0,1,protein_coding,1,chr19,False,True
LOC124901362,0,1,lncRNA,1,chr6,False,True
LOC107985231,0,1,lncRNA,1,chr1,False,True
LOC105370847,0,1,lncRNA,1,chr15,False,True
LOC105378234,0,1,lncRNA,1,chr5,False,True
ITSN1,0,1,protein_coding,1,chr21,False,True
RPL26P19,0,1,pseudogene,1,chr5,False,True
MIR563,0,1,miRNA,1,chr3,False,True
THUMPD3,0,1,protein_coding,1,chr3,False,True
ZBTB11,0,1,protein_coding,1,chr3,False,True
TAAR8,0,1,protein_coding,1,chr6,False,True
MIR3184,0,1,miRNA,1,chr17,False,True
NMTRS-TGA3-1,0,1,pseudogene,1,chr17,False,True
TRE-TTC9-1,0,1,pseudogene,1,chr2,False,True
GMNN,0,1,protein_coding,1,chr6,False,True
PARM1-AS1,0,1,lncRNA,1,chr4,False,True
NIP7,0,1,protein_coding,1,chr16,False,True
HOMER2P1,0,1,pseudogene,1,chr14,False,True
IGHV5-51,0,1,V_segment,1,chr14,False,True
LOC441086,0,1,lncRNA,1,chr5,False,True
LOC105374000,0,1,lncRNA,1,chr3,False,True
CHRFAM7AP2,0,1,pseudogene,1,chrY,False,True
PFKM,0,1,protein_coding,1,chr12,False,True
OR9K2,0,1,protein_coding,1,chr12,False,True
LOC107985081,0,1,lncRNA,1,chr17,False,True
ATP8B4,0,1,protein_coding,1,chr15,False,True
ACTRT3,0,1,protein_coding,1,chr3,False,True
ZNF879,0,1,protein_coding,1,chr5,False,True
TTPAL,0,1,protein_coding,1,chr20,False,True
TTTY17C,0,1,lncRNA,1,chrY,False,True
OR4E1,0,1,protein_coding,1,chr14,False,True
LOC105377733,0,1,lncRNA,1,chr5,False,True
GNE,0,1,protein_coding,1,chr9,False,True
LINC01866,0,1,lncRNA,1,chr2,False,True
HPS4,0,1,protein_coding,1,chr22,False,True
RPS4XP17,0,1,pseudogene,1,chr17,False,True
LOC107986246,0,1,lncRNA,1,chr4,False,True
LOC112268141,0,1,pseudogene,1,chr14,False,True
LOC105375925,0,1,lncRNA,1,chr8,False,True
LOC124902409,0,1,lncRNA,1,chr10,False,True
TRA-AGC13-2,0,1,tRNA,1,chr6,False,True
MTCO1P29,0,1,pseudogene,1,chr3,False,True
LOC105372028,0,1,lncRNA,1,chr18,False,True
AGGF1P2,0,1,pseudogene,1,chr10,False,True
LINC02515,0,1,lncRNA,1,chr4,False,True
GRN,0,1,protein_coding,1,chr17,False,True
CARD9,0,1,protein_coding,1,chr9,False,True
CDIPTOSP,0,1,lncRNA,1,chr16,False,True
KLF2,0,1,protein_coding,1,chr19,False,True
LOC105371908,0,1,lncRNA,1,chr17,False,True
LOC124901111,0,1,lncRNA,1,chr5,False,True
RPL32P18,0,1,pseudogene,1,chr7,False,True
MTATP6P18,0,1,pseudogene,1,chr7,False,True
PLBD1-AS1,0,1,lncRNA,1,chr12,False,True
SPATA6,0,1,protein_coding,1,chr1,False,True
GLDN,0,1,protein_coding,1,chr15,False,True
SNX18P4,0,1,pseudogene,1,chr9,False,True
CTSH,0,1,protein_coding,1,chr15,False,True
RPL23AP50,0,1,pseudogene,1,chr6,False,True
RNU1-2,0,1,snRNA,1,chr1,False,True
PMCHL1,0,1,transcribed_pseudogene,1,chr5,False,True
TRG,0,1,other,1,chr7,False,True
CYP3A51P,0,1,pseudogene,1,chr7,False,True
RPS20P11,0,1,pseudogene,1,chr2,False,True
RPL10P1,0,1,pseudogene,1,chr21,False,True
TAF11L8,0,1,protein_coding,1,chr5,False,True
LOC124901642,0,1,pseudogene,1,chr7,False,True
LOC105372224,0,1,lncRNA,1,chr18,False,True
LOC105375813,0,1,lncRNA,1,chr8,False,True
TMEM38A,0,1,protein_coding,1,chr19,False,True
SULT4A1,0,1,protein_coding,1,chr22,False,True
DEFB108B,0,1,protein_coding,1,chr11,False,True
TMEM132E,0,1,protein_coding,1,chr17,False,True
LOC124900358,0,1,snoRNA,1,chr15,False,True
TMEM39B,0,1,protein_coding,1,chr1,False,True
TRE-TTC6-1,0,1,pseudogene,1,chr1,False,True
RPL35P5,0,1,pseudogene,1,chr7,False,True
LOC124902025,0,1,lncRNA,1,chr8,False,True
LOC124904903,0,1,protein_coding,1,chr20,False,True
GAS2L3,0,1,protein_coding,1,chr12,False,True
DPRXP7,0,1,pseudogene,1,chrX,False,True
LOC102724553,0,1,lncRNA,1,chr15,False,True
CHRNA3,0,1,protein_coding,1,chr15,False,True
CD63-AS1,0,1,lncRNA,1,chr12,False,True
LOC353010,0,1,pseudogene,1,chr6,False,True
LOC107986781,0,1,lncRNA,1,chr7,False,True
RNU6-841P,0,1,pseudogene,1,chr19,False,True
HDAC10,0,1,protein_coding,1,chr22,False,True
CYP2C115P,0,1,pseudogene,1,chr10,False,True
TUBA1C,0,1,protein_coding,1,chr12,False,True
WWTR1-AS1,0,1,lncRNA,1,chr3,False,True
LOC124901673,0,1,lncRNA,1,chr7,False,True
TNFAIP8L1,0,1,protein_coding,1,chr19,False,True
LOC124905227,0,1,lncRNA,1,chrX,False,True
LOC105373060,0,1,lncRNA,1,chr22,False,True
PTMAP12,0,1,pseudogene,1,chr9,False,True
RPS28P6,0,1,pseudogene,1,chr7,False,True
LRRC37A17P,0,1,pseudogene,1,chr17,False,True
RN7SL214P,0,1,pseudogene,1,chr15,False,True
PLEKHM2,0,1,protein_coding,1,chr1,False,True
MTCYBP19,0,1,pseudogene,1,chr8,False,True
LOC124905056,0,1,lncRNA,1,chr21,False,True
LOC646112,0,1,pseudogene,1,chr11,False,True
CASK,0,1,protein_coding,1,chrX,False,True
CD209,0,1,protein_coding,1,chr19,False,True
LOC107986736,0,1,lncRNA,1,chr7,False,True
RPL37P12,0,1,pseudogene,1,chr2,False,True
PCDH17,0,1,protein_coding,1,chr13,False,True
CICP9,0,1,pseudogene,1,chr10,False,True
LOC124902618,0,1,lncRNA,1,chr11,False,True
LOC100419779,0,1,pseudogene,1,chr7,False,True
TRBV1,0,1,V_segment_pseudogene,1,chr7,False,True
LOC124904460,0,1,lncRNA,1,chr1,False,True
LOC100130992,0,1,lncRNA,1,chr10,False,True
OR7G1,0,1,protein_coding,1,chr19,False,True
HDAC8,0,1,protein_coding,1,chrX,False,True
SNORA64,0,1,snoRNA,1,chr16,False,True
RALBP1,0,1,protein_coding,1,chr18,False,True
STIM1,0,1,protein_coding,1,chr11,False,True
RN7SKP225,0,1,pseudogene,1,chr9,False,True
LINC01643,0,1,lncRNA,1,chr22,False,True
NANOGP4,0,1,pseudogene,1,chr7,False,True
H3C8,0,1,protein_coding,1,chr6,False,True
ACSF2,0,1,protein_coding,1,chr17,False,True
HSFY4P,0,1,pseudogene,1,chrY,False,True
KRT8P41,0,1,transcribed_pseudogene,1,chr11,False,True
TBP,0,1,protein_coding,1,chr6,False,True
RPL7AP67,0,1,pseudogene,1,chr18,False,True
AMTN,0,1,protein_coding,1,chr4,False,True
APELA,0,1,protein_coding,1,chr4,False,True
LOC101409262,0,1,pseudogene,1,chr3,False,True
SPACA6-AS1,0,1,lncRNA,1,chr19,False,True
IGKV1D-13,0,1,V_segment,1,chr2,False,True
GNB1-DT,0,1,lncRNA,1,chr1,False,True
LOC107986760,0,1,lncRNA,1,chr7,False,True
REXO1L8P,0,1,pseudogene,1,chr8,False,True
RBPJL,0,1,protein_coding,1,chr20,False,True
NRAD1,0,1,lncRNA,1,chr13,False,True
KRT17P4,0,1,pseudogene,1,chr17,False,True
LOC105377936,0,1,lncRNA,1,chr6,False,True
RPL21P115,0,1,pseudogene,1,chr15,False,True
EMID1,0,1,protein_coding,1,chr22,False,True
LOC100419852,0,1,pseudogene,1,chr5,False,True
LOC101928295,0,1,lncRNA,1,chr19,False,True
MYLIP,0,1,protein_coding,1,chr6,False,True
LOC124906013,0,1,lncRNA,1,chr2,False,True
TMEM229B,0,1,protein_coding,1,chr14,False,True
SLC6A6,0,1,protein_coding,1,chr3,False,True
LOC105378149,0,1,misc_RNA,1,chr6,False,True
LOC100422730,0,1,pseudogene,1,chr5,False,True
LOC124900268,0,1,snoRNA,1,chr8,False,True
CRYGN,0,1,protein_coding,1,chr7,False,True
LOC105372038,0,1,lncRNA,1,chr18,False,True
MIR518D,0,1,miRNA,1,chr19,False,True
SIL1,0,1,protein_coding,1,chr5,False,True
SOX6,0,1,protein_coding,1,chr11,False,True
LOC107985774,0,1,lncRNA,1,chr2,False,True
SND1-IT1,0,1,lncRNA,1,chr7,False,True
NDUFA3P6,0,1,pseudogene,1,chr16,False,True
SMAD4,0,1,protein_coding,1,chr18,False,True
GUF1,0,1,protein_coding,1,chr4,False,True
