schema_version	analysis_layer	row_type	chromosome	arm	chrom_arm	chrom_arm_label	arm_sort_index	community	community_order	community_arms	arm_ontology_eligible_phr_copy_burden	arm_supported_term_contributor_row_burden	arm_unique_supported_coordinate_copy_burden	class_id	display_label	class_rank_in_arm	dominant_functional_class_flag	class_unique_coordinate_copy_burden	class_fraction_of_arm_eligible_burden	class_fraction_of_all_class_copies	functional_source_ids_json	functional_source_symbols_json	gene_names_json	copy_ids_json	representative_exact_terms_json	unclassified_supported_coordinate_copy_burden	ontology_redundancy_warning	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr4	q	chr4_q	4q	8	C1	1	chr10_q|chr4_q	38	2428	38	DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	1	1	33	0.86842105263157898	0.50769230769230766	"[""NCBIGene:100288687""]"	"[""DUX4""]"	"[""DUX4"",""DUX4L1"",""DUX4L2"",""DUX4L3"",""DUX4L4"",""DUX4L5"",""DUX4L6"",""DUX4L7"",""DUX4L8""]"	"[""CHM13v2.0|chr4:193436060-193437344|+|DUX4L8"",""CHM13v2.0|chr4:193439356-193440640|+|DUX4L5"",""CHM13v2.0|chr4:193442653-193443937|+|DUX4L6_8"",""CHM13v2.0|chr4:193445949-193447233|+|DUX4L2"",""CHM13v2.0|chr4:193449245-193450529|+|DUX4L6_15"",""CHM13v2.0|chr4:193452541-193453825|+|DUX4L6_9"",""CHM13v2.0|chr4:193455846-193457130|+|DUX4L7"",""CHM13v2.0|chr4:193459140-193460424|+|DUX4L1"",""CHM13v2.0|chr4:193462438-193463722|+|DUX4L3"",""CHM13v2.0|chr4:193465734-193467018|+|DUX4L6_14"",""CHM13v2.0|chr4:193469037-193470321|+|DUX4L6_17"",""CHM13v2.0|chr4:193472333-193473617|+|DUX4L6_11"",""CHM13v2.0|chr4:193475628-193476912|+|DUX4L6_16"",""CHM13v2.0|chr4:193478925-193480209|+|DUX4L6_23"",""CHM13v2.0|chr4:193482218-193483502|+|DUX4L6_3"",""CHM13v2.0|chr4:193485517-193486801|+|DUX4L6_24"",""CHM13v2.0|chr4:193488815-193490099|+|DUX4L6_13"",""CHM13v2.0|chr4:193492115-193493399|+|DUX4L6_4"",""CHM13v2.0|chr4:193495415-193496699|+|DUX4L6"",""CHM13v2.0|chr4:193498712-193499996|+|DUX4L6_5"",""CHM13v2.0|chr4:193502010-193503294|+|DUX4L6_18"",""CHM13v2.0|chr4:193505306-193506590|+|DUX4L6_19"",""CHM13v2.0|chr4:193508603-193509887|+|DUX4L4"",""CHM13v2.0|chr4:193511900-193513184|+|DUX4L6_6"",""CHM13v2.0|chr4:193515198-193516482|+|DUX4L6_7"",""CHM13v2.0|chr4:193518496-193519780|+|DUX4L6_22"",""CHM13v2.0|chr4:193521792-193523076|+|DUX4L6_2"",""CHM13v2.0|chr4:193525089-193526373|+|DUX4L6_20"",""CHM13v2.0|chr4:193528385-193529669|+|DUX4L6_1"",""CHM13v2.0|chr4:193531682-193532966|+|DUX4L6_10"",""CHM13v2.0|chr4:193534978-193536262|+|DUX4L6_21"",""CHM13v2.0|chr4:193538284-193539568|+|DUX4L6_12"",""CHM13v2.0|chr4:193541579-193553139|+|DUX4""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0070317"",""term_name"":""negative regulation of G0 to G1 transition""},{""collection"":""Reactome"",""relation"":""direct"",""term_id"":""R-HSA-9819196"",""term_name"":""Zygotic genome activation (ZGA)""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0000977"",""term_name"":""RNA polymerase II transcription regulatory region sequence-specific DNA binding""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031965"",""term_name"":""nuclear membrane""}]"	4	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr4	q	chr4_q	4q	8	C1	1	chr10_q|chr4_q	38	2428	38	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	2	0	1	0.026315789473684209	0.090909090909090912	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP84""]"	"[""CHM13v2.0|chr4:193562943-193563471|+|RPL23AP84""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	4	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	NO_SIGNAL_ARM	chr5	p	chr5_p	5p	9	NO_SIGNAL_ARM	9999		0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr5	q	chr5_q	5q	10	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	8	212	8	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	2	0.25	0.10000000000000001	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P22"",""SEPTIN14P5""]"	"[""CHM13v2.0|chr5:181897110-181899694|+|SEPTIN14P5"",""CHM13v2.0|chr5:181897110-181899694|-|SEPTIN14P22_7""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	3	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr5	q	chr5_q	5q	10	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	8	212	8	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	1	1	2	0.25	0.14285714285714285	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP4"",""WBP1LP9""]"	"[""CHM13v2.0|chr5:181942043-181942549|+|WBP1LP9_5"",""CHM13v2.0|chr5:181942043-181942549|-|WBP1LP4""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	3	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr5	q	chr5_q	5q	10	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	8	212	8	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	2	0	1	0.125	0.090909090909090912	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP45""]"	"[""CHM13v2.0|chr5:182034678-182035205|+|RPL23AP45""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	3	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	ARM_TOTAL_NO_DEFINED_CLASS	chr6	p	chr6_p	6p	11	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr6	q	chr6_q	6q	12	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	2	28	2	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	1	1	2	1	0.14285714285714285	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP12"",""WBP1LP9""]"	"[""CHM13v2.0|chr6:172024569-172025075|+|WBP1LP9_3"",""CHM13v2.0|chr6:172024569-172025075|-|WBP1LP12""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr7	p	chr7_p	7p	13	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	4	158	4	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	2	0.5	0.10000000000000001	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P18"",""SEPTIN14P22""]"	"[""CHM13v2.0|chr7:56811-59390|+|SEPTIN14P22_11"",""CHM13v2.0|chr7:56811-59390|-|SEPTIN14P18""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	ARM_TOTAL_NO_DEFINED_CLASS	chr7	q	chr7_q	7q	14	C4	11	chr12_q|chr7_q	0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	ARM_TOTAL_NO_DEFINED_CLASS	chr8	p	chr8_p	8p	15	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	NO_SIGNAL_ARM	chr8	q	chr8_q	8q	16	NO_SIGNAL_ARM	9999		0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr9	p	chr9_p	9p	17	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	2	137	2	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	1	1	1	0.5	0.10000000000000001	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L5""]"	"[""CHM13v2.0|chr9:5788-8326|+|DDX11L5""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
