schema_version	analysis_layer	row_type	community	community_order	community_arms	community_ontology_eligible_phr_copy_burden	community_supported_term_contributor_row_burden	community_unique_supported_coordinate_copy_burden	class_id	display_label	class_rank_in_community	dominant_functional_class_flag	class_unique_coordinate_copy_burden	class_fraction_of_community_eligible_burden	class_fraction_of_all_class_copies	contributing_arms	functional_source_ids_json	functional_source_symbols_json	gene_names_json	copy_ids_json	representative_exact_terms_json	unclassified_supported_coordinate_copy_burden	ontology_redundancy_warning	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	518	10	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	1	1	3	0.29999999999999999	0.29999999999999999	chr12_p|chr20_q|chr9_p	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""WASH7P"",""WASH8P"",""WASHC1""]"	"[""CHM13v2.0|chr12:7478-23077|-|WASH8P"",""CHM13v2.0|chr20:66187777-66202791|+|WASH7P"",""CHM13v2.0|chr9:8314-24625|-|WASHC1""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	518	10	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	2	0	2	0.20000000000000001	0.10000000000000001	chr20_q	"[""NCBIGene:107126285"",""NCBIGene:346288""]"	"[""SEPTIN14"",""SEPTIN14P20""]"	"[""SEPTIN14P20"",""SEPTIN14P22""]"	"[""CHM13v2.0|chr20:66110851-66123819|+|SEPTIN14P20"",""CHM13v2.0|chr20:66115355-66117943|-|SEPTIN14P22_13""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C6	17	chr13_q|chr17_q|chr19_q|chr1_q|chr21_q|chr22_q	4	88	4	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	1	1	4	1	0.36363636363636365	chr17_q|chr19_q|chr1_q|chr21_q	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP25"",""RPL23AP4"",""RPL23AP79"",""RPL23AP87""]"	"[""CHM13v2.0|chr17:84250806-84264715|+|RPL23AP87"",""CHM13v2.0|chr19:61696473-61697001|+|RPL23AP79"",""CHM13v2.0|chr1:248375192-248375720|+|RPL23AP25"",""CHM13v2.0|chr21:45077112-45077637|+|RPL23AP4""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	COMMUNITY_TOTAL_NO_DEFINED_CLASS	C7	23	chr13_p|chr14_p|chr15_p|chr21_p|chr22_p	2	32	2														2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C8	28	chr15_q	4	165	4	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	1	1	2	0.5	0.14285714285714285	chr15_q	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP5"",""WBP1LP9""]"	"[""CHM13v2.0|chr15:99653860-99654366|+|WBP1LP9_6"",""CHM13v2.0|chr15:99653860-99654366|-|WBP1LP5""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C8	28	chr15_q	4	165	4	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	2	0	1	0.25	0.10000000000000001	chr15_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L9""]"	"[""CHM13v2.0|chr15:99745854-99748389|-|DDX11L9""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C8	28	chr15_q	4	165	4	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	2	0	1	0.25	0.10000000000000001	chr15_q	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""WASH3P""]"	"[""CHM13v2.0|chr15:99730108-99745901|+|WASH3P""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C9	29	chr16_p	3	146	3	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	1	1	1	0.33333333333333331	0.10000000000000001	chr16_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L10""]"	"[""CHM13v2.0|chr16:4481-7016|+|DDX11L10""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	1	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C9	29	chr16_p	3	146	3	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	1	1	1	0.33333333333333331	0.10000000000000001	chr16_p	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""WASH4P""]"	"[""CHM13v2.0|chr16:7007-11013|-|WASH4P""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	1	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	COMMUNITY_TOTAL_NO_DEFINED_CLASS	C10	30	chr17_p	0	0	0														0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	17	430	17	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	1	1	6	0.35294117647058826	0.42857142857142855	chr1_p|chr5_q|chr6_q	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP12"",""WBP1LP4"",""WBP1LP7"",""WBP1LP9""]"	"[""CHM13v2.0|chr1:100966-101472|+|WBP1LP7"",""CHM13v2.0|chr1:100966-101472|-|WBP1LP9_4"",""CHM13v2.0|chr5:181942043-181942549|+|WBP1LP9_5"",""CHM13v2.0|chr5:181942043-181942549|-|WBP1LP4"",""CHM13v2.0|chr6:172024569-172025075|+|WBP1LP9_3"",""CHM13v2.0|chr6:172024569-172025075|-|WBP1LP12""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	6	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	17	430	17	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	2	0	4	0.23529411764705882	0.20000000000000001	chr1_p|chr5_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P13"",""SEPTIN14P22"",""SEPTIN14P5""]"	"[""CHM13v2.0|chr1:144134-146717|+|SEPTIN14P22_5"",""CHM13v2.0|chr1:146340-146717|-|SEPTIN14P13"",""CHM13v2.0|chr5:181897110-181899694|+|SEPTIN14P5"",""CHM13v2.0|chr5:181897110-181899694|-|SEPTIN14P22_7""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	6	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	17	430	17	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	3	0	1	0.058823529411764705	0.090909090909090912	chr5_q	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP45""]"	"[""CHM13v2.0|chr5:182034678-182035205|+|RPL23AP45""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	6	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C12	35	chr20_p|chr2_q	8	313	8	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	1	1	2	0.25	0.18181818181818182	chr20_p|chr2_q	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP21"",""RPL23AP88""]"	"[""CHM13v2.0|chr20:11293-11818|-|RPL23AP21"",""CHM13v2.0|chr2:242685066-242685590|+|RPL23AP88""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C12	35	chr20_p|chr2_q	8	313	8	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	2	0.25	0.10000000000000001	chr2_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P2"",""SEPTIN14P22""]"	"[""CHM13v2.0|chr2:242631950-242634517|+|SEPTIN14P2"",""CHM13v2.0|chr2:242631950-242634517|-|SEPTIN14P22_16""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C12	35	chr20_p|chr2_q	8	313	8	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	2	0	1	0.125	0.10000000000000001	chr20_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L9""]"	"[""CHM13v2.0|chr20:72708-75239|+|DDX11L9_1""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C12	35	chr20_p|chr2_q	8	313	8	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	2	0	1	0.125	0.10000000000000001	chr20_p	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""WASH5P""]"	"[""CHM13v2.0|chr20:80190-92223|-|WASH5P_1""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	COMMUNITY_TOTAL_NO_DEFINED_CLASS	C13	37	chr4_p	0	0	0														0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C14	38	chrX_q|chrY_q	9	220	9	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	1	1	1	0.1111111111111111	0.10000000000000001	chrX_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L16""]"	"[""CHM13v2.0|chrX:154252395-154254921|-|DDX11L16""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	7	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C14	38	chrX_q|chrY_q	9	220	9	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	1	1	1	0.1111111111111111	0.10000000000000001	chrX_q	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""WASH6P""]"	"[""CHM13v2.0|chrX:154249567-154252407|+|WASH6P""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	7	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	COMMUNITY_TOTAL_NO_DEFINED_CLASS	C15	40	chrX_p|chrY_p	6	95	6														6	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
