schema_version	analysis_layer	assignment	community	community_order	community_arms	community_ontology_eligible_phr_copy_burden	functional_source_id	functional_source_symbol	supported_unique_coordinate_copy_burden	fraction_of_community_eligible_burden	supported_term_contributor_row_burden	supported_exact_term_count	gene_names_json	copy_ids_json	functional_class_ids_json	ontology_redundancy_warning	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:346288	SEPTIN14	12	0.2608695652173913	504	42	"[""SEPTIN14P11"",""SEPTIN14P13"",""SEPTIN14P16"",""SEPTIN14P18"",""SEPTIN14P19"",""SEPTIN14P22"",""SEPTIN14P3""]"	"[""CHM13v2.0|chr11:145023-147605|+|SEPTIN14P22_10"",""CHM13v2.0|chr11:145023-147605|-|SEPTIN14P11"",""CHM13v2.0|chr16:96265822-96268407|+|SEPTIN14P16"",""CHM13v2.0|chr16:96265822-96268407|-|SEPTIN14P22_9"",""CHM13v2.0|chr19:140030-142614|+|SEPTIN14P22_2"",""CHM13v2.0|chr19:140030-142614|-|SEPTIN14P19"",""CHM13v2.0|chr3:200959893-200962477|+|SEPTIN14P3"",""CHM13v2.0|chr3:200959893-200962477|-|SEPTIN14P22_6"",""CHM13v2.0|chr7:56811-59390|+|SEPTIN14P22_11"",""CHM13v2.0|chr7:56811-59390|-|SEPTIN14P18"",""CHM13v2.0|chr9:150558546-150558923|+|SEPTIN14P13_1"",""CHM13v2.0|chr9:150558546-150561131|-|SEPTIN14P22_3""]"	"[""SEPTIN14_SEPTIN_CYTOKINESIS""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:2969	GTF2I	6	0.13043478260869565	216	36	"[""GTF2IP10"",""GTF2IP17"",""GTF2IP19""]"	"[""CHM13v2.0|chr11:186036-186139|+|GTF2IP10_8"",""CHM13v2.0|chr16:96225789-96225892|-|GTF2IP10_1"",""CHM13v2.0|chr19:181318-181421|+|GTF2IP19"",""CHM13v2.0|chr3:200921062-200921165|-|GTF2IP17"",""CHM13v2.0|chr7:98502-98605|+|GTF2IP10_4"",""CHM13v2.0|chr9:150515597-150515700|-|GTF2IP10_2""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:54838	WBP1L	6	0.13043478260869565	84	14	"[""WBP1LP10"",""WBP1LP11"",""WBP1LP8"",""WBP1LP9""]"	"[""CHM13v2.0|chr11:102154-102660|+|WBP1LP10"",""CHM13v2.0|chr11:102154-102660|-|WBP1LP9_2"",""CHM13v2.0|chr19:96468-96974|+|WBP1LP11"",""CHM13v2.0|chr19:96468-96974|-|WBP1LP9_1"",""CHM13v2.0|chr3:201005400-201005906|+|WBP1LP9"",""CHM13v2.0|chr3:201005400-201005906|-|WBP1LP8""]"	"[""WBP1L_CXCL12_SIGNALING""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:23152	CIC	5	0.10869565217391304	190	38	"[""CICP19"",""CICP23"",""CICP25"",""CICP27"",""CICP6""]"	"[""CHM13v2.0|chr11:149448-153209|+|CICP23"",""CHM13v2.0|chr16:96260211-96263979|-|CICP25"",""CHM13v2.0|chr19:144456-148226|+|CICP19"",""CHM13v2.0|chr3:200954278-200958051|-|CICP6"",""CHM13v2.0|chr7:61233-65009|+|CICP27""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:1663	DDX11	3	0.065217391304347824	270	90	"[""DDX11L1"",""DDX11L17"",""DDX11L8""]"	"[""CHM13v2.0|chr11:3434-5924|+|DDX11L17"",""CHM13v2.0|chr19:4460-6999|+|DDX11L1"",""CHM13v2.0|chr3:201097274-201099490|-|DDX11L8_1""]"	"[""DDX11_HELICASE_CHROMOSOME""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:100287171	WASHC1	3	0.065217391304347824	141	47	"[""LOC100996442"",""WASH5P"",""WASH8P""]"	"[""CHM13v2.0|chr11:5962-21167|-|LOC100996442"",""CHM13v2.0|chr19:11934-21953|-|WASH5P"",""CHM13v2.0|chr3:201079785-201097323|+|WASH8P_1""]"	"[""WASH_ENDOSOMAL_ACTIN_EXOCYST""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:283092	OR4C13	2	0.043478260869565216	6	3	"[""OR4G3P"",""OR4G4P""]"	"[""CHM13v2.0|chr19:45082-45945|+|OR4G3P"",""CHM13v2.0|chr3:201056319-201057262|-|OR4G4P""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:6147	RPL23A	2	0.043478260869565216	44	22	"[""RPL23AP24"",""RPL23AP47""]"	"[""CHM13v2.0|chr16:96318486-96318958|+|RPL23AP24"",""CHM13v2.0|chr9:150605300-150605772|+|RPL23AP47""]"	"[""RPL23A_RIBOSOMAL_NUCLEOLAR""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:3581	IL9R	1	0.021739130434782608	9	9	"[""IL9RP1""]"	"[""CHM13v2.0|chr9:150400984-150409700|+|IL9RP1""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:100302278	MIR1302-2	1	0.021739130434782608	10	10	"[""MIR1302-2""]"	"[""CHM13v2.0|chr11:21922-22059|+|MIR1302-2""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:81099	OR4F17	1	0.021739130434782608	3	3	"[""OR4F17""]"	"[""CHM13v2.0|chr19:58109-64470|+|OR4F17""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:441308	OR4F21	1	0.021739130434782608	3	3	"[""OR4G11P""]"	"[""CHM13v2.0|chr11:54949-55818|+|OR4G11P""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:79501	OR4F5	1	0.021739130434782608	3	3	"[""OR4F5""]"	"[""CHM13v2.0|chr3:201037880-201044322|-|OR4F5""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	NCBIGene:203068	TUBB	1	0.021739130434782608	26	26	"[""TUBBP5""]"	"[""CHM13v2.0|chr9:150415615-150442914|+|TUBBP5""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	NCBIGene:1663	DDX11	3	0.29999999999999999	270	90	"[""DDX11L5"",""DDX11L8""]"	"[""CHM13v2.0|chr12:5295-7527|+|DDX11L8"",""CHM13v2.0|chr20:66202741-66205279|-|DDX11L5_1"",""CHM13v2.0|chr9:5788-8326|+|DDX11L5""]"	"[""DDX11_HELICASE_CHROMOSOME""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	NCBIGene:100287171	WASHC1	3	0.29999999999999999	141	47	"[""WASH7P"",""WASH8P"",""WASHC1""]"	"[""CHM13v2.0|chr12:7478-23077|-|WASH8P"",""CHM13v2.0|chr20:66187777-66202791|+|WASH7P"",""CHM13v2.0|chr9:8314-24625|-|WASHC1""]"	"[""WASH_ENDOSOMAL_ACTIN_EXOCYST""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	NCBIGene:23152	CIC	1	0.10000000000000001	38	38	"[""CICP4""]"	"[""CHM13v2.0|chr20:66111677-66113506|-|CICP4""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	NCBIGene:440073	IQSEC3	1	0.10000000000000001	5	5	"[""IQSEC3P3""]"	"[""CHM13v2.0|chr20:66147793-66148467|-|IQSEC3P3""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	NCBIGene:346288	SEPTIN14	1	0.10000000000000001	42	42	"[""SEPTIN14P22""]"	"[""CHM13v2.0|chr20:66115355-66117943|-|SEPTIN14P22_13""]"	"[""SEPTIN14_SEPTIN_CYTOKINESIS""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	NCBIGene:107126285	SEPTIN14P20	1	0.10000000000000001	22	22	"[""SEPTIN14P20""]"	"[""CHM13v2.0|chr20:66110851-66123819|+|SEPTIN14P20""]"	"[""SEPTIN14_SEPTIN_CYTOKINESIS""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C6	17	chr13_q|chr17_q|chr19_q|chr1_q|chr21_q|chr22_q	4	NCBIGene:6147	RPL23A	4	1	88	22	"[""RPL23AP25"",""RPL23AP4"",""RPL23AP79"",""RPL23AP87""]"	"[""CHM13v2.0|chr17:84250806-84264715|+|RPL23AP87"",""CHM13v2.0|chr19:61696473-61697001|+|RPL23AP79"",""CHM13v2.0|chr1:248375192-248375720|+|RPL23AP25"",""CHM13v2.0|chr21:45077112-45077637|+|RPL23AP4""]"	"[""RPL23A_RIBOSOMAL_NUCLEOLAR""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C7	23	chr13_p|chr14_p|chr15_p|chr21_p|chr22_p	2	NCBIGene:112574	SNX18	2	1	32	16	"[""SNX18P15"",""SNX18P16""]"	"[""CHM13v2.0|chr21:295588-295983|+|SNX18P16_3"",""CHM13v2.0|chr21:327400-328352|+|SNX18P15_2""]"	[]	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C8	28	chr15_q	4	NCBIGene:54838	WBP1L	2	0.5	28	14	"[""WBP1LP5"",""WBP1LP9""]"	"[""CHM13v2.0|chr15:99653860-99654366|+|WBP1LP9_6"",""CHM13v2.0|chr15:99653860-99654366|-|WBP1LP5""]"	"[""WBP1L_CXCL12_SIGNALING""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C8	28	chr15_q	4	NCBIGene:1663	DDX11	1	0.25	90	90	"[""DDX11L9""]"	"[""CHM13v2.0|chr15:99745854-99748389|-|DDX11L9""]"	"[""DDX11_HELICASE_CHROMOSOME""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	C8	28	chr15_q	4	NCBIGene:100287171	WASHC1	1	0.25	47	47	"[""WASH3P""]"	"[""CHM13v2.0|chr15:99730108-99745901|+|WASH3P""]"	"[""WASH_ENDOSOMAL_ACTIN_EXOCYST""]"	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
